510401603112419; NIOXIL; NIOXIL; NOT FOUND; 10 MG COM CT 15 BL AL PLAS AMB X 30 (EMB HOSP); GOB
510401602116410; NIOXIL; NIOXIL; NOT FOUND; 20 MG COM CT 2 BL AL PLAS AMB X 10; GOB
510413100099503; NIOXIL; NIOXIL; NOT FOUND; 20 MG COM CT BL AL PLAS AMB X 20; GOB
510413100099403; NIOXIL; NIOXIL; NOT FOUND; 20 MG COM CT BL AL PLAS AMB X 30; GOB
510401604119417; NIOXIL; NIOXIL; NOT FOUND; 20 MG COM CT 15 BL AL PLAS AMB X 30 (EMB HOSP); GOB
510401701114416; NISOFLAN; NISOFLAN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12 ; GOB
510401702110414; NISOFLAN; NISOFLAN; NOT FOUND; 100 MG COM CT 40 BL AL PLAS INC X 12 (EMB HOSP); GOB
510401703133418; NISOFLAN; NISOFLAN; NOT FOUND; 50 MG/ML SUSP OR CT FR PLAS OPC GOT X 15 ML; GOB
510401704131419; NISOFLAN; NISOFLAN; NOT FOUND; 50 MG/ML SUSP OR CX 50 FR PLAS OPC GOT X 15 ML (EMB HOSP); GOB
510401705136414; NISOFLAN; NISOFLAN; NOT FOUND; 50 MG/ML SUSP OR CX 100 FR PLAS OPC GOT X 15 ML (EMB HOSP); GOB
510407401163119; NISTATINA; NISTATINA; NISTATINA; 25.000 U.I./ G CREM VAG CT BG AL X 60 G + 14 APLIC; GOB
510407403166115; NISTATINA; NISTATINA; NISTATINA; 25.000 U.I./G CREM VAG CX 50 BG AL X 60 G + 700 APLIC (EMB HOSP); GOB
510410401160411; NISTRAZIN; NISTRAZIN; NOT FOUND; 25000 UI/G CREM VAG CT BG AL X 60 G + 14 APLIC; GOB
510406801168111; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM DERM CT BG AL X 28 G; GOB
510406802164118; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM VAG CT BG AL X 80 G + 14 APLIC; GOB
