510408401132114; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED; GOB
510412100078406; DEXAMETASONA+SULFATO DE NEOMICINA+SULFATO DE POLIMIXINA B; DEXAMETASONA SULFATO NEOMICINA SULFATO POLIMIXINA B; NOT FOUND; 1.0 MG/ML + 3.5 MG/ML + 6.000 UI/ML SUS OFT CT FR PLAS OPC GOT X 5 ML ; GOB
510412100078506; DEXAMETASONA+SULFATO DE NEOMICINA+SULFATO DE POLIMIXINA B; DEXAMETASONA SULFATO NEOMICINA SULFATO POLIMIXINA B; NOT FOUND; 1.0 MG/ML + 3.5 MG/ML + 6.000 UI/ML SUS OFT CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
510407301169115; DICLOFENACO DIETILAMÔNIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 11.60 MG/ G GEL DERM CT BG AL X 60 G; GOB
510406001137414; DIPRIN; DIPRIN; NOT FOUND; 50 MG/ ML SOL OR CT FR VD AMB X 100 ML; GOB
510409201137110; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED; GOB
510406002117417; DIPRIN; DIPRIN; NOT FOUND; 500 MG COM CT 25 BL AL PLAS INC X 4; GOB
510409204111112; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 100 (EMB MULT); GOB
510406007119418; DIPRIN; DIPRIN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 500(EMB HOSP) ; GOB
510406003131413; DIPRIN; DIPRIN; NOT FOUND; 500 MG/ ML SOL ORAL CT FR PLAS OPC GOT X 10 ML; GOB
510409203131111; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; GOB
510406004136419; DIPRIN; DIPRIN; NOT FOUND; 500 MG/ ML SOL ORAL CT FR PLAS OPC GOT X 20 ML; GOB
510406008131411; DIPRIN; DIPRIN; NOT FOUND; 500 MG/ML SOL OR CT 60 FR PLAS OPC GOT X 20 ML (EMB HOSP); GOB
510409202133119; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; GOB
510406701163116; DIPROPIONATO DE BETAMETASONA; DIPROPIONATO BETAMETASONA; DIPROPIONATO BETAMETASONA; 0.5 MG/G CREM DERM CT BG AL X 30G; GOB
510406702161117; DIPROPIONATO DE BETAMETASONA; DIPROPIONATO BETAMETASONA; DIPROPIONATO BETAMETASONA; 0.5 MG/ G POM DERM CT BG AL X 30G; GOB
510413901164119; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5MG/G + 1.0MG/G CREM DERM CT BG AL X 30G ; GOB
510413902160117; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5MG/G + 1.00MG/G POM DERM CT BG AL X 30G ; GOB
510413903167115; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5MG/G + 1.00MG/G POM DERM CX 50 BG AL X 30G (EMB HOSP); GOB
510413904163113; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5MG/G + 1.0MG/G CREM DERM CX 50 BG AL X 30G (EMB HOSP); GOB
510400601116419; DIUREMIDA; DIUREMIDA; NOT FOUND; 40 MG COM CT BL AL PLAS AMB X 20; GOB
510400602112417; DIUREMIDA; DIUREMIDA; NOT FOUND; 40 MG COM CT BL AL PLAS AMB X 500 (EMB HOSP) ; GOB
510413603139418; DROTIZIN; DROTIZIN; NOT FOUND; 2 MG/ML SOL OR CT FR PEAD X 100 ML; GOB
510413605131414; DROTIZIN; DROTIZIN; NOT FOUND; 2 MG/ML SOL OR CX 50 FR PEAD X 100 ML (EMB HOSP); GOB
510413601136411; DROTIZIN; DROTIZIN; NOT FOUND; 2 MG/ML SOL OR CX 50 FR PET AMB X 120 ML (EMB HOSP); GOB
510413602132411; DROTIZIN; DROTIZIN; NOT FOUND; 2 MG/ML SOL OR CT FR PET AMB X 120 ML; GOB
510413604135416; DROTIZIN; DROTIZIN; NOT FOUND; 2 MG/ML SOL OR CT FR PEAD X 120 ML; GOB
510413606138412; DROTIZIN; DROTIZIN; NOT FOUND; 2 MG/ML SOL OR CX 50 FR PEAD X 120 ML (EMB HOSP); GOB
510415201119419; DIMEFTAL; DIMEFTAL; NOT FOUND; 125MG COM CT BL AL PVC INC X 10; GOB
510415203111415; DIMEFTAL; DIMEFTAL; NOT FOUND; 125MG COM CT BL AL PVC INC X 100 (EMB HOSP /EMB MULT); GOB
510415204118413; DIMEFTAL; DIMEFTAL; NOT FOUND; 125MG COM CT BL AL PVC INC X 20; GOB
510415202115417; DIMEFTAL; DIMEFTAL; NOT FOUND; 125 MG COM CT BL AL PVC INC X 500 (EMB HOSP); GOB
