510401202118416, LANZOPEPT, LANZOPEPT, NOT FOUND, 30 MG CAP GEL DURA C/ MICROG DESINT GRAD CT 02 BL AL PLAS INC X 07 , GOB
510401203114414, LANZOPEPT, LANZOPEPT, NOT FOUND, 30 MG CAP GEL DURA C/ MICROG DESINT GRAD CT 04 BL AL PLAS INC X 07 , GOB
510401201111418, LANZOPEPT, LANZOPEPT, NOT FOUND, 30 MG CAP GEL DURA C/ MICROG DESINT GRAD CT 01 BL AL PLAS INC X 07 , GOB
510413070086106, LATANOPROSTA, LATANOPROSTA, LATANOPROSTA, 0.05 MG/ML SOL OFT CT FR GOT PLAS TRANS X 2.5 ML, GOB
510413070086306, LATANOPROSTA, LATANOPROSTA, LATANOPROSTA, 0.05 MG/ML SOL OFT CT 50 FR GOT PLAS TRANS X 2.5 ML (EMB HOSP), GOB
510413070086206, LATANOPROSTA, LATANOPROSTA, LATANOPROSTA, 0.05 MG/ML SOL OFT CT FR GOT PLAS TRANS X 5 ML , GOB
510413070086406, LATANOPROSTA, LATANOPROSTA, LATANOPROSTA, 0.05 MG/ML SOL OFT CT 50 FR GOT PLAS TRANS X 5 ML (EMB HOSP), GOB
510413070095606, LATANOPROSTA + MALEATO DE TIMOLOL, LATANOPROSTA MALEATO TIMOLOL, NOT FOUND, 50 MCG/ML + 5 MG/ML SOL OFT CT FR GOT PLAS TRANS X 2.5 ML, GOB
510413070095806, LATANOPROSTA + MALEATO DE TIMOLOL, LATANOPROSTA MALEATO TIMOLOL, NOT FOUND, 50 MCG/ML + 5 MG/ML SOL OFT CX 50 FR GOT PLAS TRANS X 2.5 ML (EMB HOSP), GOB
510413070095706, LATANOPROSTA + MALEATO DE TIMOLOL, LATANOPROSTA MALEATO TIMOLOL, NOT FOUND, 50 MCG/ML + 5 MG/ML SOL OFT CT FR GOT PLAS TRANS X 5 ML, GOB
510413070095906, LATANOPROSTA + MALEATO DE TIMOLOL, LATANOPROSTA MALEATO TIMOLOL, NOT FOUND, 50 MCG/ML + 5 MG/ML SOL OFT CX 50 FR GOT PLAS TRANS X 5 ML (EMB HOSP), GOB
510401401110415, LONIPRIL, LONIPRIL, NOT FOUND, 10 MG COM CT 03 BL AL PLAS INC X 10 , GOB
510414080108503, LORITIL, LORITIL, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 480 (EMB HOSP), GOB
510401503134410, LORITIL, LORITIL, NOT FOUND, 1 MG/ML XPE CT FR VD AMB X 100 ML, GOB
510406301130113, LORATADINA, LORATADINA, LORATADINA, 1 MG/ML XPE CT FR VD AMB X 100 ML + CP MED X 10 ML , GOB
510401501115419, LORITIL, LORITIL, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 12, GOB
510414001132413, LORITIL D, LORITIL D, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + CP MED, GOB
510412070077506, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1MG/ML + 12MG/ML XPE CT FR VD AMB X 60ML + CP MED , GOB
510412010062206, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 100 MG COM REV CT BL AL PVC X 100 (EMB HOSP), GOB
510412010062806, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 100 MG COM REV CT BL AL PVDC X 100 (EMB HOSP), GOB
510412010061806, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 100 MG COM REV CT BL AL PVC X 15 , GOB
510412010062406, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 100 MG COM REV CT BL AL PVDC X 15 , GOB
510412010061906, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 100 MG COM REV CT BL AL PVC X 20, GOB
