510413010081203; OPTILAR; OPTILAR; NOT FOUND; 4 MG/ML SOL OFT CT FR GOT PLAS OPC X 10 ML; GOB
510413010081303; OPTILAR; OPTILAR; NOT FOUND; 4 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 10 ML (EMB HOSP); GOB
510413010081003; OPTILAR; OPTILAR; NOT FOUND; 4 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML; GOB
510413010081103; OPTILAR; OPTILAR; NOT FOUND; 4 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 5 ML (EMB HOSP); GOB
510414102176416; OTOSYLASE; OTOSYLASE; NOT FOUND; 0.250MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML; GOB
510414101171410; OTOSYLASE; OTOSYLASE; NOT FOUND; 0.250MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP); GOB
510414104179412; OTOSYLASE; OTOSYLASE; NOT FOUND; 0.250MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 100 FR PLAS OPC GOT X 10 ML (EMB HOSP); GOB
510414103172414; OTOSYLASE; OTOSYLASE; NOT FOUND; 0.250MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CT FR PLAS OPC GOT X 5 ML; GOB
510414105175410; OTOSYLASE; OTOSYLASE; NOT FOUND; 0.250MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 100 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
510414106171419; OTOSYLASE; OTOSYLASE; NOT FOUND; 0.250MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
510413030082204; OCUTIL; OCUTIL; NOT FOUND; 0.25MG/ML + 3MG/ML SOL OFT CT FR GOT PLAS TRANS X 10 ML; GOB
510413030082304; OCUTIL; OCUTIL; NOT FOUND; 0.25MG/ML + 3MG/ML SOL OFT CX 50 FR GOT PLAS TRANS X 10 ML (EMB HOSP); GOB
510413030082404; OCUTIL; OCUTIL; NOT FOUND; 0.25MG/ML + 3MG/ML SOL OFT CT FR GOT PLAS TRANS X 15 ML; GOB
510413030082504; OCUTIL; OCUTIL; NOT FOUND; 0.25MG/ML + 3MG/ML SOL OFT CX 50 FR GOT PLAS TRANS X 15 ML (EMB HOSP); GOB
510414030105203; OMENAX; OMENAX; NOT FOUND; 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 15; GOB
510414030105303; OMENAX; OMENAX; NOT FOUND; 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 30; GOB
