510414402110410, ZITROBIOL, ZITROBIOL, NOT FOUND, 500 MG COM REV CT BL AL PVC INC X 100 (EMB HOSP), GOB
510412050071603, ZITROBIOL, ZITROBIOL, NOT FOUND, 500 MG COM REV CT BL AL PVC TRANS X 150 (EMB HOSP), GOB
510412050071703, ZITROBIOL, ZITROBIOL, NOT FOUND, 500 MG COM REV CT BL AL PVDC TRANS X 150 (EMB HOSP), GOB
510414403117419, ZITROBIOL, ZITROBIOL, NOT FOUND, 500 MG COM REV CT BL AL PVC INC X 2, GOB
510414401114412, ZITROBIOL, ZITROBIOL, NOT FOUND, 500 MG COM REV CT BL AL PVC INC X 3, GOB
510412050071803, ZITROBIOL, ZITROBIOL, NOT FOUND, 500 MG COM REV CT BL AL PVC TRANS X 300 (EMB HOSP), GOB
510412050071503, ZITROBIOL, ZITROBIOL, NOT FOUND, 500 MG COM REV CT BL AL PVDC TRANS X 300 (EMB HOSP), GOB
510403203162415, ZOLMICOL, ZOLMICOL, NOT FOUND, 20 MG/G CREM DERM CT 1 BG AL X 30 G, GOB
510403206161411, ZOLMICOL, ZOLMICOL, NOT FOUND, 20 MG/G CREM DERM CX 100 BG AL X 30 G (EMB HOSP), GOB
510403201119415, ZOLMICOL, ZOLMICOL, NOT FOUND, 200 MG COM CT 1 BL AL PLAS INC X 10, GOB
510403202115413, ZOLMICOL, ZOLMICOL, NOT FOUND, 200 MG COM CT 3 BL AL PLAS INC X 10, GOB
510403204118411, ZOLMICOL, ZOLMICOL, NOT FOUND, 200 MG COM CT 50 BL AL PLAS INC X 10 ( EMB HOSPITALAR ), GOB
