510412110079904, PREDOPTIC, PREDOPTIC, NOT FOUND, 10 MG/ML SUSP OFT CT FR PLAS OPC GOT X 10 ML, GOB
510412110080004, PREDOPTIC, PREDOPTIC, NOT FOUND, 10MG/ML SUSP OFT CX 50 FR PLAS OPC GOT X 10ML (EMB HOSP), GOB
510412110079704, PREDOPTIC, PREDOPTIC, NOT FOUND, 10MG/ML SUSP OFT CT FR PLAS OPC GOT X 5ML, GOB
510412110079804, PREDOPTIC, PREDOPTIC, NOT FOUND, 10MG/ML SUSP OFT CX 50 FR PLAS OPC GOT X 5ML (EMB HOSP), GOB
510401906115414, POLOL, POLOL, NOT FOUND, 40 MG COM CT 02 BL AL PLAS INC X 15, GOB
510401901113413, POLOL, POLOL, NOT FOUND, 40 MG COM CT 02 BL AL PLAS INC X 20, GOB
510401904112418, POLOL, POLOL, NOT FOUND, 40 MG COM CT 30 BL AL PLAS INC X 20 (EMB HOSP), GOB
510401902111414, POLOL, POLOL, NOT FOUND, 80 MG COM CT 01 BL AL PLAS INC X 20, GOB
510401907111412, POLOL, POLOL, NOT FOUND, 80 MG COM CT 02 BL AL PLAS INC X 15, GOB
510413101168411, PANTODEX, PANTODEX, NOT FOUND, 50 MG/G POM DERM CT BG AL X 30 G, GOB
510402201115411, POLTAX, POLTAX, NOT FOUND, 44.3 MG COM DISP CT 2 BL AL PLAS INC X 10, GOB
510402101110418, POLTAX, POLTAX, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 20  , GOB
510402102117416, POLTAX, POLTAX, NOT FOUND, 50 MG COM REV CT 25 BL AL PLAS INC X 20  , GOB
510413070087206, PARACETAMOL + FOSFATO DE CODEÍNA, PARACETAMOL FOSFATO CODEINA, NOT FOUND, 500 MG + 30 MG COM CT BL AL PLAS TRANS X 12, GOB
510413070087306, PARACETAMOL + FOSFATO DE CODEÍNA, PARACETAMOL FOSFATO CODEINA, NOT FOUND, 500 MG + 30 MG COM CT BL AL PLAS TRANS X 24, GOB
510413070087506, PARACETAMOL + FOSFATO DE CODEÍNA, PARACETAMOL FOSFATO CODEINA, NOT FOUND, 500 MG + 30 MG COM CX BL AL PLAS TRANS X 480 (EMB HOSP), GOB
510413070087406, PARACETAMOL + FOSFATO DE CODEÍNA, PARACETAMOL FOSFATO CODEINA, NOT FOUND, 500 MG + 30 MG COM CX BL AL PLAS TRANS X 96 (EMB HOSP), GOB
510413100097506, PARACETAMOL + FOSFATO DE CODEÍNA, PARACETAMOL FOSFATO CODEINA, NOT FOUND, 500 MG + 7.5 MG COM CT BL AL PLAS TRANS X 12, GOB
510413070086906, PARACETAMOL + FOSFATO DE CODEÍNA, PARACETAMOL FOSFATO CODEINA, NOT FOUND, 500 MG + 7.5 MG COM CT BL AL PLAS TRANS X 24, GOB
510413070087106, PARACETAMOL + FOSFATO DE CODEÍNA, PARACETAMOL FOSFATO CODEINA, NOT FOUND, 500 MG + 7.5 MG COM CX BL AL PLAS TRANS X 480 (EMB HOSP), GOB
510413070087006, PARACETAMOL + FOSFATO DE CODEÍNA, PARACETAMOL FOSFATO CODEINA, NOT FOUND, 500 MG + 7.5 MG COM CX BL AL PLAS TRANS X 96 (EMB HOSP), GOB
510402301111418, PRYLTEC, PRYLTEC, NOT FOUND, 10 MG COM CT BL AL/AL X 30 , GOB
510402304119411, PRYLTEC, PRYLTEC, NOT FOUND, 10 MG COM CX BL AL/AL X 500 (EMB HOSP), GOB
510402302116413, PRYLTEC, PRYLTEC, NOT FOUND, 20 MG COM CT BL AL/AL X 30 , GOB
510402305115418, PRYLTEC, PRYLTEC, NOT FOUND, 20 MG COM CX BL AL/AL X 500 (EMB HOSP), GOB
510406501131113, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, GOB
510412030069706, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 20 , GOB
510412030070106, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 200 (EMB MULTI), GOB
510412030070206, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), GOB
510412030069806, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS AMB X 20 , GOB
510412030069906, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS AMB X 200 (EMB MULTI), GOB
510412030070006, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS AMB X 500 (EMB HOSP), GOB
510408901161113, PIROXICAM, PIROXICAM, PIROXICAM, 5 MG/G GEL DERM CT BG AL X 30 G  , GOB
510405901118418, PREDNAX, PREDNAX, NOT FOUND, 20 MG COM CT BL AL PLAS INC X 10, GOB
510405902114416, PREDNAX, PREDNAX, NOT FOUND, 20 MG COM CT 2 BL AL PLAS INC X 10, GOB
510412030069603, PREDNAX, PREDNAX, NOT FOUND, 20 MG COM CT BL AL PLAS TRANS X 30, GOB
510405903110414, PREDNAX, PREDNAX, NOT FOUND, 5.0 MG COM CT BL AL PLAS INC X 20 , GOB
510412030069503, PREDNAX, PREDNAX, NOT FOUND, 5.0 MG COM CT BL AL PLAS TRANS X 30, GOB
510405905113410, PREDNAX, PREDNAX, NOT FOUND, 5.0 MG COM CT 20 BL AL PLAS INC X 20 (EMB. HOSP), GOB
510402103164418, POLTAX, POLTAX, NOT FOUND, 11.6 MG/G GEL CT BG X 60 G , GOB
