510408202164113, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1.00 MG/G CREM DERM CX 60 BG AL X 10 G (EMB HOSP), GOB
510412402131111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, GOB
510412403136115, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GOB
510412405139111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP), GOB
510412406135111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CX 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP), GOB
510412401133119, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 40 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, GOB
510412404132113, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 40 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GOB
510412407131118, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 40 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP), GOB
510412408138116, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 40 MG/ML XPE CX 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP), GOB
510411401164113, ACETONIDA DE TRIANCINOLONA, ACETONIDA TRIANCINOLONA, NOT FOUND, 1 MG/G POM BUCAL CT BG AL X 10 G, GOB
510406602165110, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CX 60 BG AL X 10 G (EMB HOSP) , GOB
510406601177115, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREME DERM CT BG AL X 10G, GOB
510405501111416, ALBEL, ALBEL, NOT FOUND, 200 MG COM CT 1 BL AL PLAS INC X 02, GOB
510405504119418, ALBEL, ALBEL, NOT FOUND, 200 MG COM CT 250BL AL PLAS INC X 2 (EMB HOSP), GOB
510405506138411, ALBEL, ALBEL, NOT FOUND, 40 MG/ML SUSP ORAL CT 60 FR PET AMB X 10 ML (EMB HOSP), GOB
510405503139415, ALBEL, ALBEL, NOT FOUND, 40 MG/ML SUSP ORAL CT FR PET AMB X 10 ML, GOB
510405502116411, ALBEL, ALBEL, NOT FOUND, 400 MG COM MAST CT 01 BL AL PLAS INC X 01, GOB
510405505115416, ALBEL, ALBEL, NOT FOUND, 400 MG COM MAST CT 500 BL AL PLAS INC X 1 (EMB HOSP), GOB
510412101172410, ALPHABRIN, ALPHABRIN, NOT FOUND, 2.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, GOB
510412102179419, ALPHABRIN, ALPHABRIN, NOT FOUND, 2.0MG/ML SOL OFT CT FR PLAS OPC GOT X 10ML , GOB
510412001178417, ALPHABRIN P, ALPHABRIN P, NOT FOUND, 1.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, GOB
510400103116417, AMIORON, AMIORON, NOT FOUND, 100 MG COM CT 50 BL AL PLAS INC X 10 (EMB HOSP), GOB
510400101113410, AMIORON, AMIORON, NOT FOUND, 100 MG COMP. CT 02 BL X 10, GOB
510400104112415, AMIORON, AMIORON, NOT FOUND, 200 MG COM CT 50 BL AL PLAS INC X 10 (EMB HOSP), GOB
510400102111411, AMIORON, AMIORON, NOT FOUND, 200 MG COMP. CT 02 BL X 10, GOB
510408202164113, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1.00 MG/G CREM DERM CX 60 BG AL X 10 G (EMB HOSP), GOB
510412402131111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, GOB
510412403136115, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GOB
510412405139111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP), GOB
510412406135111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CX 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP), GOB
510412401133119, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 40 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, GOB
510412404132113, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 40 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GOB
510412407131118, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 40 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP), GOB
510412408138116, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 40 MG/ML XPE CX 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP), GOB
510411401164113, ACETONIDA DE TRIANCINOLONA, ACETONIDA TRIANCINOLONA, NOT FOUND, 1 MG/G POM BUCAL CT BG AL X 10 G, GOB
510406602165110, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CX 60 BG AL X 10 G (EMB HOSP) , GOB
510406601177115, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREME DERM CT BG AL X 10G, GOB
510405501111416, ALBEL, ALBEL, NOT FOUND, 200 MG COM CT 1 BL AL PLAS INC X 02, GOB
510405504119418, ALBEL, ALBEL, NOT FOUND, 200 MG COM CT 250BL AL PLAS INC X 2 (EMB HOSP), GOB
510405506138411, ALBEL, ALBEL, NOT FOUND, 40 MG/ML SUSP ORAL CT 60 FR PET AMB X 10 ML (EMB HOSP), GOB
510405503139415, ALBEL, ALBEL, NOT FOUND, 40 MG/ML SUSP ORAL CT FR PET AMB X 10 ML, GOB
510405502116411, ALBEL, ALBEL, NOT FOUND, 400 MG COM MAST CT 01 BL AL PLAS INC X 01, GOB
510405505115416, ALBEL, ALBEL, NOT FOUND, 400 MG COM MAST CT 500 BL AL PLAS INC X 1 (EMB HOSP), GOB
510412101172410, ALPHABRIN, ALPHABRIN, NOT FOUND, 2.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, GOB
510412102179419, ALPHABRIN, ALPHABRIN, NOT FOUND, 2.0MG/ML SOL OFT CT FR PLAS OPC GOT X 10ML , GOB
510412001178417, ALPHABRIN P, ALPHABRIN P, NOT FOUND, 1.5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, GOB
510400103116417, AMIORON, AMIORON, NOT FOUND, 100 MG COM CT 50 BL AL PLAS INC X 10 (EMB HOSP), GOB
510400101113410, AMIORON, AMIORON, NOT FOUND, 100 MG COMP. CT 02 BL X 10, GOB
510400104112415, AMIORON, AMIORON, NOT FOUND, 200 MG COM CT 50 BL AL PLAS INC X 10 (EMB HOSP), GOB
510400102111411, AMIORON, AMIORON, NOT FOUND, 200 MG COMP. CT 02 BL X 10, GOB
510408202164113, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1.00 MG/G CREM DERM CX 60 BG AL X 10 G (EMB HOSP), GOB
510412402131111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, GOB
510412403136115, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GOB
510412405139111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP), GOB
510412406135111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CX 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP), GOB
510412401133119, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 40 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, GOB
510412404132113, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 40 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GOB
510412407131118, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 40 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP), GOB
510412408138116, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 40 MG/ML XPE CX 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP), GOB
510411401164113, ACETONIDA DE TRIANCINOLONA, ACETONIDA TRIANCINOLONA, NOT FOUND, 1 MG/G POM BUCAL CT BG AL X 10 G, GOB
510406602165110, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CX 60 BG AL X 10 G (EMB HOSP) , GOB
510406601177115, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREME DERM CT BG AL X 10G, GOB
510405501111416, ALBEL, ALBEL, NOT FOUND, 200 MG COM CT 1 BL AL PLAS INC X 02, GOB
