510411501134119; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GOB
510411502130117; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR PEAD X 120 ML + CP MED; GOB
510411503137115; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CX 60 FR PEAD X 120 ML +  60 CP MED (EMB HOSP); GOB
510413005118417; MIRACAL; MIRACAL; NOT FOUND; 500 MG COM REV CX 50 FR PLAS OPC X 30 (EMB HOSP); GOB
510413003115410; MIRACAL; MIRACAL; NOT FOUND; 500 MG COM REV CT FR PLAS OPC X 30; GOB
510413002119412; MIRACAL; MIRACAL; NOT FOUND; 500 MG COM REV CT 50 FR PLAS OPC X 60; GOB
510413006114415; MIRACAL; MIRACAL; NOT FOUND; 500 MG COM REV CX 50 FR PLAS OPC X 75 (EMB HOSP); GOB
510413004111419; MIRACAL; MIRACAL; NOT FOUND; 500 MG COM REV CT FR PLAS OPC X 75; GOB
510414201115415; MIRACÁLCIO VIT D; MIRACALCIO VIT D; NOT FOUND; 500 MG + 200 UI COM REV CT FR PLAS OPC X 75; GOB
510413010080604; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 500MG + 400UI COM REV CX 50 FR PLAS OPC X 30 (EMB HOSP); GOB
510413010080304; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 500MG + 400UI COM REV CT FR PLAS OPC X 60; GOB
510413010080704; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 500MG + 400UI COM REV CX 50 FR PLAS OPC X 60 (EMB HOSP); GOB
510413010080404; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 500MG + 400UI COM REV CT FR PLAS OPC X 75; GOB
510413010080804; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 500MG + 400UI COM REV CX 50 FR PLAS OPC X 75 (EMB HOSP); GOB
510413010080504; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 500MG + 400UI COM REV CT FR PLAS OPC X 90; GOB
510413010080904; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 500MG + 400UI COM REV CX 50 FR PLAS OPC X 90 (EMB HOSP); GOB
510412030068803; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 600MG + 400UI COM REV CT FR PLAS OPC X 30 ; GOB
510412030069203; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 600MG + 400UI COM REV CX 50 FR PLAS OPC X 30 (EMB HOSP); GOB
510412030068903; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 600MG + 400UI COM REV CT FR PLAS OPC X 60 ; GOB
510412030069003; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 600MG + 400UI COM REV CT FR PLAS OPC X 75; GOB
510412030069103; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 600MG + 400UI COM REV CT FR PLAS OPC X 90; GOB
510412030069303; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 600MG + 400UI COM REV CX 50 FR PLAS OPC X 75 (EMB HOSP); GOB
510412030069403; MIRACÁLCIO  VIT  D; MIRACALCIO VIT D; NOT FOUND; 600MG + 400UI COM REV CX 50 FR PLAS OPC X 90 (EMB HOSP); GOB
