510412060074504, RESFRILIV, RESFRILIV, NOT FOUND, 400MG + 4MG + 4MG PO CT 10 ENV AL POLIET X 5G - MEL/LIMAO , GOB
510412060075004, RESFRILIV, RESFRILIV, NOT FOUND, 400MG + 4MG + 4MG PO CT 10 ENV AL POLIET X 5G - HORTELA/GENGIBRE, GOB
510412060075504, RESFRILIV, RESFRILIV, NOT FOUND, 400MG + 4MG + 4MG PO CT 10 ENV AL POLIET X 5G - LARANJA/ACEROLA, GOB
510412060074704, RESFRILIV, RESFRILIV, NOT FOUND, 400MG + 4MG + 4MG PO CT 100 ENV AL POLIET X 5G (EMB MULT) - MEL/LIMAO , GOB
510412060075204, RESFRILIV, RESFRILIV, NOT FOUND, 400MG + 4MG + 4MG PO CT 100 ENV AL POLIET X 5G (EMB MULT) - HORTELA/GENGIBRE, GOB
510412060075704, RESFRILIV, RESFRILIV, NOT FOUND, 400MG + 4MG + 4MG PO CT 100 ENV AL POLIET X 5G (EMB MULT) - LARANJA/ACEROLA, GOB
510412060074404, RESFRILIV, RESFRILIV, NOT FOUND, 400MG + 4MG + 4MG PO CT 2 ENV AL POLIET X 5G - MEL/LIMAO , GOB
510412060074904, RESFRILIV, RESFRILIV, NOT FOUND, 400MG + 4MG + 4MG PO CT 2 ENV AL POLIET X 5G - HORTELA/GENGIBRE, GOB
510412060075404, RESFRILIV, RESFRILIV, NOT FOUND, 400MG + 4MG + 4MG PO CT 2 ENV AL POLIET X 5G - LARANJA/ACEROLA, GOB
510412060074804, RESFRILIV, RESFRILIV, NOT FOUND, 400MG + 4MG + 4MG PO CT 200 ENV AL POLIET X 5G (EMB MULT) - MEL/LIMAO , GOB
510412060075304, RESFRILIV, RESFRILIV, NOT FOUND, 400MG + 4MG + 4MG PO CT 200 ENV AL POLIET X 5G (EMB MULT) - HORTELA/GENGIBRE, GOB
510412060075804, RESFRILIV, RESFRILIV, NOT FOUND, 400MG + 4MG + 4MG PO CT 200 ENV AL POLIET X 5G (EMB MULT) - LARANJA/ACEROLA, GOB
510412060074604, RESFRILIV, RESFRILIV, NOT FOUND, 400MG + 4MG + 4MG PO CT 50 ENV AL POLIET X 5G (EMB MULT) - MEL/LIMAO , GOB
510412060075104, RESFRILIV, RESFRILIV, NOT FOUND, 400MG + 4MG + 4MG PO CT 50 ENV AL POLIET X 5G (EMB MULT) - HORTELA/GENGIBRE, GOB
510412060075604, RESFRILIV, RESFRILIV, NOT FOUND, 400MG + 4MG + 4MG PO CT 50 ENV AL POLIET X 5G (EMB MULT) - LARANJA/ACEROLA, GOB
