506912030023304; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.125 MG COM CT BL AL /AL X 10 ; ATV
506912030023604; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.125 MG COM CT BL AL /AL X 100 (EMB HOSP); ATV
506912030023404; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.125 MG COM CT BL AL /AL X 15; ATV
506912030023104; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.125 MG COM CT BL AL /AL X 30; ATV
506912030023504; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.125 MG COM CT BL AL /AL X 60; ATV
506912030023704; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.25 MG COM CT BL AL /AL X 10 ; ATV
506912030024104; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.25 MG COM CT BL AL /AL X 100 (EMB HOSP); ATV
506912030023804; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.25 MG COM CT BL AL /AL X 15; ATV
506912030023904; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.25 MG COM CT BL AL /AL X 30; ATV
506912030024004; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 0.25 MG COM CT BL AL /AL X 60; ATV
506912030024204; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 1 MG COM CT BL AL /AL X 10 ; ATV
506912030024504; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 1 MG COM CT BL AL /AL X 100 (EMB HOSP); ATV
506912030024304; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 1 MG COM CT BL AL /AL X 15 ; ATV
506912030023204; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 1 MG COM CT BL AL /AL X 30; ATV
506912030024404; PRAMIPEZAN; PRAMIPEZAN; NOT FOUND; 1 MG COM CT BL AL /AL X 60; ATV
506913040026406; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); ATV
506905701111118; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 12; ATV
506913040026506; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 120 (EMB HOSP); ATV
506913040026606; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); ATV
506913040026106; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 24; ATV
506913040026706; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 240 (EMB HOSP); ATV
506913040026206; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 50 (EMB HOSP); ATV
506913040026306; PARACETAMOL + FOSFATO DE CODEÍNA; PARACETAMOL FOSFATO CODEINA; NOT FOUND; 500 + 30 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); ATV
506903601118122; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS INC X 20; ATV
