504412102158419; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 18.000.000 UI/ML PO LIOF CT. FA VD INC + AMP DIL X 1ML; BU_
504412106153411; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 18.000.000 UI SOL. INJ CT. SER-PREENC X 0.5ML; BU_
504412109152416; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 18.000.000 UI/ML SOL. INJ CT. FA VD INC X 1ML; BU_
504412105157413; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 3.000.000 UI/ML PO LIOF CT. FA VD INC + AMP DIL X 1ML; BU_
504412110150413; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 3.000.000 UI SOL. INJ. CT. SER-PREENC X 0.5ML; BU_
504412101151410; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 3.000.000 UI/ML SOL. INJ. CT. FA VD INC X 1ML; BU_
504412113151410; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 36.000.000 UI/ML SOL. INJ. CT. FA VD INC X 1ML; BU_
504412104150415; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 4.500.000 UI/ML PO LIOF CT. FA VD INC + AMP DIL X 1ML; BU_
504412108156418; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 4.500.000 UI SOL. INJ CT. SER-PREENC X 0.5ML; BU_
504412111157411; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 4.500.000 UI/ML SOL. INJ. CT. FA VD INC X 1ML; BU_
504412103154417; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 9.000.000 UI/ML PO LIOF CT. FA VD INC + AMP DIL X 1ML; BU_
504412107151412; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 9.000.000 UI SOL. INJ CT. SER-PREENC X 0.5ML; BU_
504412112153411; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 9.000.000 UI/ML SOL. INJ. CT. FA VD INC X 1ML; BU_
504402401152415; IMUNOGLOBULIN; IMUNOGLOBULIN; NOT FOUND; 50 MG/ML SOL INJ CT FA VD INC X 10 ML + KIT INFUS; BU_
504402409153410; IMUNOGLOBULIN; IMUNOGLOBULIN; NOT FOUND; 50 MG/ML SOL INJ CT FA VD INC X 100 ML + KIT INFUS; BU_
504402503151418; IMUNOGLOBULIN; IMUNOGLOBULIN; NOT FOUND; 50 MG/ML SOL INJ CT FA VD INC X 20 ML + KIT INFUS; BU_
504402404151411; IMUNOGLOBULIN; IMUNOGLOBULIN; NOT FOUND; 50 MG/ML SOL INJ CT FA VD INC X 200 ML + KIT INFUS; BU_
504402406154416; IMUNOGLOBULIN; IMUNOGLOBULIN; NOT FOUND; 50 MG/ML SOL INJ CT FA VD INC X 50 ML + KIT INFUS; BU_
504402407150414; IMUNOGLOBULIN; IMUNOGLOBULIN; NOT FOUND; 50 MG/ML SOL INJ CT FA VD INC X 60 ML + KIT INFUS( USO HOSP); BU_
