504414050051218; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC; BU_
504414050051318; CILINON; CILINON; NOT FOUND; 500 MG PO INJ CX 100 FA VD INC; BU_
504414010047218; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC + 100 DIL X 5 ML; BU_
504414010047408; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CT FA VD INC + AMP DIL PLAS X 5ML; BU_
504414010047518; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC + 100 AMP DIL PLAS X 5 ML; BU_
504414010047118; CILINON; CILINON; NOT FOUND; 500MG PO INJ CX 100 FA VD INC + 100 DIL X 5 ML; BU_
504414010047318; CILINON; CILINON; NOT FOUND; 500MG PO INJ CT FA VD INC + AMP DIL PLAS X 5 ML; BU_
504413120036816; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CT  FA VD INC; BU_
504413120036916; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CT  FA VD INC +  AMP DIL PLAS X 5 ML; BU_
504413120037016; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CT  FA VD INC +  AMP DIL VD X 5 ML ; BU_
504413120037116; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CX 100 FA VD INC; BU_
504413120037216; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CX 100 FA VD INC + 100 AMP DIL VD X 5 ML ; BU_
504413120037316; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CX 50 FA VD INC; BU_
504413120037416; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CX 100 FA VD INC + 100 AMP DIL PLAS X 5 ML ; BU_
504413120037516; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS X 5 ML ; BU_
504413120037616; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1000 MG PO INJ CX 50 FA VD INC + 50 AMP DIL VD X 5 ML ; BU_
504414010046318; CEFARISTON; CEFARISTON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC; BU_
504414010046418; CEFARISTON; CEFARISTON; NOT FOUND; 1000 MG PO INJ CT FA VD INC + AMP DIL VD X 5 ML; BU_
