504403203151410; ONTRAX; ONTRAX; NOT FOUND; 2 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML; BU_
504403205152414; ONTRAX; ONTRAX; NOT FOUND; 2 MG/ML SOL INJ CX 20 AMP VD AMB X 2 ML; BU_
504403204156416; ONTRAX; ONTRAX; NOT FOUND; 2 MG/ML SOL INJ CX 100 AMP VD AMB X 4 ML; BU_
504403206159412; ONTRAX; ONTRAX; NOT FOUND; 2 MG/ML SOL INJ CX 20 AMP VD AMB X 4 ML; BU_
504413601158110; OCITOCINA; OCITOCINA; OCITOCINA; 5 UI/ML SOL INJ CT 100 AMP VD INC X 1 ML (EMB HOSP); BU_
504413602154119; OCITOCINA; OCITOCINA; OCITOCINA;  5 UI/ML SOL INJ CT 5 AMP VD INC X 1 ML (EMB HOSP); BU_
504413603150117; OCITOCINA; OCITOCINA; OCITOCINA; 5 UI/ML SOL INJ CT 1 AMP VD INC X 1 ML (EMB HOSP); BU_
504413604157115; OCITOCINA; OCITOCINA; OCITOCINA; 5 UI/ML SOL INJ CT 50 AMP VD INC X 1 ML (EMB HOSP); BU_
504414010048318; OPRAZON; OPRAZON; NOT FOUND; 40 MG PO INJ CX 20 FA VD INC + 20 AMP DIL VD INC X 10 ML; BU_
504414010045418; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC ; BU_
504414010046818; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 100 FA VD INC; BU_
504414010046918; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC + 50 AMP DIL X 3 ML (EMB  HOSP); BU_
504414010047018; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS X 5 ML; BU_
