504414010049218; PENKARON; PENKARON; NOT FOUND; 400000 U INJ CX 100 FA; BU_
504414010049318; PENKARON; PENKARON; NOT FOUND; 400000 U INJ CX 50 FA + 50 DIL; BU_
504414010049418; PENKARON; PENKARON; NOT FOUND; 400000 U INJ CX 100 FA + 100 DIL; BU_
504412301169410; PRESERV; PRESERV; NOT FOUND; 2 % GEL VAG CT BG AL X 40 G + 8 APLIC; BU_
504412302165419; PRESERV; PRESERV; NOT FOUND; 2 % GEL VAG CT 5 BG AL X 5 G; BU_
504413120035306; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CT 1 FA VD AMB X 16.7ML; BU_
504413120035606; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CX 5 FA VD AMB X 16.7ML; BU_
504413120035906; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CX 10 FA VD AMB X 16.7ML; BU_
504413120036206; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CX 20 FA VD AMB X 16.7ML; BU_
504413120035206; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CT 1 FA VD AMB X 5ML ; BU_
504413120035506; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CX 5 FA VD AMB X 5ML; BU_
504413120035806; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CX 10 FA VD AMB X 5ML; BU_
504413120036106; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CX 20 FA VD AMB X 5ML; BU_
504413120035406; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CT 1 FA VD AMB X 50ML; BU_
504413120035706; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CX 5 FA VD AMB X 50ML; BU_
504413120036006; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CX 10 FA VD AMB X 50ML; BU_
504413120036306; PACLITAXEL; PACLITAXEL; PACLITAXEL; 6 MG/ML SOL INJ IV CX 20 FA VD AMB X 50ML; BU_
504413120036406; PANTOPRAZOL SÓDICO SESQUIIDRATADO; PANTOPRAZOL SODICO SESQUIIDRATADO; NOT FOUND; 40 MG PO SOL INJ IV CX FA VD TRANS + AMP DIL X 10 ML; BU_
504413120036506; PANTOPRAZOL SÓDICO SESQUIIDRATADO; PANTOPRAZOL SODICO SESQUIIDRATADO; NOT FOUND; 40 MG PO SOL INJ IV CX 5 FA VD TRANS + 5 AMP DIL X 10 ML (EMB HOSP); BU_
504413120036606; PANTOPRAZOL SÓDICO SESQUIIDRATADO; PANTOPRAZOL SODICO SESQUIIDRATADO; NOT FOUND; 40 MG PO SOL INJ IV CX 20 FA VD TRANS + 20 AMP DIL X 10 ML (EMB HOSP); BU_
504413120036706; PANTOPRAZOL SÓDICO SESQUIIDRATADO; PANTOPRAZOL SODICO SESQUIIDRATADO; NOT FOUND; 40 MG PO SOL INJ IV CX 50 FA VD TRANS + 50 AMP DIL X 10 ML (EMB HOSP); BU_
504403301151415; PROFOLEN; PROFOLEN; NOT FOUND; 10 MG/ML EMU INJ CT 5 AMP VD INC X 20 ML; BU_
504403302158413; PROFOLEN; PROFOLEN; NOT FOUND; 10 MG/ML EMU INJ CT 50 AMP VD INC X 20 ML; BU_
