504414010045518; TRIAXTON; TRIAXTON; NOT FOUND; 1000MG PO INJ CX 20 FA VD INC TIPO III + 20 DIL AMP PLAS TRANS X 10ML (EMB HOSP); BU_
504414010045618; TRIAXTON; TRIAXTON; NOT FOUND; 1000MG PO INJ CX 20 FA VD INC TIPO III (EMB HOSP); BU_
504414010045718; TRIAXTON; TRIAXTON; NOT FOUND; 1000MG PO INJ CX 50 FA VD INC TIPO III (EMB HOSP); BU_
504414010045818; TRIAXTON; TRIAXTON; NOT FOUND; 1000MG PO INJ CX 100 FA VD INC TIPO III (EMB HOSP) ; BU_
504414010045918; TRIAXTON; TRIAXTON; NOT FOUND; 1000MG PO INJ CX 20 FA VD INC TIPO III + 20 DIL AMP VD INC X 10ML (EMB HOSP); BU_
504414120052403; TAXOFEN; TAXOFEN; NOT FOUND; 20 MG COM REV CT BL AL AL X 250 (EMB HOSP); BU_
504403701117419; TAXOFEN; TAXOFEN; NOT FOUND; 10 MG COM CT BL AL AL X 250 (EMB HOSP); BU_
504403705112411; TAXOFEN; TAXOFEN; NOT FOUND; 10 MG COM REV CT 25 BL AL PLAS AMB X 10 (EMB HOSP); BU_
504403702113417; TAXOFEN; TAXOFEN; NOT FOUND; 10 MG COM CT BL AL AL X 30; BU_
504403706119411; TAXOFEN; TAXOFEN; NOT FOUND; 10 MG COM REV CT 3 BL AL PLAS AMB X 10; BU_
504403704116413; TAXOFEN; TAXOFEN; NOT FOUND; 20 MG COM REV CT 25 BL AL PLAS AMB X 10 (EMB HOSP); BU_
504403703111418; TAXOFEN; TAXOFEN; NOT FOUND; 20 MG COM CT BL AL AL X 30; BU_
504403707115418; TAXOFEN; TAXOFEN; NOT FOUND; 20 MG COM REV CT 3 BL AL PLAS AMB X 10; BU_
504403801111412; TEFLUT; TEFLUT; NOT FOUND; 250 MG COM CT 2 BL AL PLAS INC X 10; BU_
504414010047718; TEICOSTON; TEICOSTON; NOT FOUND; 133.33 MG/ML PO INJ CT FA VD AMB + AMP DIL X 3 ML; BU_
504414010048018; TEICOSTON; TEICOSTON; NOT FOUND; 133.33 MG/ML PO INJ CX 10 FA VD AMB + 10 AMP DIL X 3 ML; BU_
504414010048118; TEICOSTON; TEICOSTON; NOT FOUND; 133.33 MG/ML PO INJ CX 25 FA VD AMB + 25 AMP DIL X 3 ML; BU_
504414010047618; TEICOSTON; TEICOSTON; NOT FOUND; 66.66 MG/ML PO INJ CX FA VD AMB + AMP DIL X 3 ML; BU_
504414010047818; TEICOSTON; TEICOSTON; NOT FOUND; 66.66 MG/ML PO INJ CX 10 FA VD AMB + 10 AMP DIL X 3 ML; BU_
504414010047918; TEICOSTON; TEICOSTON; NOT FOUND; 66.66 MG/ML PO INJ CX 25 FA VD AMB + 25 AMP DIL X 3 ML; BU_
504414010039116; TIOCOLCHICOSIDEO; TIOCOLCHICOSIDEO; TIOCOLCHICOSIDEO; 2 MG / ML SOL INJ CX AMP VD INC X 2 ML ; BU_
504414010039216; TIOCOLCHICOSIDEO; TIOCOLCHICOSIDEO; TIOCOLCHICOSIDEO; 2 MG / ML SOL INJ CX 12 AMP VD INC X 2 ML (EMB HOSP) ; BU_
504414010039316; TIOCOLCHICOSIDEO; TIOCOLCHICOSIDEO; TIOCOLCHICOSIDEO; 2 MG / ML SOL INJ CX 3 AMP VD INC X 2 ML ; BU_
504414010039616; TIOCOLCHICOSIDEO; TIOCOLCHICOSIDEO; TIOCOLCHICOSIDEO; 2 MG / ML SOL INJ CX 6 AMP VD INC X 2 ML ; BU_
504412601162111; TIOCONAZOL; TIOCONAZOL; TIOCONAZOL; 65 MG/G POM VAG CT APLIC GIN X 4.62 G; BU_
