1023502210035; SUPLEVIT; SUPLEVIT; NOT FOUND; SOL FR C/120ML; EMS
1023502210043; SUPLEVIT; SUPLEVIT; NOT FOUND; SOL FR C/240ML; EMS
1023502210017; SUPLEVIT; SUPLEVIT; NOT FOUND; FR C/100 DRG; EMS
1023502210025; SUPLEVIT; SUPLEVIT; NOT FOUND; FR C/20 DRG; EMS
1356900200014; SIGMACALCIDOL; SIGMACALCIDOL; NOT FOUND; 0.25 MCG CAP GEL MOLE CT FR PLAS OPC X 30 ; EMS
1356900200022; SIGMACALCIDOL; SIGMACALCIDOL; NOT FOUND; 1.00 MCG CAP GEL MOLE CT FR PLAS OPC X 30 ; EMS
1356900200138; SIGMACALCIDOL; SIGMACALCIDOL; NOT FOUND; 0.25 MCG CAP GEL MOLE CT FR VD AMB X 30; EMS
1356900200146; SIGMACALCIDOL; SIGMACALCIDOL; NOT FOUND; 1.00 MCG CAP GEL MOLE CT FR VD AMB X 30; EMS
1356906300053; SIGMA CLAV BD; SIGMA CLAV BD; NOT FOUND; (5600 + 798) MG PO PREP EXTEMP SUS OR CT FR PLAST OPC X 70 ML (80 + 11.40) MG/ML APOS REC.; EMS
1356906300045; SIGMA CLAV BD; SIGMA CLAV BD; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL/AL X 14; EMS
1356906300029; SIGMA CLAV BD; SIGMA CLAV BD; NOT FOUND; 500 MG + 125 MG COM REV CT BL AL/AL X 18; EMS
1356906300071; SIGMA CLAV BD; SIGMA CLAV BD; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL/AL X 20; EMS
1023505190014; SULFATO NEOMICINA + BACITRACINA; SULFATO NEOMICINA BACITRACINA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CT BG AL X 15 G; EMS
1023505190022; SULFATO NEOMICINA + BACITRACINA; SULFATO NEOMICINA BACITRACINA; NOT FOUND; POM BISN 50G; EMS
1023505350011; STILUX; STILUX; NOT FOUND; 0.15 MG/ML + 0.30 MG/ML SOL OFT CT FR PLAS OPC GOT X 20 ML; EMS
1356906550033; SINAVEL; SINAVEL; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 30; EMS
1356906550051; SINAVEL; SINAVEL; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 60; EMS
1356900060018; SIGMATRIOL; SIGMATRIOL; NOT FOUND; 0.25 MCG CAP GEL MOLE CT FR VD AMB X 30; EMS
1023509060042; SUPRICAL D; SUPRICAL D; NOT FOUND; 500MG + 200 UI COM REV CT FR PLAS OPC X 75; EMS
1356906470153; SOMALGIN CARDIO; SOMALGIN CARDIO; NOT FOUND; 200 MG + 60 MG + 30 MG COM REV DUPLA CAM CT 4 BL AL PVDC LEIT X 8 ; EMS
1023509890010; SOLLEVARE; SOLLEVARE; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 1; EMS
1023509890101; SOLLEVARE; SOLLEVARE; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 1; EMS
1023509890118; SOLLEVARE; SOLLEVARE; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 2; EMS
1023509890126; SOLLEVARE; SOLLEVARE; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 4; EMS
1023509890029; SOLLEVARE; SOLLEVARE; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 2; EMS
1023509890037; SOLLEVARE; SOLLEVARE; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 4; EMS
1023509890053; SOLLEVARE; SOLLEVARE; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 1; EMS
1023509890061; SOLLEVARE; SOLLEVARE; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 2; EMS
1023509890071; SOLLEVARE; SOLLEVARE; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 4; EMS
1023509890088; SOLLEVARE; SOLLEVARE; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 8; EMS
1023509890096; SOLLEVARE; SOLLEVARE; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 12; EMS
1356905700090; SUVVIA; SUVVIA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 8; EMS
1356905700147; SUVVIA; SUVVIA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 4; EMS
1356905700031; SUVVIA; SUVVIA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 4; EMS
1356905700066; SUVVIA; SUVVIA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 1; EMS
1356905700074; SUVVIA; SUVVIA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 2; EMS
1356905700082; SUVVIA; SUVVIA; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 4; EMS
