1023503330011; DEXADERMIL; DEXADERMIL; NOT FOUND; 1MG/G CREM DERM CT BG AL X 10 G; EMS
1356905710010; DIGESIGMA; DIGESIGMA; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 20 ; EMS
1356905710037; DIGESIGMA; DIGESIGMA; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 60 (EMB FRAC); EMS
1023502250156; DORSPAN; DORSPAN; NOT FOUND; COMPOSTO INJ C/50 AMPX5ML (HOSP); EMS
1023502250173; DORSPAN; DORSPAN; NOT FOUND; COMPOSTO GOTAS FR C/20ML; EMS
1023502250081; DORSPAN; DORSPAN; NOT FOUND; 0.010 G + 0.250 G DRG CT ENV AL X 20; EMS
1023500720112; DORICIN; DORICIN; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT BL AL PLAS LARANJA X 240; EMS
1023500720079; DORICIN; DORICIN; NOT FOUND; GOTAS FR C/10ML; EMS
1023500720090; DORICIN; DORICIN; NOT FOUND; (35 + 300 + 50) MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; EMS
1023500720044; DORICIN; DORICIN; NOT FOUND; 3 STP C/4 COMP; EMS
1023500720052; DORICIN; DORICIN; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT 30 ENV AL X 4; EMS
1023503590023; DORSEDIN; DORSEDIN; NOT FOUND; GOTAS FR C/15ML; EMS
1023508810021; DIPIRONA SÓDICA + CLORIDRATO DE ISOMETEPTENO + CAFEÍNA; DIPIRONA SODICA CLORIDRATO ISOMETEPTENO CAFEINA; NOT FOUND; 300 MG/ML + 50 MG/ML + 30 MG/ML SOL OR CT FR PLAS OPC X 15 ML + CGT; EMS
1023503590015; DORSEDIN; DORSEDIN; NOT FOUND; : 30 MG + 300 MG + 30 MG COM REV CT BL AL PLAS INC X 20; EMS
1023503320021; DERMAMINA; DERMAMINA; NOT FOUND; LOCAO FR C/100ML; EMS
1023507470014; DERMOCORTE; DERMOCORTE; NOT FOUND; (20 + 0.644) MG/G CREM DERM CT BG AL X 30 G; EMS
1023507470022; DERMOCORTE; DERMOCORTE; NOT FOUND; (20 + 0.644) MG/G POM DERM CT BG AL X 30 G; EMS
1356906000025; DEPOSTERON; DEPOSTERON; NOT FOUND; 100 MG/ML SOL INJ CX 3 AMP VD AMB X 2 ML; EMS
1023500650011; DIBENDRIL; DIBENDRIL; NOT FOUND; XPE 120ML; EMS
1023500650034; DIBENDRIL; DIBENDRIL; NOT FOUND; PAST STPFRAMBOESA 3 X 4; EMS
1023500650023; DIBENDRIL; DIBENDRIL; NOT FOUND; PAST STP MENTA 3 X 4; EMS
SI/NC; DORILEN; DORILEN; NOT FOUND; 50AMP X2 ML INJ; EMS
1023510860022; DERMOCERYL; DERMOCERYL; NOT FOUND; 50 MG/ML ESM CT FR VD AMB X 2.5 ML + (10 ESP + 30 COMPRESS + 30 LIXAS); EMS
1356900120061; DILTIPRESS; DILTIPRESS; NOT FOUND; 120 MG 3BL X 10 CAPS; EMS
1356900120128; DILTIPRESS; DILTIPRESS; NOT FOUND; 180 MG 3BL X 10 CAPS; EMS
1356900120150; DILTIPRESS; DILTIPRESS; NOT FOUND; 240MG 3BL X 10 CAPS; EMS
1356900120185; DILTIPRESS; DILTIPRESS; NOT FOUND; 300MG 3BL X 10 CAPS; EMS
1356900120215; DILTIPRESS; DILTIPRESS; NOT FOUND; 360MG 3BL X 10 CAPS; EMS
1356900120037; DILTIPRESS; DILTIPRESS; NOT FOUND; 90MG 3BL X10 CAPS; EMS
1356900120304; DILTIPRESS; DILTIPRESS; NOT FOUND; 30 MG COM CT BL AL PLAS LEIT X 50; EMS
