1356905010019; IPRAVENT; IPRAVENT; NOT FOUND; 0.25 MG/ML SOL INAL CT FR VD AMB CGT X 20 ML ; EMS
1023505510019; INFRALAX; INFRALAX; NOT FOUND; 300 MG + 30 MG + 125 MG + 50 MG COM CT BL AL PLAS INC X 30; EMS
1023505510027; INFRALAX; INFRALAX; NOT FOUND; 50 BLT C/ 4 COMP; EMS
1023505510035; INFRALAX; INFRALAX; NOT FOUND; 300 MG + 30 MG + 125 MG + 50 MG COM CT BL AL PLAS INC X 15; EMS
1023505510086; INFRALAX; INFRALAX; NOT FOUND; 300 MG + 30 MG + 125 MG + 50 MG COM CT BL AL PLAS INC X 100 (EMB FRAC); EMS
1023505510108; INFRALAX; INFRALAX; NOT FOUND; 300 MG + 30 MG + 125 MG + 50 MG COM CT BL AL PLAS INC X 200 (EMB FRAC); EMS
1356905910011; INDUX; INDUX; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 10; EMS
1023505390021; INSUCARD; INSUCARD; NOT FOUND; 250 MG SOL INJ CT 50 AMP VD INC X 20 ML; EMS
1356900150017; ISORDIL; ISORDIL; NOT FOUND; 40 MG CAP AP CT BL AL PLAS INC X 30; EMS
1356900150122; ISORDIL; ISORDIL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 100 (EMB FRAC); EMS
1356900150092; ISORDIL; ISORDIL; NOT FOUND; 5 MG COM SUB-LING CT BL AL PLAS INC X 90 (EMB FRAC); EMS
1356900150025; ISORDIL; ISORDIL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; EMS
1356900150033; ISORDIL; ISORDIL; NOT FOUND; 5MG 2BL X 15 COMP; EMS
1356900160020; ISORDIL SL; ISORDIL SL; NOT FOUND; 2.5MG 1BL X 30 COMP; EMS
1356900150041; ISORDIL SL; ISORDIL SL; NOT FOUND; 5 MG COM SUB LING CT BL AL PLAS INC X 30; EMS
1023509610255; IBULIV; IBULIV; NOT FOUND; 100 MG/ML SUS OR CT FR PLAS OPC X 20 ML + CGT ; EMS
1023509220023; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30ML; EMS
1023509610141; IBULIV; IBULIV; NOT FOUND; 400 MG COM REV CT BL AL PLAS OPC X 10 ; EMS
1023507700028; IBUPROFENO; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS OPC X 20; EMS
1023509310022; IBUPROFENO; IBUPROFENO; IBUPROFENO; 300 MG COM REV CT BL AL PLAS OPC X 20; EMS
1356903050021; IBUPROFENO; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS OPC X 20; EMS
1023509610077; IBULIV; IBULIV; NOT FOUND; 400 MG CAP GEL MOLE CT BL AL PLAS INC X 8; EMS
1023509610115; IBULIV; IBULIV; NOT FOUND; 400 MG CAP GEL MOLE CT BL AL PLAS INC X 50 (EMB MULT); EMS
1023509610107; IBULIV; IBULIV; NOT FOUND; 400 MG CAP GEL MOLE CT BL AL PLAS INC X 40 (EMB MULT); EMS
1023510400048; INDAPAMIDA; INDAPAMIDA; INDAPAMIDA; 1.5 MG COM REV CT BL AL/AL X 30; EMS
1356906480019; INDAFIX; INDAFIX; NOT FOUND; 1.5 MG COM REV CT BL AL AL X 10 ; EMS
1356906480043; INDAFIX; INDAFIX; NOT FOUND; 1.5 MG COM REV CT BL AL AL X 30; EMS
1356906480051; INDAFIX; INDAFIX; NOT FOUND; 1.5 MG COM REV CT BL AL AL X 60; EMS
1356906580099; ISOTRETINOÍNA; ISOTRETINOINA; ISOTRETINOINA; 20 MG CAP GEL MOLE CT BL AL/AL X 30; EMS
1023503820037; ITRACONOL; ITRACONOL; NOT FOUND; 100MG 1 BL X 15 CAPS; EMS
1023503820010; ITRACONOL; ITRACONOL; NOT FOUND; 100 MG 1 BL X 4 CAPS; EMS
SI/NC; ITRASPOR; ITRASPOR; NOT FOUND; CAP 100MG C/28; EMS
1356906050030; ITRASPOR; ITRASPOR; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 15; EMS
1356906050014; ITRASPOR; ITRASPOR; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 4; EMS
1356905070089; INLACT; INLACT; NOT FOUND; 667 MG/ML XPE CT FR VD AMB X 120 ML + CP MED (SABOR AMEIXA)  ; EMS
1023504080037; INFLALID; INFLALID; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; EMS
1023504080010; INFLALID; INFLALID; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12; EMS
