1023503810015; REPOPIL; REPOPIL; NOT FOUND; 2 MG + 0.035 MG COM REV CT  BL AL PLAS INC X 21 ; EMS
1023503810023; REPOPIL; REPOPIL; NOT FOUND; 2 MG + 0.035 MG DRG CT BL AL PLAS INC X 63; EMS
1356900180021; REBATEN LA; REBATEN LA; NOT FOUND; 160 MG CAP GEL DURA LIB PROL CT FR PLAS OPC X 30; EMS
1356900180013; REBATEN LA; REBATEN LA; NOT FOUND; 80 MG CAP GEL DURA LIB PROL CT FR PLAS OPC X 30; EMS
1023503190041; RANITIL; RANITIL; NOT FOUND; 50MG INJ CX/100AMPX2ML; EMS
1023503190017; RANITIL; RANITIL; NOT FOUND; 150MG COM CT 2 ENV AL X 10; EMS
1356905570030; RISEDRONATO SODICO; RISEDRONATO SODICO; RISEDRONATO SODICO; 35 MG COM REV CT BL AL PLAS OPC X 4; EMS
1023505420028; RINIGRAN; RINIGRAN; NOT FOUND; 1.0 MG/ML SOL NAS CT FR PLAS TRANS GOT X 10 ML; EMS
1023505420011; RINIGRAN; RINIGRAN; NOT FOUND; 0.5 MG/ML SOL NAS CT FR PLAS TRANS GOT X 10 ML; EMS
1058301900024; ROHYDORM; ROHYDORM; NOT FOUND; 1MG X 20 COMP REV; EMS
1058301900016; ROHYDORM; ROHYDORM; NOT FOUND; 2MG 2BL X10 COMP; EMS
1356906040019; ROHYDORM; ROHYDORM; NOT FOUND; 1 MG COM REV CT BL AL PLAS INC X 20; EMS
1356906040043; ROHYDORM; ROHYDORM; NOT FOUND; 2 MG COM REV CT BL AL PLAS INC X 20; EMS
1023507670277; RAMIPRIL + HIDROCLOROTIAZIDA; RAMIPRIL HIDROCLOROTIAZIDA; NOT FOUND; 5 MG + 25 MG COM CT BL AL/AL X 90 (EMB FRAC); EMS
1023507670137; RAMIPRIL + HIDROCLOROTIAZIDA; RAMIPRIL HIDROCLOROTIAZIDA; NOT FOUND; 5 MG + 25 MG COM CT BL AL/AL X 30; EMS
1356903080117; RAMIPRIL + HIDROCLOROTIAZIDA; RAMIPRIL HIDROCLOROTIAZIDA; NOT FOUND; 5 MG + 25 MG COM CT BL AL/AL X 30; EMS
1356904680096; RAMIPRESS HCT; RAMIPRESS HCT; NOT FOUND; 5 MG + 25 MG COM CT BL AL/AL X 30; EMS
1023510560029; ROVELAN HCT; ROVELAN HCT; NOT FOUND; 80 MG + 12.5 MG COM REV CT BL AL AL X 30; EMS
1023510560142; ROVELAN HCT; ROVELAN HCT; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL AL X 30; EMS
1023510560101; ROVELAN HCT; ROVELAN HCT; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL AL X 30; EMS
1023510560061; ROVELAN HCT; ROVELAN HCT; NOT FOUND; 320 MG + 25 MG COM REV CT BL AL AL X 30; EMS
1023504200024; REPOFLOR; REPOFLOR; NOT FOUND; 200 MG PO OR CT 4 ENV KRAFT POLIET X 1 G; EMS
SI/NC; REPOCAL; REPOCAL; NOT FOUND; 250MG PO ORALINST 15 ENV 3.5GRS; EMS
SI/NC; REPOCAL; REPOCAL; NOT FOUND; 500MG PO ORALINST 15 ENV 7.0GRS; EMS
