1023507750025; BRONCOLEX; BRONCOLEX; NOT FOUND; 10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML; EMS
1023507750017; BRONCOLEX; BRONCOLEX; NOT FOUND; 5 MG/ML XPE INF CT FR VD AMB X 120 ML + CP MED X 10 ML; EMS
1023504920027; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; 40 MG/ML SUS OR CT FA VD AMB X  120 ML; EMS
1023505360033; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10MG 2 BLT C/ 10 COMP; EMS
1023505360041; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 30; EMS
1023505360017; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5MG 2 BLT C/ 10 COMP; EMS
1023505360025; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 30; EMS
1023505360165; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS LAR X 90 (EMB FRAC); EMS
1023505360149; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS LAR X 90 (EMB FRAC); EMS
1356906680069; BRASART BCC; BRASART BCC; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL AL X 10 ; EMS
1356906680077; BRASART BCC; BRASART BCC; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL AL X 30; EMS
1356906680085; BRASART BCC; BRASART BCC; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL AL X 60; EMS
1356906680174; BRASART BCC; BRASART BCC; NOT FOUND; 320 MG + 5 MG COM REV CT BL AL AL X 30; EMS
1356906680182; BRASART BCC; BRASART BCC; NOT FOUND; 320 MG + 5 MG COM REV CT BL AL AL X 60; EMS
1356906680220; BRASART BCC; BRASART BCC; NOT FOUND; 320 MG + 10 MG  COM REV CT BL AL AL X 30; EMS
1023504220025; BETROSPAM; BETROSPAM; NOT FOUND; (5 + 2) MG/ML SUS INJ CT AMP VD INC; EMS
1023505700012; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML; EMS
1023505680011; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5MG/ML SOL ORAL GTS FR C/ 15ML; EMS
1356901650013; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5 MG/ML SOL OR CT FR VD AMB X 15 ML; EMS
1023506800071; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5 MG COM CT BL AL PLAS BCO LEIT X 20 ; EMS
1023506800215; BETAMETASONA; BETAMETASONA; BETAMETASONA; 2.0 MG COM CT BL AL PLAS OPC X 10  ; EMS
1023506800320; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5 MG COM CT BL AL PLAS BCO LEIT X 90 (EMB FRAC); EMS
1023506800339; BETAMETASONA; BETAMETASONA; BETAMETASONA; 2.0 MG COM CT BL AL PLAS BCO LEIT X 90 (EMB FRAC); EMS
1356901860166; BETAMETASONA; BETAMETASONA; BETAMETASONA; 2.0MG COM CT BL AL PLAS BCO LEIT X 10 ; EMS
1356901860069; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5 MG COM CT BL AL PLAS BCO LEIT X 20; EMS
1023506550022; BEZAFIBRATO; BEZAFIBRATO; BEZAFIBRATO; 200 MG COM REV CT BL AL PLAS BRANCO X 20 ; EMS
1023506550073; BEZAFIBRATO; BEZAFIBRATO; BEZAFIBRATO; 200 MG COM REV CT BL AL PLAS BCO X 60 (EMB FRAC); EMS
1356901730025; BEZAFIBRATO; BEZAFIBRATO; BEZAFIBRATO; 200 MG COM REV CT BL AL PLAS LEIT X 20 ; EMS
1356905350022; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML; EMS
1023509510021; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X  3 ML; EMS
1023509510031; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; EMS
1356905350030; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; EMS
1023510130016; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL/AL X 14; EMS
1023510130024; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL/AL X 28; EMS
1023508210024; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 2.5 MG/ML SOL OR CT FR VD AMB0 GOT X 20 ML; EMS
1023504690021; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 20; EMS
1023504690048; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 30; EMS
1023504690031; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 30; EMS
1023504690013; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 20; EMS
1356900100011; BROMOPIRIN; BROMOPIRIN; NOT FOUND; 1.05 MG + 25 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10; EMS
