1023503990021; TRICOCILIN; TRICOCILIN; NOT FOUND; CR VAG. 45G C/10 APLIC.; EMS
1023503750012; TENSIDIPIN; TENSIDIPIN; NOT FOUND; 5MG 1 BL X 20 COMP; EMS
1023503750020; TENSIDIPIN; TENSIDIPIN; NOT FOUND; 10MG BL 1X20= COMP; EMS
1356905930029; TROPINAL; TROPINAL; NOT FOUND; 300 MG + 1 MG + 0.0065 MG + 0.104 MG SOL OR CT FR VD AMB CGT X 15 ML; EMS
1356905930037; TROPINAL; TROPINAL; NOT FOUND; 300 MG + 1 MG + 0.0065 MG + 0.104 MG COM CT BL AL PVDC BRANCO LEIT X 20; EMS
1356906110041; TORAGESIC; TORAGESIC; NOT FOUND; 10 MG COM SUB-LING CT FR VD AMB X 20; EMS
1023507690022; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; 10 MG COM SUB-LING CT FR VD AMB X 10; EMS
1356900190019; TENADREN; TENADREN; NOT FOUND; 40 MG + 25 MG COM CT 2 BL AL PLAS INC X 15; EMS
1356900190027; TENADREN; TENADREN; NOT FOUND; 80 MG + 25 MG COM CT 2 BL AL PLAS INC X 15; EMS
1356902310062; TENADREN; TENADREN; NOT FOUND; 80 MG + 12.5 MG COM CT BL AL PLAS INC X 30; EMS
1356902310021; TENADREN; TENADREN; NOT FOUND; 40 MG + 12.5 MG COM CT BL AL PLAS INC X 30; EMS
1356902310097; TENADREN; TENADREN; NOT FOUND; 40 MG + 12.5 MG COM CT BL AL PLAS INC X 100 (EMB. FRAC.); EMS
1356902310151; TENADREN; TENADREN; NOT FOUND; 80 MG + 12.5 MG COM CT BL AL PLAS INC X 100 (EMB. FRAC.); EMS
1356900190051; TENADREN; TENADREN; NOT FOUND; 80 MG + 25 MG COM CT BL AL PLAS INC X 100 (EMB FRAC); EMS
1356900190035; TENADREN; TENADREN; NOT FOUND; 40 MG + 25 MG COM CT BL AL PLAS INC X 100 (EMB FRAC); EMS
1023509330031; TRINULOX; TRINULOX; NOT FOUND; 40 MG/G + 0.5 MG/G + 0.1 MG/G CREM DERM CT BG AL X 15 G; EMS
1023502280047; TETRAMICIN; TETRAMICIN; NOT FOUND; 500 MG CAP CT ENV AL X 100; EMS
1356904280251; TAVAFLOX; TAVAFLOX; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 7; EMS
1356904280268; TAVAFLOX; TAVAFLOX; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 10; EMS
1023502650022; TRICOCET; TRICOCET; NOT FOUND; SUSP FR C/40ML; EMS
1023502650030; TRICOCET; TRICOCET; NOT FOUND; CREME VAGINAL BISN 50G C/APLI; EMS
1356902300024; TINIDAZOL + NITRATO DE MICONAZOL; TINIDAZOL NITRATO MICONAZOL; NOT FOUND; 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC ; EMS
1023507060029; TINIDAZOL + NITRATO DE MICONAZOL; TINIDAZOL NITRATO MICONAZOL; NOT FOUND; 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC; EMS
1356902850032; TRENTAFILINA; TRENTAFILINA; NOT FOUND; 400 MG COM REV CT 01 BL AL PVDC LEIT X 20; EMS
1356902850040; TRENTAFILINA; TRENTAFILINA; NOT FOUND; 400 MG COM REV CT 01 BL AL PVDC LEIT X 30; EMS
1356902850131; TRENTAFILINA; TRENTAFILINA; NOT FOUND; 600 MG COM REV CT 01 BL AL PVDC LEIT X 20; EMS
