1356900350083; AGLUCOSE; AGLUCOSE; NOT FOUND; 100 MG COM CT 3 BL AL PVDC LEIT X 10; EMS
1356900350032; AGLUCOSE; AGLUCOSE; NOT FOUND; 50 MG COM CT 3 BL AL PVDC LEIT X 10; EMS
1023506580010; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EMS
1023506580029; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + COP; EMS
1356901950025; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; EMS
1356901950017; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED  ; EMS
1023508410031; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 15 MG/G CREM DERM CT BG AL X 30 G; EMS
1023510530030; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG  COM  REV CT BL AL PLAS OPC X 12; EMS
1023510530049; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG  COM  REV CT BL AL AL X 12; EMS
1356901580015; ARTEMIDIS 35; ARTEMIDIS 35; NOT FOUND; 2.00 MG + 0.035 MG COM REV CT BL AL PLAS INC X 21  01; EMS
1023508480013; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/G CREM DERM CT BG AL X 10 G  ; EMS
1023500360019; ACETOFLUX; ACETOFLUX; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 5; EMS
1023500360078; ACETOFLUX; ACETOFLUX; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 14; EMS
1023506300018; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; XPE FR X 100ML; EMS
1023506310048; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 600 MG GRAN CT 16 ENV AL POLIET X 5 G; EMS
1023506300026; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EMS
1023506300085; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EMS
1356902590014; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 200 MG GRAN CT 16 ENV AL POLIET X 5 G ; EMS
1356902640011; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED ; EMS
1356902590030; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 600 MG GRAN CT 16 ENV AL POLIET X 5 G ; EMS
1356902640038; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EMS
1356902640062; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; EMS
1023506310013; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 200 MG GRAN CT 16 ENV AL POLIET X 5 G ; EMS
1356902590022; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 100 MG GRAN CT 16 ENV AL POLIET X 5 G ; EMS
1023506310031; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 100 MG GRAN CT 16 ENV AL POLIET X 5 G ; EMS
1023506310072; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 100 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC); EMS
1023506310080; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 200 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC); EMS
1023506310099; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 600 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC) ; EMS
1356902590081; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 100 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC); EMS
1356902590073; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 200 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC); EMS
1356902590091; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 600 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC); EMS
1023504410010; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; EMS
1356903300011; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; EMS
1023504060052; ANTIVIRAX; ANTIVIRAX; NOT FOUND; 250 MG PO LIOF CT 5 FA VD INC; EMS
1023504060036; ANTIVIRAX; ANTIVIRAX; NOT FOUND; 50 MG/G CREM CT BG AL X 10 G; EMS
1023504060011; ANTIVIRAX; ANTIVIRAX; NOT FOUND; 200 MG 3 BL X 10 COMP; EMS
1023507480028; ADAPALENO; ADAPALENO; ADAPALENO; 1 MG/G CREM DERM CT BG AL X 30 G; EMS
1023507490023; ADAPALENO; ADAPALENO; ADAPALENO; 1 MG/G GEL CT BG AL X 30 G; EMS
1356902870025; ADAPALENO; ADAPALENO; ADAPALENO; 1 MG/G CREM DERM CT BG AL X 30 G; EMS
1356902860021; ADAPALENO; ADAPALENO; ADAPALENO; 1 MG/G GEL CT BG AL X 30 G; EMS
1023500110033; ANEKRON; ANEKRON; NOT FOUND; SOL C/ 12 FLAC X 10ML; EMS
1023505130011; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CT FR VD AMB X 10 ML ; EMS
1356903280019; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CT FR VD AMB X 10 ML + CP MED; EMS
1023506620047; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST CT STR X 1; EMS
1023506620071; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 200 MG COM MAST CT BL AL PLAS LEIT X 2 ; EMS
1356901790052; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST CT BL AL PLAS OPC X 1 ; EMS
1356901790079; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 200 MG COM MAST CT BL AL PLAS OPC X 2 ; EMS
1023507450226; ALENDRONATO SÓDICO; ALENDRONATO SODICO; NOT FOUND; 70 MG COM CT BL AL PLAS LEIT X 2; EMS
1023507450234; ALENDRONATO SÓDICO; ALENDRONATO SODICO; NOT FOUND; 70 MG COM CT BL AL PLAS LEIT X 4; EMS
1023509340029; ALENDÓSSEO; ALENDOSSEO; NOT FOUND; 70 MG COM CT BL AL PLAS OPC X 4; EMS
1356903190222; ALENDRONATO SÓDICO; ALENDRONATO SODICO; NOT FOUND; 70 MG COM CT BL AL PLAS LEIT X 2; EMS
1356903190230; ALENDRONATO SÓDICO; ALENDRONATO SODICO; NOT FOUND; 70 MG COM CT BL AL PLAS LEIT X 4; EMS
1023507830010; ALGESTONA ACETONIDA + ENANTATO DE ESTRADIOL; ALGESTONA ACETONIDA ENANTATO ESTRADIOL; NOT FOUND; 150 MG/ML + 10 MG/ML SOL INJ IM CT AMP VD AMB X 1 ML ; EMS
1356903450011; ALGESTONA ACETONIDA + ENANTATO DE ESTRADIOL; ALGESTONA ACETONIDA ENANTATO ESTRADIOL; NOT FOUND; 150 MG/ML + 10 MG/ML SOL INJ IM CT AMP VD AMB X 1 ML ; EMS
1023505200044; ALOPURINOL; ALOPURINOL; ALOPURINOL; 300MG 3 BL X 10 COMP; EMS
1023506630018; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS INC X 20 ; EMS
1023506630077; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 20 ; EMS
1023506630131; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1 MG COM CT BL AL PLAS INC X 20 ; EMS
1023506630034; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS INC X 30 ; EMS
1023506630093; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 30; EMS
1023506630158; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1 MG COM CT BL AL PLAS INC X 30; EMS
1023506630190; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2 MG COM CT BL AL PLAS INC X 20; EMS
1023506630204; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2 MG COM CT BL AL PLAS INC X 30; EMS
1356902510053; ALPRAZOLAM (B1); ALPRAZOLAM B1; NOT FOUND; 0.25 MG COM CT BL AL PLAS OPC X 20; EMS
1356902510177; ALPRAZOLAM (B1); ALPRAZOLAM B1; NOT FOUND; 0.5 MG COM CT BL AL PLAS OPC X 20; EMS
1356902510290; ALPRAZOLAM (B1); ALPRAZOLAM B1; NOT FOUND; 1.0 MG COM CT BL AL PLAS OPC X 20; EMS
1356902510411; ALPRAZOLAM (B1); ALPRAZOLAM B1; NOT FOUND; 2.0 MG COM CT BL AL PLAS OPC X 20; EMS
1356904470342; ALFRON; ALFRON; NOT FOUND; 2 MG COM CT BL AL PVDC BCO LEIT X 20; EMS
1356904470350; ALFRON; ALFRON; NOT FOUND; 2 MG COM CT BL AL PVDC BCO LEIT X 30; EMS
1356904470164; ALFRON; ALFRON; NOT FOUND; 0.5 MG COM CT BL AL PVDC BCO LEIT X 20; EMS
1356904470261; ALFRON; ALFRON; NOT FOUND; 1 MG COM CT BL AL PVDC BCO LEIT X 30; EMS
1356904470253; ALFRON; ALFRON; NOT FOUND; 1 MG COM CT BL AL PVDC BCO LEIT X 20; EMS
1356904470075; ALFRON; ALFRON; NOT FOUND; 0.25 MG COM CT BL AL PVDC BCO LEIT X 20 ; EMS
1356904470083; ALFRON; ALFRON; NOT FOUND; 0.25 MG COM CT BL AL PVDC BCO LEIT X 30; EMS
1356904470172; ALFRON; ALFRON; NOT FOUND; 0.5 MG COM CT BL AL PVDC BCO LEIT X 30; EMS
1356904910016; ALPRODIL; ALPRODIL; NOT FOUND; 20 MCG/ML SOL INJ CT 2 AMP VD AMB X 1 ML  ; EMS
1023503090039; AMINOFIL; AMINOFIL; NOT FOUND; 240MG INJ 100AMP X 10 ML; EMS
1023503090039; AMINOFIL; AMINOFIL; NOT FOUND; 240MG INJ 100AMP X 10 ML; EMS
1023504480027; AMINOFILINA; AMINOFILINA; AMINOFILINA; 240MG 100 AMP X 10 ML; EMS
1023504550051; AMOXICILINA TRIIDRATADA; AMOXICILINA TRIIDRATADA; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; EMS
1356901940021; AMOXICILINA; AMOXICILINA; AMOXICILINA; 875 MG COM REV CT BL AL AL X 14; EMS
1356904070093; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG COM CT BL AL PLAS LEIT X 21; EMS
1356904250024; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; EMS
1023504010063; AMOX; AMOX; NOT FOUND; EMS - SUSP PO 250MG/5ML FR 150ML; EMS
1023504010071; AMOX; AMOX; NOT FOUND; EMS - SUSP PO 500MG/5ML FR 150ML; EMS
1023504010128; AMOX; AMOX; NOT FOUND; EMS - 500 MG 1 BL X 21 CAPS; EMS
1023504650089; AMOXICILINA; AMOXICILINA; AMOXICILINA; SUSP 500MG/5ML FR X 150ML; EMS
1023506080034; AMOXICILINA; AMOXICILINA; AMOXICILINA; 200MG SUSP FR 100ML; EMS
1023506080026; AMOXICILINA; AMOXICILINA; AMOXICILINA; 400MG SUSP FR 100ML; EMS
1023504650038; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUS OR CT FR PLAS OPC X 150 ML + CP DOSAD; EMS
1023504550025; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; EMS
1023504550033; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; EMS
1023506650027; AMOXICILINA; AMOXICILINA; AMOXICILINA; 875 MG COM REV CT BL AL AL X 14; EMS
1023504550084; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 72 (EMB FRAC) ; EMS
1023506650035; AMOXICILINA; AMOXICILINA; AMOXICILINA; 875 MG COM REV CT BL AL AL X 30 (EMB FRAC) ; EMS
1023508170138; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG COM CT BL AL PLAS LEIT X 72 (EMB FRAC); EMS
1023508170091; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG COM CT BL AL PLAS LEIT X 21; EMS
1023505280013; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 25 MG/ML + 6.25 MG/ML PO SUS OR CT FR VD AMB X 75 ML + COL DOS; EMS
1023505280021; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 50 MG/ML + 12.5 MG/ML PO SUS OR CT FR VD AMB X 75 ML + COL DOS; EMS
