1356900090014; PREG-LESS; PREG LESS; NOT FOUND; 150 MG/ML+10 MG/ML SOL INJ CT AMP VD INC X 1 ML; EMS
1023501680130; POLIMOXIL; POLIMOXIL; NOT FOUND; 500 MG/5 ML SUS OR CT FR VD AMB X 150 ML; EMS
1023501680130; POLIMOXIL; POLIMOXIL; NOT FOUND; SUSP FR PO 150ML (HOSP); EMS
1023501680149; POLIMOXIL; POLIMOXIL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; EMS
1023501680122; POLIMOXIL; POLIMOXIL; NOT FOUND; 500MG 25 BL X 20 CAPS (HOSP); EMS
1023501680038; POLIMOXIL; POLIMOXIL; NOT FOUND; 500MG 2STP C/6 CAPS; EMS
1023501680092; POLIMOXIL; POLIMOXIL; NOT FOUND; 500MG STP C/18 CAPS (HOSP); EMS
1023503520084; POLICLAVUMOXIL; POLICLAVUMOXIL; NOT FOUND; BD SUSP400MG FR C70ML; EMS
1023503520033; POLICLAVUMOXIL; POLICLAVUMOXIL; NOT FOUND; 250 MG/5 ML SUS OR CT FR VD AMB X 75 ML; EMS
1023503520068; POLICLAVUMOXIL; POLICLAVUMOXIL; NOT FOUND; 500 MG + 125 MG COM REV CT 2 BL AL/AL X 6; EMS
1023503520076; POLICLAVUMOXIL; POLICLAVUMOXIL; NOT FOUND; 500 MG + 125 MG COM REV CT 3 BL AL/AL X 6; EMS
1023503520106; POLICLAVUMOXIL; POLICLAVUMOXIL; NOT FOUND; 875 MG + 125 MG COM REV CT 2 BL AL/AL X 6; EMS
1023501960052; PROCPEN; PROCPEN; NOT FOUND; INJ 300000UI+100.000UI 50FR S/DIL; EMS
1023501960052; PROCPEN; PROCPEN; NOT FOUND; INJ 400000UI C/50 FR PO+DIL2M; EMS
1023501960052; PROCPEN; PROCPEN; NOT FOUND; INJ400000UI C/50 FR PO+DIL 2ML(HOSP); EMS
1023501740011; PREDMICIN; PREDMICIN; NOT FOUND; 20.000 UI + 10 MG/G + 5 MG/G + 30 MG/G POM DERM CT BG AL X 15 G; EMS
1023501740028; PREDMICIN; PREDMICIN; NOT FOUND; 10.000 UI + 10 MG + 5 MG + 30 MG/G POM DERM CT BG AL X 15 G; EMS
1023510210011; PLAQUEVIX; PLAQUEVIX; NOT FOUND; 75 MG COM REV CT BL AL AL X 14; EMS
1023510210028; PLAQUEVIX; PLAQUEVIX; NOT FOUND; 75 MG COM REV CT BL AL AL X 28; EMS
1023508680012; PARACETAMOL + CAFEÍNA; PARACETAMOL CAFEINA; NOT FOUND; 500 MG + 65 MG COM REV CT BL AL PLAS LEIT X 20 ; EMS
1356904490017; PARACETAMOL+CAFEÍNA; PARACETAMOL CAFEINA; NOT FOUND; 500 MG + 65 MG COM REV CT BL PLAS LEIT X 20; EMS
1023503490029; PRILPRESSIN; PRILPRESSIN; NOT FOUND; 12.5 MG 3 BL X 10 COMP; EMS
1023503490045; PRILPRESSIN; PRILPRESSIN; NOT FOUND; 25MG 3 BLX10 COMP; EMS
1023505450091; PROFENAN; PROFENAN; NOT FOUND; 100MG INJ C/100AMP 2ML; EMS
1023505450105; PROFENAN; PROFENAN; NOT FOUND; 100MG IV C/50 S/DIL (HOSP); EMS
1023502270051; PROFLOX; PROFLOX; NOT FOUND; INJ 200MG C/1 FR/AMP 20ML; EMS
1023502770051; PROFLOX; PROFLOX; NOT FOUND; INJ 200MG C/1 FR 100ML (HOSP); EMS
1023502270378; PROFLOX; PROFLOX; NOT FOUND; 250 MG 2BLS/7 COMP; EMS
1023502270343; PROFLOX; PROFLOX; NOT FOUND; 250 MG COM REV CT BL AL  PVDC LEIT X 10; EMS
1023502270270; PROFLOX; PROFLOX; NOT FOUND; 250MG FR C/10 COMP; EMS
1023502270424; PROFLOX; PROFLOX; NOT FOUND; 500 MG 2 BL X 7 COMP; EMS
1023502270408; PROFLOX; PROFLOX; NOT FOUND; 500 MG COM REV CT  BL AL  PVDC LEIT X 10; EMS
1023502270017; PROFLOX; PROFLOX; NOT FOUND; 500MG FR C/10 COMP; EMS
1023502270467; PROFLOX; PROFLOX; NOT FOUND; 750 MG COM REV CT  BL AL  PVDC LEIT X 10; EMS
1023502270033; PROFLOX; PROFLOX; NOT FOUND; 750MG FR C/10 COMP; EMS
1356906270111; PROFLOX; PROFLOX; NOT FOUND; 750 MG COM REV CT BL AL PLAS OPC X 10; EMS
1356906270030; PROFLOX; PROFLOX; NOT FOUND; 250 MG COM REV CT BL AL PLAS OPC X 10; EMS
1356906270049; PROFLOX; PROFLOX; NOT FOUND; 250 MG COM REV CT BL AL PLAS OPC X 14; EMS
1356906270073; PROFLOX; PROFLOX; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 10; EMS
1356906270057; PROFLOX; PROFLOX; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 14; EMS
1356905420144; PONDIX; PONDIX; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X 30; EMS
2026101030015; PANTEVIT; PANTEVIT; NOT FOUND; SOL FR C/150ML; EMS
1023503370015; PROCAVIT; PROCAVIT; NOT FOUND; FR. PLAST C/30; EMS
1023503370023; PROCAVIT; PROCAVIT; NOT FOUND; FR. PLAST. C/60; EMS
1023503150021; PROMECLOR; PROMECLOR; NOT FOUND; 50MG INJ CX C/50 AMPX 2ML (HOSP); EMS
1023503150023; PROMECLOR; PROMECLOR; NOT FOUND; 5 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML; EMS
1356900170018; PROPRANOLOL; PROPRANOLOL; PROPRANOLOL; 1MG INJ 10AMP X 1 ML; EMS
1356900170026; PROPRANOLOL; PROPRANOLOL; PROPRANOLOL; 10 MG COM CT BL AL PLAS INC X 30; EMS
1356900170034; PROPRANOLOL; PROPRANOLOL; PROPRANOLOL; 40 MG COM CT BL AL PLAS INC X 30; EMS
1356900170042; PROPRANOLOL; PROPRANOLOL; PROPRANOLOL; 80 MG COM CT BL AL PLAS INC X 30; EMS
1023508880038; PARALGEN SINUS; PARALGEN SINUS; NOT FOUND; 500 MG + 30 MG COM REV CT BL PLAS LEIT X 120 (EMB FRAC); EMS
1023508880021; PARALGEN SINUS; PARALGEN SINUS; NOT FOUND; 500 MG + 30 MG COM REV CT BL PLAS LEIT X 24; EMS
1023508740066; PARACETAMOL + CLORIDRATO DE PSEUDOEFEDRINA; PARACETAMOL CLORIDRATO PSEUDOEFEDRINA; NOT FOUND; 500 MG + 30 MG COM REV CT BL AL PLAS OPC X 24; EMS
1356904740064; PARACETAMOL + CLORIDRATO DE PSEUDOEFEDRINA; PARACETAMOL CLORIDRATO PSEUDOEFEDRINA; NOT FOUND; 500 MG + 30 MG COM REV CT BL AL PLAS OPC X 24; EMS
1356906400015; PHASTER; PHASTER; NOT FOUND; 11.6 MG/G SOL AER DERM FILME PLAS CIL AL X 85 ML; EMS
1356906400023; PHASTER; PHASTER; NOT FOUND; 10 MG/G GEL CREM CT BG AL X 60 G; EMS
1356900070064; PREM; PREM; NOT FOUND; 0.30MG 3BL X 20 COMP; EMS
1356900070080; PREM; PREM; NOT FOUND; 0.625MG 3 BL X 20 COMP; EMS
1356900070153; PREM; PREM; NOT FOUND; 1.25MG 3 BL X 20 COMP; EMS
1356900070161; PREM; PREM; NOT FOUND; 2.50MG 3 BL X 20 COMP; EMS
1023505850014; PREVIANE; PREVIANE; NOT FOUND; 0.075 MG + 0.02 MG COM REV CT BL AL PLAS INC - CALEND X 21 ; EMS
1023505850030; PREVIANE; PREVIANE; NOT FOUND; 0.075 MG + 0.02 MG COM REV CT 3 BL AL PLAS INC - CALEND X 21 ; EMS
1356906070058; PENVIR; PENVIR; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 21; EMS
1356906070031; PENVIR; PENVIR; NOT FOUND; 125 MG COM REV CT BL AL PLAS OPC X 10; EMS
1356906070041; PENVIR; PENVIR; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 14; EMS
1356906200024; PREDSIGMA; PREDSIGMA; NOT FOUND; 3 MG/ML SOL OR CT FR PLAS AMB X 60 ML + SER DOSAD; EMS
1356906430046; PATZ SL; PATZ SL; NOT FOUND; 5 MG COM SUBL CT FR VD AMB X 20; EMS
1356906430054; PATZ SL; PATZ SL; NOT FOUND; 5 MG COM SUBL CT FR VD AMB X 30; EMS
1023506130015; PREVYOL-2; PREVYOL 2; NOT FOUND; 0.75 MG COM CT BL AL PLAS INC X 2; EMS
