1356901500409; VELAMOX BD; VELAMOX BD; NOT FOUND; SUSP 400MG FR X 100ML; EMS
SI/NC; VELAMOX; VELAMOX; NOT FOUND; SUSP 250MG/5ML HOSP FR X 150ML; EMS
1356906230209; VELAMOX; VELAMOX; NOT FOUND; 100 MG/ML SUS OR CT FR PLAS OPC X 150 ML + CP MED; EMS
1356906230152; VELAMOX; VELAMOX; NOT FOUND; 250 MG/ 5 ML PO SUS OR CT FR PLAS OPC X 150 ML + CP MED + SER DOSAD.; EMS
1356906230187; VELAMOX; VELAMOX; NOT FOUND; 400 MG/ 5 ML PO SUS OR CT FR PLAS OPC X 100 ML + CP MED + SER DOSAD; EMS
1356906230047; VELAMOX; VELAMOX; NOT FOUND; 1 G COM CT BL AL PVDC BCO LEIT X 12; EMS
1356906230020; VELAMOX; VELAMOX; NOT FOUND; 500 MG COM CT BL AL PVDC BCO LEIT X 18; EMS
1356906230098; VELAMOX; VELAMOX; NOT FOUND; 875 MG COM REV CT BL AL/AL X 14; EMS
1023505580017; VAL.BETAME.+SULF.GENT.+CLIOQ.+TOLNAFTATO; VAL BETAME SULF GENT CLIOQ TOLNAFTATO; NOT FOUND; POMADA 20G; EMS
1023505560016; VAL.BETAME.+SULF.GENT.+CLIOQ.+TOLNAFTATO; VAL BETAME SULF GENT CLIOQ TOLNAFTATO; NOT FOUND; CREME 20G; EMS
1356903360039; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G; EMS
1356903340038; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G; EMS
1356906250171; VAZY; VAZY; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS OPC X 60; EMS
1356906250102; VAZY; VAZY; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
1356906250137; VAZY; VAZY; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 60; EMS
1356906250129; VAZY; VAZY; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
1356905160071; VENFORIN; VENFORIN; NOT FOUND; 37.5 MG CAP GEL DURA LIB PROL CT BL AL PLAS OPC X 14; EMS
1356905160053; VENFORIN; VENFORIN; NOT FOUND; 150 MG CAP GEL DURA LIB PROL CT BL AL PLAS BCO OPC X 30; EMS
1356905160177; VENFORIN; VENFORIN; NOT FOUND; 75 MG CAP GEL DURA LIB PROL CT BL AL PLAS OPC X 30; EMS
1023503350091; VOLTAFLEX; VOLTAFLEX; NOT FOUND; SOL INJ 50 AMPX 3ML; EMS
1023503350091; VOLTAFLEX; VOLTAFLEX; NOT FOUND; SOL INJ 50AMPX 3ML (HOSP); EMS
1023503350020; VOLTAFLEX; VOLTAFLEX; NOT FOUND; GTS FR X 10ML; EMS
1023503350102; VOLTAFLEX; VOLTAFLEX; NOT FOUND; GEL BISN C/60G-E; EMS
1023503350047; VOLTAFLEX; VOLTAFLEX; NOT FOUND; 100MG COM AP CT BL AL PLAS INC X 10; EMS
1023503350055; VOLTAFLEX; VOLTAFLEX; NOT FOUND; 1 BL X 10 COMP; EMS
1023503350012; VOLTAFLEX; VOLTAFLEX; NOT FOUND; 50MG COM REV CT 2 BL AL PLAS INC X 10; EMS
1356906440051; VASTIGMA; VASTIGMA; NOT FOUND; 1.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
1356906440130; VASTIGMA; VASTIGMA; NOT FOUND; 3.0 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
1356906440211; VASTIGMA; VASTIGMA; NOT FOUND; 4.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
1356906440297; VASTIGMA; VASTIGMA; NOT FOUND; 6.0 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
1023510550023; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 80 MG + 12.5 MG COM REV CT BL AL AL X 30; EMS
1023510550147; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL AL X 30; EMS
1023510550104; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL AL X 30; EMS
1023510550066; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 MG + 25 MG COM REV CT BL AL AL X 30; EMS
1023510550181; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 MG + 12.5 MG COM REV CT BL AL AL X 30; EMS
1023510470046; VASOTRILIX; VASOTRILIX; NOT FOUND; 1.5 MG COM REV CT BL AL AL X 30; EMS
1023506420013; VALERATO DE BETAMETASONA + SULFATO DE NEOMICINA; VALERATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 1 MG/G + 5 MG/G POM CT BG AL X 30G; EMS
1023506410018; VALERATO DE BETAMETASONA + SULFATO DE NEOMICINA; VALERATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 1 MG/ G + 5 MG/G CREM CT BG AL X 30G; EMS
