1023509870011; GASTROBENE; GASTROBENE; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 20; EMS
1023501110081; GELMAX; GELMAX; NOT FOUND; EFERV ABACAXI 100 SACHET C/5; EMS
1023501110040; GELMAX; GELMAX; NOT FOUND; 178MG + 185MG + 230MG PO EFEV CT 20 SACH X 5 G (SABOR ABACAXI); EMS
1023501110095; GELMAX; GELMAX; NOT FOUND; EFERV LIMAO 100 SACHET C/5G; EMS
1023501110067; GELMAX; GELMAX; NOT FOUND; EFERV LIMAO 20 SACHET C/5G; EMS
1023501110025; GELMAX; GELMAX; NOT FOUND; SUSP FR C/240ML; EMS
1023501110024; GELMAX; GELMAX; NOT FOUND; SUSP PAPAYA-CASSIS FR C/240ML; EMS
1023501110016; GELMAX; GELMAX; NOT FOUND; 4 BL X 6 COMP; EMS
1023501110016; GELMAX; GELMAX; NOT FOUND; 178MG+185MG+230MG COM MAST MAMAO-CASSIS CT BL AL PLAS X 24 ; EMS
1023501110091; GELMAX; GELMAX; NOT FOUND; PAPAYA-CASSIS BL 20 X 6 COMP; EMS
1023501110120; GELMAX; GELMAX; NOT FOUND; DISPLAY 20 BL X 6 COMP; EMS
1023501110105; GELMAX; GELMAX; NOT FOUND; 178 MG + 185 MG + 230 MG COM MAST CT BL AL PLAS INC X 120 (SABOR LIMAO); EMS
1023510380039; GRIPEN NOITE; GRIPEN NOITE; NOT FOUND; 400 MG + 20 MG COM AMARELO / 400 MG+4 MG COM LARANJA CT BL AL/AL X 12 + 12; EMS
1023510380047; GRIPEN NOITE; GRIPEN NOITE; NOT FOUND; 400 MG + 20 MG COM AMARELO / 400 MG+4 MG COM LARANJA CT BL AL/AL X 50 + 50; EMS
1023501160056; GRIPEN; GRIPEN; NOT FOUND; 3STP C/4 COMP; EMS
1023510360021; GRIPEN DIA; GRIPEN DIA; NOT FOUND; 800MG + 20 MG COM CT BL AL AL X 12 COM AMARELO + 12 COM BRANCO ; EMS
1023510360046; GRIPEN DIA; GRIPEN DIA; NOT FOUND; 800MG + 20 MG COM CT BL AL AL X 50 COM AMARELO + 50 COM BRANCO ; EMS
1023507160244; GELMAX DIM; GELMAX DIM; NOT FOUND; (400 + 400 + 30)MG/5 ML SUS OR CT FR PLAS OPC X 240 ML (MORANGO) ; EMS
1023507160104; GELMAX DIM; GELMAX DIM; NOT FOUND; (400 + 400 + 30)MG/5ML SUS OR CT FR PLAS OPC X 240 ML (TRADICIONAL) ; EMS
1023503870026; GLYFLUCAN; GLYFLUCAN; NOT FOUND; 150MG 1 BL X 1 CAPS; EMS
