1023507890048; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10MG/G + 0.4MG/G CREM DERM CT BG AL X 40G; EMS
1356903560046; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10MG/G + 0.4MG/G CREM DERM CT BG AL X 40G; EMS
1356903310015; CLORIDRATO DE TETRACICLINA + ANFOTERICINA B; CLORIDRATO TETRACICLINA ANFOTERICINA B; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CT BG AL X 45G + 10 APLIC ; EMS
1023505900011; CLORID.TETRAMICINA + ANFOTERICINA; CLORID TETRAMICINA ANFOTERICINA; NOT FOUND; CR VAG 45G C/10 APL; EMS
1023505820018; CETOC.+BETAM.+SULF. NEO.; CETOC BETAM SULF NEO; NOT FOUND; CREME 20 + 0.5 + 2.5 MG/G BISN; EMS
1023505830013; CETOC.+BETAM.+SULF. NEO.; CETOC BETAM SULF NEO; NOT FOUND; POMADA 20 + 0.5 + 2.5 MG/G; EMS
1023505840027; CELERG; CELERG; NOT FOUND; 0.25 MG + 2 MG / 5 ML XPE CT 25 FR VD AMB X 120 ML - CP MED (EMB HOSP); EMS
1023506070039; CELERGIN; CELERGIN; NOT FOUND; 0.25 MG + 2 MG / 5 ML XPE 120ML; EMS
1023505840061; CELERG; CELERG; NOT FOUND; 0.25 MG + 2 MG COM CT 2 BL AL PLAS INC X 10; EMS
1023506070047; CELERGIN; CELERGIN; NOT FOUND; 0.25 MG + 2 MG COMP 2 BL X 10 COMP-E; EMS
1023502420057; COMPLEXO B; COMPLEXO B; NOT FOUND; INJ 2ML C/100; EMS
1023502420057; COMPLEXO B; COMPLEXO B; NOT FOUND; INJ 2ML C/100 (HOSP); EMS
1023502760019; COMPLEXO B; COMPLEXO B; NOT FOUND; GOTAS FR C/20ML; EMS
1023502420030; COMPLEXO B; COMPLEXO B; NOT FOUND; (3MG + 1MG + 1MG + 1.5MCG + 2.5MG + 1.5MG)/ML XPE CT FR VD AMB X 120 ML; EMS
1023502760027; COMPLEXO B; COMPLEXO B; NOT FOUND; FR C/100 COMP REV; EMS
1023502430019; COMPLEXO B; COMPLEXO B; NOT FOUND; FR C/20 COMP REV; EMS
1356906160014; CUORE; CUORE; NOT FOUND; 75 MG COM REV CT BL AL AL X 14 ; EMS
1356906160022; CUORE; CUORE; NOT FOUND; 75 MG COM REV CT BL AL AL X 28; EMS
1023507330034; CITRATO DE ORFENADINA +DIPIRONA SÓDICA + CAFEÍNA ANIDRA; CITRATO ORFENADINA DIPIRONA SODICA CAFEINA ANIDRA; NOT FOUND; 35 MG/ML + 300 MG/ML + 50 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; EMS
1356903470039; CITRATO DE ORFENADRINA + DIPIRONA SÓDICA + CAFEÍNA ANIDRA; CITRATO ORFENADRINA DIPIRONA SODICA CAFEINA ANIDRA; NOT FOUND; 35 MG/ML + 300 MG/ML + 50 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; EMS
1023510890029; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 8 MG COM CT BL AL PLAS OPC X 30; EMS
1023510890071; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 16 MG COM CT BL AL PLAS OPC X 30; EMS
1023510970022; CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 8 MG + 12.5 MG CT BL AL PLAS OPC X 30; EMS
1023510970073; CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 16 MG + 12.5 MG CT BL AL PLAS OPC X 30; EMS
1023504540046; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25MG 2 BL X 14 COMP; EMS
1023504540070; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; EMS
1023504540054; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50MG 1 BL X 16 COMP; EMS
1023504540062; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50MG 2 BL X 14 COMP; EMS
1023504540097; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 30; EMS
1023504540151; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); EMS
1023504540135; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); EMS
1023504540194; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 90 (EMB FRAC)  ; EMS
1023504540208; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 90 (EMB FRAC) ; EMS
1023504540216; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 90 (EMB FRAC) ; EMS
1023504540021; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 30; EMS
1023504540038; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG X 16 COMP; EMS
1023504540011; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG X 15 COMP; EMS
1356902050044; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 30; EMS
1356902050095; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; EMS
1356902050141; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 30; EMS
1023506240023; CAPTOPRIL + HIDROCLOROTIAZIDA; CAPTOPRIL HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 25 MG COM CT 2 BL AL PLAS LEIT X 15 ; EMS
1023506240031; CAPTOPRIL + HIDROCLOROTIAZIDA; CAPTOPRIL HIDROCLOROTIAZIDA; NOT FOUND; 50/25MG 4BL X 15 COMP; EMS
1023506240015; CAPTOPRIL + HIDROCLOROTIAZIDA; CAPTOPRIL HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 25 MG COM CT BL AL PLAS LEIT X 15  ; EMS
1023506240058; CAPTOPRIL + HIDROCLOROTIAZIDA; CAPTOPRIL HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 25 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC); EMS
1023505480071; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 20; EMS
1023505480128; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; (C1) 200MG 3 BL X 20COMP; EMS
1023505480020; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; (C1) 400 MG 2 BL X 10COMP; EMS
1023505240135; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 120 MG COM REV CT BL AL PLAS INC X 30; EMS
1023505480012; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 400 MG COM CT BL AL PLAS INC X 20; EMS
1023504610028; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; EMS
1023504610011; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; XPE INF 100ML; EMS
1023507320020; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML SOL OR CT FR VD AMB X 20 ML  ; EMS
1356902570021; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; EMS
1356903620014; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED ; EMS
1356903620049; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED ; EMS
1023500250013; C CALCIO; C CALCIO; NOT FOUND; 1.0 G + 0.625 G + 400 UI + 0.002 G COM EFEV CT TB PLAS X 10; EMS
1356900370351; CARVEDILAT; CARVEDILAT; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 30; EMS
1356900370386; CARVEDILAT; CARVEDILAT; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; EMS
1356900370300; CARVEDILAT; CARVEDILAT; NOT FOUND; 3.125 MG COM CT BL AL PLAS INC X 30; EMS
1356900370327; CARVEDILAT; CARVEDILAT; NOT FOUND; 6.25 MG COM CT BL AL PLAS INC X 30; EMS
1023510730021; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL AL X 15; EMS
1023510730048; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL AL X 30; EMS
1023510730099; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL AL X 15; EMS
1023510730110; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL AL X 30; EMS
1023510730161; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL AL X 15; EMS
1023510730188; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL AL X 30; EMS
1023510730234; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 15; EMS
