1356906090024; HIPOFAGIN S; HIPOFAGIN S; NOT FOUND; 75 MG COM LIB LENTA CT BL AL PLAS OPC X 20; EMS
1023509600039; HEMOSEV; HEMOSEV; NOT FOUND; 800 MG COM REV CT FR PLAS OPC X 180; EMS
1356905080041; HERPSTAL; HERPSTAL; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 42; EMS
1356905080017; HERPSTAL; HERPSTAL; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 10; EMS
1023501180011; HEXAFEN; HEXAFEN; NOT FOUND; LOCAO FR C/100ML; EMS
1023501180021; HEXAFEN; HEXAFEN; NOT FOUND; SHAMPOO FR C/100ML; EMS
1356905320026; HIDROALERG; HIDROALERG; NOT FOUND; 2 MG/ ML SOL OR CT FR PLAS OPC X 120 ML + CP MED; EMS
1023509300035; HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA; HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA; NOT FOUND; 40 MG/G + 0.5 MG/G +0.1 MG/G  CREM DERM CT BG AL X 15 G ; EMS
1023509300051; HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA; HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA; NOT FOUND; 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 30 G; EMS
1356905290054; HIDROQUINONA + TRETINOINA + FLUOCINOLONA ACETONIDA; HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA; NOT FOUND; 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 30 G ; EMS
1356905290046; HIDROQUINONA + TRETINOINA + FLUOCINOLONA ACETONIDA; HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA; NOT FOUND; 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 15 G; EMS
1023507650039; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; EMS
1356903020033; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; EMS
1023510440058; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 1.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
1023510440139; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 3.0 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
1023510440211; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 4.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
1023510440295; HEMITARTARATO DE RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 6.0 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
1023510650028; HEMITARTARATO DE ZOLPIDEM (PORT. 344/98 - LISTA B1); HEMITARTARATO ZOLPIDEM PORT 344 98 LISTA B1; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 10; EMS
1023510650036; HEMITARTARATO DE ZOLPIDEM (PORT. 344/98 - LISTA B1); HEMITARTARATO ZOLPIDEM PORT 344 98 LISTA B1; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 20; EMS
1023507920151; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS LEIT X 30; EMS
1023507920321; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 50 MG COM CT BL AL PLAS LEIT X 20; EMS
1356903630036; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS LEIT X 30; EMS
1356903630222; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 50 MG COM CT BL AL PLAS LEIT X 20; EMS
1023508060065; HIDROCORTISONA; HIDROCORTISONA; HIDROCORTISONA; 10 MG/ML SOL CAPIL CT FR PLAS OPC GOT X 60 ML  ; EMS
1356903780038; HIDROCORTISONA; HIDROCORTISONA; HIDROCORTISONA; 10 MG/ML SOL CAPIL CT FR PLAS OPC GOT X 60 ML ; EMS
1023508080031; HIDROCORTISONA; HIDROCORTISONA; HIDROCORTISONA; 10 MG/G POM DERM CT BG AL X 30 G ; EMS
1356903770032; HIDROCORTISONA; HIDROCORTISONA; HIDROCORTISONA; 10 MG/G POM DERM CT BG AL X 30 G ; EMS
1023509550041; HIDROQUINONA; HIDROQUINONA; HIDROQUINONA; 40 MG/G CREM CT BG AL X 30G; EMS
1023509370076; HIDROPEEK; HIDROPEEK; NOT FOUND; 40 MG/G CREM CT BG AL X 30 G; EMS
1356905390040; HIDROQUINONA; HIDROQUINONA; HIDROQUINONA; 40 MG/G CREM CT BG AL X 30G; EMS
1023509370033; HIDROPEEK; HIDROPEEK; NOT FOUND; 40 MG/G GEL CT BG AL X 30 G; EMS
1023509460024; HIXILERG; HIXILERG; NOT FOUND; 2 MG/ ML SOL OR CT FR PLAS AMB X 120 ML + COP; EMS
1023504940011; HIDRÓXIDO DE ALUMÍNIO; HIDROXIDO ALUMINIO; HIDROXIDO ALUMINIO; 61.5 MG/ML SUS OR CT FR PLAS OPC X 240 ML; EMS
1023504120012; HERPIGRAN; HERPIGRAN; NOT FOUND; 10MG BISN C/5G; EMS
