1111111111111; OSTEOFORM; OSTEOFORM; NOT FOUND; 10MG 2 BLT C/14 COMP; EMS
2222222222222; OSTEOFORM; OSTEOFORM; NOT FOUND; 70MG 1 BLT C/2 COMP; EMS
4444444444444; OSTEOFORM; OSTEOFORM; NOT FOUND; 70MG 1 BLT C/4 COMP; EMS
1356906240018; OSTEOFORM; OSTEOFORM; NOT FOUND; 70 MG COM CT BL AL PVC X 2; EMS
1356906240077; OSTEOFORM; OSTEOFORM; NOT FOUND; 70 MG COM CT BL AL PVDC OPC X 4; EMS
1356906240050; OSTEOFORM; OSTEOFORM; NOT FOUND; 70 MG COM CT BL AL PVDC OPC X 8; EMS
1023501570011; OTOMIXYN; OTOMIXYN; NOT FOUND; SOL OTO CT FR PLAS OPC GOT X 5 ML; EMS
1023501570025; OTOMIXYN; OTOMIXYN; NOT FOUND; 0.250 MG/ML + 10.000 UI/ML + 3.500 MG/ML + 20 MG/ML SOL OTO CT FR PLAS OPC GOT X 5 ML; EMS
1356905210034; OSKIN; OSKIN; NOT FOUND; 40 MG/G + 0.5 MG/G + 0.1 MG/G CREM DERM CT BG AL X 15 G; EMS
1356905210050; OSKIN; OSKIN; NOT FOUND; 40 MG/G + 0.5 MG/G + 0.1 MG/G CREM DERM CT BG AL X 30 G; EMS
1023507760012; ONCILEG; ONCILEG; NOT FOUND; 1 MG + 2.5 MG + 0.25 MG + 100.000 UI POM DERM CT BG AL X 30 G; EMS
1023507760020; ONCILEG; ONCILEG; NOT FOUND; 1 MG + 2.5 MG + 0.25 MG + 100.000 UI CREM DERM CT BG AL X 30 G; EMS
1023507790019; OFLOXACINO; OFLOXACINO; OFLOXACINO; 3 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML ; EMS
1356903240017; OFLOXACINO; OFLOXACINO; OFLOXACINO; 3 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML ; EMS
1023510060141; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL AL X 28; EMS
1023510060034; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL AL X 28; EMS
1023510060093; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL AL X28; EMS
1023504100054; OMEPRAZIN; OMEPRAZIN; NOT FOUND; 40 MG PO LIOF INJ CT 25 FA VD INC + 25 AMP DIL X 10 ML; EMS
1023504100046; OMEPRAZIN; OMEPRAZIN; NOT FOUND; INJ 40MG C/1 FR/AMP10ML (HOSP); EMS
1023507090025; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40MG PO LIOF INJ IV C/ 25 FA + 25 AMP C/ 10ML; EMS
1023504100011; OMEPRAZIN; OMEPRAZIN; NOT FOUND; 10MG 2 BL X 7 CAPS; EMS
1023504100038; OMEPRAZIN; OMEPRAZIN; NOT FOUND; 20 MG CAP GEL MICROG CT FR PLAS OPC X 14; EMS
1023504100021; OMEPRAZIN; OMEPRAZIN; NOT FOUND; 20MG 1 BL X 7 CAPS; EMS
1023504100051; OMEPRAZIN; OMEPRAZIN; NOT FOUND; 40 MG CAP GEL MICROG FR PLAS OPC X 7; EMS
1023504100232; OMEPRAZIN; OMEPRAZIN; NOT FOUND; 20 MG CAP GEL MICROG CT BL AL PLAS INC X 28; EMS
1023506160011; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 10 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 14 ; EMS
1023506160038; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 7; EMS
1023506160046; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 14  ; EMS
1023506160070; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 7; EMS
1023506160054; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 28  ; EMS
1023506160100; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 10 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 60 (EMB FRAC); EMS
1023506160135; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 60 (EMB FRAC); EMS
1023506160161; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 60 (EMB FRAC); EMS
1023504100070; OMEPRAZIN; OMEPRAZIN; NOT FOUND; 20 MG  CAP GEL MICROG CT BL AL PLAS INC X 14; EMS
1023504100178; OMEPRAZIN; OMEPRAZIN; NOT FOUND; 40 MG CAP GEL MICROG CT BL AL PVDC INC X 7; EMS
1356906490030; ORLIPID; ORLIPID; NOT FOUND; 120 MG CAP GEL DURA CT BL AL PLAS OPC X 42; EMS
1356906490057; ORLIPID; ORLIPID; NOT FOUND; 120 MG CAP GEL DURA CT BL AL PLAS OPC X 84; EMS
1023510630043; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PLAS OPC X 30; EMS
1023510630051; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PLAS OPC X 60; EMS
1023510630116; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PLAS OPC X 30; EMS
1023510630221; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 15 MG COM REV CT BL AL PLAS OPC X 30; EMS
SI/NC; ONDANTRIL; ONDANTRIL; NOT FOUND; INJ 4MG C/1 AMP / 2ML; EMS
SI/NC; ONDANTRIL; ONDANTRIL; NOT FOUND; INJ 4MG C/50 AMP / 4ML; EMS
