1356905740017; LIPISTAT; LIPISTAT; NOT FOUND; 10 MG COM REV CT BL AL AL X 20; EMS
1356905740025; LIPISTAT; LIPISTAT; NOT FOUND; 10 MG COM REV CT BL AL AL X 30; EMS
1356905740041; LIPISTAT; LIPISTAT; NOT FOUND; 10 MG COM REV CT BL AL AL X 60; EMS
1356905740084; LIPISTAT; LIPISTAT; NOT FOUND; 20 MG COM REV CT BL AL AL X 30; EMS
1356905740106; LIPISTAT; LIPISTAT; NOT FOUND; 20 MG COM REV CT BL AL AL X 60; EMS
1356905740149; LIPISTAT; LIPISTAT; NOT FOUND; 40 MG COM REV CT BL AL AL X 30; EMS
1356905740165; LIPISTAT; LIPISTAT; NOT FOUND; 40 MG COM REV CT BL AL AL X 60; EMS
1356905740203; LIPISTAT; LIPISTAT; NOT FOUND; 80 MG COM REV CT BL AL AL X 30; EMS
1356906190118; LEXFAST; LEXFAST; NOT FOUND; 6 MG COM CT BL AL PVDC OPC X 20; EMS
1356906190142; LEXFAST; LEXFAST; NOT FOUND; 3 MG COM CT BL AL PVDC OPC X 20; EMS
1023504490022; LINCOMICINA; LINCOMICINA; LINCOMICINA; HCL 300MG INF C/50AMP1ML; EMS
1023504490030; LINCOMICINA; LINCOMICINA; LINCOMICINA; HCL 600MG AD C/1 AMPX2ML; EMS
1023504490049; LINCOMICINA; LINCOMICINA; LINCOMICINA; HCL 600MG AD C/50AMPX2ML; EMS
1023501310143; LINCOTRIN; LINCOTRIN; NOT FOUND; 600MG INJ AD C/50 AMPX2ML; EMS
1356906210011; LEVORDIOL; LEVORDIOL; NOT FOUND; COM CT EST CALEND X 6 ROSA + 5 AMAR + 10 BRANCO + 7 SALMAO; EMS
1023507210128; LOSARTAN POTÁSSICO + HIDROCLOROTIAZIDA; LOSARTAN POTASSICO HIDROCLOROTIAZIDA; NOT FOUND; 100 MG + 25 MG COM REV CT BL AL PLAS LEIT X 30; EMS
1023507210330; LOSARTAN POTÁSSICO + HIDROCLOROTIAZIDA; LOSARTAN POTASSICO HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL PLAS LEIT X 30; EMS
1023507210543; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 100 MG + 25 MG COM REV CT BL AL PLAS LEIT X 90 (EMB FRAC) ; EMS
1023507210519; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL PLAS LEIT X 90 (EMB FRAC) ; EMS
1356902700294; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 100 MG + 25 MG COM REV CT BL AL PLAS LEIT X 30; EMS
1356902700111; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL PLAS LEIT X 30; EMS
1356902700308; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 100 MG + 25 MG COM REV CT BL AL PLAS LEIT X 60 ; EMS
1356902700121; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL PLAS LEIT X 60; EMS
1356905250079; LUMIDERM; LUMIDERM; NOT FOUND; 40 MG/G CREM CT BG AL X 30 G; EMS
1356905250036; LUMIDERM; LUMIDERM; NOT FOUND; 40 MG/G GEL CT BG AL X 30 G ; EMS
1023505770010; LEVERCTIN; LEVERCTIN; NOT FOUND; 6 MG COM CT STR AL X 2; EMS
1023505770029; LEVERCTIN; LEVERCTIN; NOT FOUND; 6 MG COM CT STR AL X 4; EMS
1023505770045; LEVERCTIN; LEVERCTIN; NOT FOUND; 6 MG COM CT BL AL PLAS OPC X 4 ; EMS
1023506910037; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 7 ; EMS
1023506910010; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 15 MG CAP GEL DURA MICROG LIB RET CT BL AL PLAS INC X 14  ; EMS
1023506910045; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 14; EMS
1023506910053; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 28; EMS
1023506910088; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 15 MG CAP GEL DURA C/ MCGRAN LIB RETARD CT BL AL PLAS INC X 60 (EMB FRAC) ; EMS
1023506910118; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA C/ MCGRAN LIB RETARD CT BL AL PLAS INC X 60 (EMB FRAC) ; EMS
1356900040084; LANZ; LANZ; NOT FOUND; 15 MG CAP GEL DURA MICROG LIB RET CT 2 BL AL PVDC LEIT X 7; EMS
1356900040051; LANZ; LANZ; NOT FOUND; 15MG FR X 14 CAPS; EMS
1356900040106; LANZ; LANZ; NOT FOUND; 30 MG CAP GEL DURA MICROG LIB RET CT BL AL PVDC LEIT X 7; EMS
1356900040017; LANZ; LANZ; NOT FOUND; 30MG FR X 7 CAPS; EMS
