531622801114418; LIPISTAT; LIPISTAT; NOT FOUND; 10 MG COM REV CT BL AL AL X 20; EMS
531622802110416; LIPISTAT; LIPISTAT; NOT FOUND; 10 MG COM REV CT BL AL AL X 30; EMS
531622803117414; LIPISTAT; LIPISTAT; NOT FOUND; 10 MG COM REV CT BL AL AL X 60; EMS
531622804113412; LIPISTAT; LIPISTAT; NOT FOUND; 20 MG COM REV CT BL AL AL X 30; EMS
531622805111413; LIPISTAT; LIPISTAT; NOT FOUND; 20 MG COM REV CT BL AL AL X 60; EMS
531622806116419; LIPISTAT; LIPISTAT; NOT FOUND; 40 MG COM REV CT BL AL AL X 30; EMS
531622807112417; LIPISTAT; LIPISTAT; NOT FOUND; 40 MG COM REV CT BL AL AL X 60; EMS
531622808119415; LIPISTAT; LIPISTAT; NOT FOUND; 80 MG COM REV CT BL AL AL X 30; EMS
531626002119411; LEXFAST; LEXFAST; NOT FOUND; 3 MG COM CT BL AL PVDC OPC X 20; EMS
531626001112413; LEXFAST; LEXFAST; NOT FOUND; 6 MG COM CT BL AL PVDC OPC X 20; EMS
531627301111410; LEVORDIOL; LEVORDIOL; NOT FOUND; COM CT EST CALEND X 6 ROSA + 5 AMAR + 10 BRANCO + 7 SALMAO; EMS
507731202111114; LOSARTAN POTÁSSICO + HIDROCLOROTIAZIDA; LOSARTAN POTASSICO HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL PLAS LEIT X 30; EMS
507735802113110; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL PLAS LEIT X 90 (EMB FRAC) ; EMS
507731201115116; LOSARTAN POTÁSSICO + HIDROCLOROTIAZIDA; LOSARTAN POTASSICO HIDROCLOROTIAZIDA; NOT FOUND; 100 MG + 25 MG COM REV CT BL AL PLAS LEIT X 30; EMS
507735801117112; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 100 MG + 25 MG COM REV CT BL AL PLAS LEIT X 90 (EMB FRAC) ; EMS
531612104119119; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL PLAS LEIT X 60; EMS
531612103112110; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 100 MG + 25 MG COM REV CT BL AL PLAS LEIT X 60 ; EMS
531614060074103; LUMIDERM; LUMIDERM; NOT FOUND; 40 MG/G CREM CT BG AL X 30 G; EMS
531614060074203; LUMIDERM; LUMIDERM; NOT FOUND; 40 MG/G GEL CT BG AL X 30 G ; EMS
541814120009303; LEVERCTIN; LEVERCTIN; NOT FOUND; 6 MG COM CT BL AL PLAS OPC X 4 ; EMS
507731101110414; LEVERCTIN; LEVERCTIN; NOT FOUND; 6 MG COM CT STR AL X 2; EMS
