507744801116417; GASTROBENE; GASTROBENE; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 20; EMS
507714505136415; GELMAX; GELMAX; NOT FOUND; EFERV ABACAXI 100 SACHET C/5; EMS
507714506132413; GELMAX; GELMAX; NOT FOUND; 178MG + 185MG + 230MG PO EFEV CT 20 SACH X 5 G (SABOR ABACAXI); EMS
507714509131418; GELMAX; GELMAX; NOT FOUND; SUSP FR C/240ML; EMS
507714511111410; GELMAX; GELMAX; NOT FOUND; 178 MG + 185 MG + 230 MG COM MAST CT BL AL PLAS INC X 120 (SABOR LIMAO); EMS
507714502110415; GELMAX; GELMAX; NOT FOUND; 178MG+185MG+230MG COM MAST MAMAO-CASSIS CT BL AL PLAS X 24 ; EMS
507712030119104; GRIPEN NOITE; GRIPEN NOITE; NOT FOUND; 400 MG + 20 MG COM AMARELO / 400 MG+4 MG COM LARANJA CT BL AL/AL X 50 + 50; EMS
507712030119004; GRIPEN NOITE; GRIPEN NOITE; NOT FOUND; 400 MG + 20 MG COM AMARELO / 400 MG+4 MG COM LARANJA CT BL AL/AL X 12 + 12; EMS
507715101111419; GRIPEN; GRIPEN; NOT FOUND; 3STP C/4 COMP; EMS
507712030118904; GRIPEN DIA; GRIPEN DIA; NOT FOUND; 800MG + 20 MG COM CT BL AL AL X 50 COM AMARELO + 50 COM BRANCO ; EMS
507712030118804; GRIPEN DIA; GRIPEN DIA; NOT FOUND; 800MG + 20 MG COM CT BL AL AL X 12 COM AMARELO + 12 COM BRANCO ; EMS
507739102132417; GELMAX DIM; GELMAX DIM; NOT FOUND; (400 + 400 + 30)MG/5ML SUS OR CT FR PLAS OPC X 240 ML (TRADICIONAL) ; EMS
507739101136419; GELMAX DIM; GELMAX DIM; NOT FOUND; (400 + 400 + 30)MG/5 ML SUS OR CT FR PLAS OPC X 240 ML (MORANGO) ; EMS
507714701113422; GEROVITAL; GEROVITAL; NOT FOUND; 6 BL X 10 CAPS; EMS
531621901174414; GENTASONE; GENTASONE; NOT FOUND; 3 MG/ML + 1 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; EMS
531619101115411; GABANEURIN; GABANEURIN; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS LEIT X 30; EMS
507736801110116; GABAPENTINA; GABAPENTINA; GABAPENTINA; 300 MG CAP GEL DURA CT BL AL PLAS LEIT X 30; EMS
531619102111411; GABANEURIN; GABANEURIN; NOT FOUND; 400 MG CAP GEL DURA CT BL AL PLAS LEIT X 30; EMS
507736802117114; GABAPENTINA; GABAPENTINA; GABAPENTINA; 400 MG CAP GEL DURA CT BL AL PLAS LEIT X 30; EMS
531619103118418; GABANEURIN; GABANEURIN; NOT FOUND; 600 MG COM REV CT BL AL PLAS OPC X 27; EMS
507736803113112; GABAPENTINA; GABAPENTINA; GABAPENTINA; 600MG COM REV CT BL AL PLAS OPC X 27; EMS
531604701111117; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS INC X 24   ; EMS
507729401110116; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS INC X 24  ; EMS
541814030007106; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS OPC X 24   ; EMS
507729404111113; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC); EMS
531604702118115; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS INC X 12  ; EMS
507729402117114; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS INC X 12; EMS
541814030007206; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS OPC X 12 ; EMS
507729403113112; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC) ; EMS
531608901115119; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 30 ; EMS
531611901112411; GLIBENDIAB; GLIBENDIAB; NOT FOUND; 5 MG COM CT BL AL PVDC BCO LEIT X 30 ; EMS
507730201111112; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 30 ; EMS
507730202118110; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 60; EMS
531623102112414; GLYCOPIRIDA; GLYCOPIRIDA; NOT FOUND; 1 MG COM CT BL AL PLAS OPC X 30; EMS
507740603115111; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS OPC X 30; EMS
531623103119412; GLYCOPIRIDA; GLYCOPIRIDA; NOT FOUND; 2 MG COM CT BL AL PLAS OPC X 30; EMS
507731701118416; GLIANSOR; GLIANSOR; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30; EMS
507740604111118; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS OPC X 30; EMS
507740605118116; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS OPC X 60; EMS
531623101116416; GLYCOPIRIDA; GLYCOPIRIDA; NOT FOUND; 4 MG COM CT BL AL PLAS OPC X 30; EMS
507731702114414; GLIANSOR; GLIANSOR; NOT FOUND; 4 MG COM CT BL AL PLAS INC X 30; EMS
507740601112113; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS OPC X 30; EMS
507740602119111; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS OPC X 60; EMS
507726401136110; GUAIFENESINA; GUAIFENESINA; GUAIFENESINA; 13.33 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED  ; EMS
507726402132119; GUAIFENESINA; GUAIFENESINA; GUAIFENESINA; 16 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED    ; EMS
541814030006904; GLIMATIN; GLIMATIN; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 60 ; EMS
541814030007004; GLIMATIN; GLIMATIN; NOT FOUND; 400 MG COM REV CT BL AL PLAS OPC X 30 ; EMS
531601501162317; GYNAZOLE-1; GYNAZOLE 1; NOT FOUND; 20 MG/G CREM VAG CT APLIC PRE-ENVAS X 5 G; EMS
507714601161417; GENTAGRAN; GENTAGRAN; NOT FOUND; POM OT BISN C/3 G; EMS
