541812090003803; FEBUPEN; FEBUPEN; NOT FOUND; 100 MG COM REV CT BL AL AL X 12; EMS
507713902131421; FLUITEÍNA; FLUITEINA; NOT FOUND; 20 MG/ML XPE CT FR PLAS AMB X 100 ML; EMS
507713901135421; FLUITEÍNA; FLUITEINA; NOT FOUND; 200 MG GRAN CT 16 ENV AL PE X 5 G; EMS
507713903138411; FLUITEÍNA; FLUITEINA; NOT FOUND; 40 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EMS
507713904134418; FLUITEÍNA; FLUITEINA; NOT FOUND; 600 MG GRAN CT 16 ENV AL PE X 5 G; EMS
531601404167415; FLAMADOR; FLAMADOR; NOT FOUND; 25 MG/G GEL CT BG AL X 30 G; EMS
507714201161411; FRIXOPEL; FRIXOPEL; NOT FOUND; 0.0444 ML/G + 0.00444 G/G + 0.0980G/G + 0.2222 ML/G GEL CT BG AL X 25 G; EMS
531613100071506; FENOFIBRATO MICRONIZADO; FENOFIBRATO MICRONIZADO; NOT FOUND; 200MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
507740501118111; FENOFIBRATO; FENOFIBRATO; FENOFIBRATO; 200 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
507713301138111; FENOXIMETILPENIC.POT.; FENOXIMETILPENIC POT; FENOXIMETILPENICILINA POTASSICA; SOL FR 60ML; EMS
531617101118112; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL PLAS OPC X 30; EMS
507713401116118; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL PLAS OPC X 30; EMS
507713407114117; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL PLAS OPC X 60 (EMB FRAC); EMS
507713405111110; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL PLAS OPC X 90 (EMB FRAC) ; EMS
531626301116414; FINASTIL; FINASTIL; NOT FOUND; 5 MG COM REV CT BL AL PVDC BCO LEIT X 30; EMS
507713403119114; FINASTERIDA; FINASTERIDA; FINASTERIDA; 5 MG COM REV CT 2 BL AL PLAS BCO LEIT X 15 ; EMS
507713406118119; FINASTERIDA; FINASTERIDA; FINASTERIDA; 5 MG COM REV CT BL AL PLAS BCO LEIT X 90 (EMB FRAC) ; EMS
507713701111413; FLUCOCIN; FLUCOCIN; NOT FOUND; 150 MG 1 BL X 1 CAPS; EMS
507713801114112; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1; EMS
507713702116419; FLUCOCIN; FLUCOCIN; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2 ; EMS
507713802110110; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; EMS
507713803117119; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 30 (EMB FRAC)  ; EMS
507713703155418; FLUCOCIN; FLUCOCIN; NOT FOUND; 2 MG/ML INF IV CT FA VD INC X 100 ML; EMS
531611803161116; FOSFATO DE CLINDAMICINA; FOSFATO CLINDAMICINA; FOSFATO CLINDAMICINA; 10 MG/G GEL CT BG AL X 45 G ; EMS
507728803169117; FOSF. CLINDAMICINA; FOSF CLINDAMICINA; FOSFATO CLINDAMICINA; 10 MG/G GEL CT BG AL X 45 G; EMS
531611801150117; FOSFATO DE CLINDAMICINA; FOSFATO CLINDAMICINA; FOSFATO CLINDAMICINA; 150 MG/ML SOL INJ CT 100 AMP VD INC X 4 ML (EMB HOSP); EMS
