531602901156411; PREG-LESS; PREG LESS; NOT FOUND; 150 MG/ML+10 MG/ML SOL INJ CT AMP VD INC X 1 ML; EMS
507720405131416; POLIMOXIL; POLIMOXIL; NOT FOUND; 500 MG/5 ML SUS OR CT FR VD AMB X 150 ML; EMS
507720401118415; POLIMOXIL; POLIMOXIL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; EMS
507720303116418; POLICLAVUMOXIL; POLICLAVUMOXIL; NOT FOUND; 875 MG + 125 MG COM REV CT 2 BL AL/AL X 6; EMS
507720304139411; POLICLAVUMOXIL; POLICLAVUMOXIL; NOT FOUND; BD SUSP400MG FR C70ML; EMS
507720305135411; POLICLAVUMOXIL; POLICLAVUMOXIL; NOT FOUND; 250 MG/5 ML SUS OR CT FR VD AMB X 75 ML; EMS
507720301113411; POLICLAVUMOXIL; POLICLAVUMOXIL; NOT FOUND; 500 MG + 125 MG COM REV CT 2 BL AL/AL X 6; EMS
507720302111412; POLICLAVUMOXIL; POLICLAVUMOXIL; NOT FOUND; 500 MG + 125 MG COM REV CT 3 BL AL/AL X 6; EMS
507720701162411; PREDMICIN; PREDMICIN; NOT FOUND; 20.000 UI + 10 MG/G + 5 MG/G + 30 MG/G POM DERM CT BG AL X 15 G; EMS
507720702169418; PREDMICIN; PREDMICIN; NOT FOUND; 10.000 UI + 10 MG + 5 MG + 30 MG/G POM DERM CT BG AL X 15 G; EMS
507745202119417; PLAQUEVIX; PLAQUEVIX; NOT FOUND; 75 MG COM REV CT BL AL AL X 28; EMS
507745201112419; PLAQUEVIX; PLAQUEVIX; NOT FOUND; 75 MG COM REV CT BL AL AL X 14; EMS
507738201110111; PARACETAMOL + CAFEÍNA; PARACETAMOL CAFEINA; NOT FOUND; 500 MG + 65 MG COM REV CT BL AL PLAS LEIT X 20 ; EMS
531626801119412; PROFLOX; PROFLOX; NOT FOUND; 750 MG COM REV CT BL AL PLAS OPC X 10; EMS
531626802115410; PROFLOX; PROFLOX; NOT FOUND; 250 MG COM REV CT BL AL PLAS OPC X 10; EMS
531626803111419; PROFLOX; PROFLOX; NOT FOUND; 250 MG COM REV CT BL AL PLAS OPC X 14; EMS
531626804118417; PROFLOX; PROFLOX; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 10; EMS
531626805114415; PROFLOX; PROFLOX; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 14; EMS
531627901117411; PONDIX; PONDIX; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X 30; EMS
507721702154419; PROMECLOR; PROMECLOR; NOT FOUND; 5 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML; EMS
531603201115311; PROPRANOLOL; PROPRANOLOL; PROPRANOLOL; 10 MG COM CT BL AL PLAS INC X 30; EMS
531603203118316; PROPRANOLOL; PROPRANOLOL; PROPRANOLOL; 40 MG COM CT BL AL PLAS INC X 30; EMS
531603204114314; PROPRANOLOL; PROPRANOLOL; PROPRANOLOL; 80 MG COM CT BL AL PLAS INC X 30; EMS
531620501113118; PARACETAMOL + CLORIDRATO DE PSEUDOEFEDRINA; PARACETAMOL CLORIDRATO PSEUDOEFEDRINA; NOT FOUND; 500 MG + 30 MG COM REV CT BL AL PLAS OPC X 24; EMS
507737901119113; PARACETAMOL + CLORIDRATO DE PSEUDOEFEDRINA; PARACETAMOL CLORIDRATO PSEUDOEFEDRINA; NOT FOUND; 500 MG + 30 MG COM REV CT BL AL PLAS OPC X 24; EMS
507737801114411; PARALGEN SINUS; PARALGEN SINUS; NOT FOUND; 500 MG + 30 MG COM REV CT BL PLAS LEIT X 120 (EMB FRAC); EMS
507737802110411; PARALGEN SINUS; PARALGEN SINUS; NOT FOUND; 500 MG + 30 MG COM REV CT BL PLAS LEIT X 24; EMS
531613050069304; PHASTER; PHASTER; NOT FOUND; 10 MG/G GEL CREM CT BG AL X 60 G; EMS
531627601172415; PHASTER; PHASTER; NOT FOUND; 11.6 MG/G SOL AER DERM FILME PLAS CIL AL X 85 ML; EMS
531625501111418; PENVIR; PENVIR; NOT FOUND; 125 MG COM REV CT BL AL PLAS OPC X 10; EMS
531625502118416; PENVIR; PENVIR; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 14; EMS
531612030066403; PENVIR; PENVIR; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 21; EMS
531614100077204; PREDSIGMA; PREDSIGMA; NOT FOUND; 3 MG/ML SOL OR CT FR PLAS AMB X 60 ML + SER DOSAD; EMS
531612010065305; PATZ SL; PATZ SL; NOT FOUND; 5 MG COM SUBL CT FR VD AMB X 20; EMS
