531604207117411; VELAMOX; VELAMOX; NOT FOUND; 875 MG COM REV CT BL AL/AL X 14; EMS
531604202115419; VELAMOX; VELAMOX; NOT FOUND; 1 G COM CT BL AL PVDC BCO LEIT X 12; EMS
531604203138412; VELAMOX; VELAMOX; NOT FOUND; 100 MG/ML SUS OR CT FR PLAS OPC X 150 ML + CP MED; EMS
531604204134410; VELAMOX; VELAMOX; NOT FOUND; 250 MG/ 5 ML PO SUS OR CT FR PLAS OPC X 150 ML + CP MED + SER DOSAD.; EMS
531604206110411; VELAMOX; VELAMOX; NOT FOUND; 500 MG COM CT BL AL PVDC BCO LEIT X 18; EMS
531604205130419; VELAMOX; VELAMOX; NOT FOUND; 400 MG/ 5 ML PO SUS OR CT FR PLAS OPC X 100 ML + CP MED + SER DOSAD; EMS
507724401163111; VAL.BETAME.+SULF.GENT.+CLIOQ.+TOLNAFTATO; VAL BETAME SULF GENT CLIOQ TOLNAFTATO; NOT FOUND; POMADA 20G; EMS
507724402161112; VAL.BETAME.+SULF.GENT.+CLIOQ.+TOLNAFTATO; VAL BETAME SULF GENT CLIOQ TOLNAFTATO; NOT FOUND; CREME 20G; EMS
531627402110411; VAZY; VAZY; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
531627403117418; VAZY; VAZY; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 60; EMS
531627404113416; VAZY; VAZY; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
531627401114411; VAZY; VAZY; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS OPC X 60; EMS
531623602115412; VENFORIN; VENFORIN; NOT FOUND; 150 MG CAP GEL DURA LIB PROL CT BL AL PLAS BCO OPC X 30; EMS
531623601119414; VENFORIN; VENFORIN; NOT FOUND; 37.5 MG CAP GEL DURA LIB PROL CT BL AL PLAS OPC X 14; EMS
531623603111410; VENFORIN; VENFORIN; NOT FOUND; 75 MG CAP GEL DURA LIB PROL CT BL AL PLAS OPC X 30; EMS
507724901115418; VOLTAFLEX; VOLTAFLEX; NOT FOUND; 100MG COM AP CT BL AL PLAS INC X 10; EMS
507724903118414; VOLTAFLEX; VOLTAFLEX; NOT FOUND; 50MG COM REV CT 2 BL AL PLAS INC X 10; EMS
507724904165416; VOLTAFLEX; VOLTAFLEX; NOT FOUND; GEL BISN C/60G-E; EMS
531627701118412; VASTIGMA; VASTIGMA; NOT FOUND; 1.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
531627702114410; VASTIGMA; VASTIGMA; NOT FOUND; 3.0 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
531627703110419; VASTIGMA; VASTIGMA; NOT FOUND; 4.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
531627704117417; VASTIGMA; VASTIGMA; NOT FOUND; 6.0 MG CAP GEL DURA CT BL AL PLAS OPC X 30; EMS
541814060008606; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 MG + 12.5 MG COM REV CT BL AL AL X 30; EMS
541812070001006; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL AL X 30; EMS
541812070000906; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 80 MG + 12.5 MG COM REV CT BL AL AL X 30; EMS
