531602804118411; OSTEOFORM; OSTEOFORM; NOT FOUND; 70 MG COM CT BL AL PVC X 2; EMS
531602805114418; OSTEOFORM; OSTEOFORM; NOT FOUND; 70 MG COM CT BL AL PVDC OPC X 4; EMS
531602806110416; OSTEOFORM; OSTEOFORM; NOT FOUND; 70 MG COM CT BL AL PVDC OPC X 8; EMS
507719601133414; OTOMIXYN; OTOMIXYN; NOT FOUND; SOL OTO CT FR PLAS OPC GOT X 5 ML; EMS
507719602172413; OTOMIXYN; OTOMIXYN; NOT FOUND; 0.250 MG/ML + 10.000 UI/ML + 3.500 MG/ML + 20 MG/ML SOL OTO CT FR PLAS OPC GOT X 5 ML; EMS
531614100076803; OSKIN; OSKIN; NOT FOUND; 40 MG/G + 0.5 MG/G + 0.1 MG/G CREM DERM CT BG AL X 15 G; EMS
531614100076903; OSKIN; OSKIN; NOT FOUND; 40 MG/G + 0.5 MG/G + 0.1 MG/G CREM DERM CT BG AL X 30 G; EMS
507732201161418; ONCILEG; ONCILEG; NOT FOUND; 1 MG + 2.5 MG + 0.25 MG + 100.000 UI POM DERM CT BG AL X 30 G; EMS
507732202166413; ONCILEG; ONCILEG; NOT FOUND; 1 MG + 2.5 MG + 0.25 MG + 100.000 UI CREM DERM CT BG AL X 30 G; EMS
507732101173112; OFLOXACINO; OFLOXACINO; OFLOXACINO; 3 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML ; EMS
507744101114111; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL AL X 28; EMS
507744102110118; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL AL X 28; EMS
507744103117116; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL AL X28; EMS
541814060008003; OMEPRAZIN; OMEPRAZIN; NOT FOUND; 20 MG  CAP GEL MICROG CT BL AL PLAS INC X 14; EMS
541814060008103; OMEPRAZIN; OMEPRAZIN; NOT FOUND; 40 MG CAP GEL MICROG CT BL AL PVDC INC X 7; EMS
507719401118111; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 10 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 14 ; EMS
507719407116119; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 10 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 60 (EMB FRAC); EMS
507719302111419; OMEPRAZIN; OMEPRAZIN; NOT FOUND; 20 MG CAP GEL MICROG CT FR PLAS OPC X 14; EMS
507719403110116; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 14  ; EMS
507719307111417; OMEPRAZIN; OMEPRAZIN; NOT FOUND; 20 MG CAP GEL MICROG CT BL AL PLAS INC X 28; EMS
507719406111113; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 28  ; EMS
507719408112117; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 60 (EMB FRAC); EMS
507719402114118; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 7; EMS
507719409119115; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 60 (EMB FRAC); EMS
507719306115419; OMEPRAZIN; OMEPRAZIN; NOT FOUND; 40 MG CAP GEL MICROG FR PLAS OPC X 7; EMS
507719404117114; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG CAP GEL DURA MCGRAN CT BL AL PLAS INC X 7; EMS
507719304155413; OMEPRAZIN; OMEPRAZIN; NOT FOUND; 40 MG PO LIOF INJ CT 25 FA VD INC + 25 AMP DIL X 10 ML; EMS
541814050007906; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 15 MG COM REV CT BL AL PLAS OPC X 30; EMS
541812060000606; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PLAS OPC X 30; EMS
541812060000706; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PLAS OPC X 60; EMS
541812060000806; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PLAS OPC X 30; EMS
507741001119417; ONCILEG-A; ONCILEG A; NOT FOUND; 1 MG/G PAST CT BG AL X 10 G; EMS
