507716901136112; MALEATO DE DEXCLOR.+BETAMETASONA; MALEATO DEXCLOR BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML; EMS
531612201114118; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 2 MG + 0.25 MG COM CT BL AL PLAS LEIT X 20; EMS
507716902116115; MALEATO DE DEXCLOR.+BETAMETASONA; MALEATO DEXCLOR BETAMETASONA; NOT FOUND; 2 MG + 0.25 MG COM CT BL AL PLAS LEIT X 20; EMS
531625301112410; MIGRALIV; MIGRALIV; NOT FOUND; 1.0 MG + 350.0 MG + 100.0 MG COM CT BL AL PLAS INC X 12; EMS
531627002139410; MUCOTOSS; MUCOTOSS; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 100 ML; EMS
531627001132412; MUCOTOSS; MUCOTOSS; NOT FOUND; 50 MG/ML XPE CT FR VD AMB X 100 ML; EMS
507741701171411; MUPIROX; MUPIROX; NOT FOUND; 10 MG/ML SOL TOP CT FR GOT PLAS TRANS X 15 ML; EMS
531622601115410; MUSCUPRINA; MUSCUPRINA; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 15; EMS
531622602111419; MUSCUPRINA; MUSCUPRINA; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 30; EMS
531612070067604; MOXOF; MOXOF; NOT FOUND; 400 MG COM REV CT BL AL AL X 5; EMS
531612070067704; MOXOF; MOXOF; NOT FOUND; 400 MG COM REV CT BL AL AL X 07; EMS
531626201111410; MALÚ; MALU; NOT FOUND; 0.150 MG + 0.020 MG COM CT EST CALEND X 21; EMS
531624501118414; MICROPIL R21; MICROPIL R21; NOT FOUND; 0.075 MG + 0.020 MG COM REV CT BL AL PLAS INC CALEND X 21; EMS
531624601112418; MICROPIL R28; MICROPIL R28; NOT FOUND; 0.075 MG + 0.020 MG COM REV CT EST CALEND X 28 + PORTA ESTOJO; EMS
531624401113410; MICROPIL; MICROPIL; NOT FOUND; 0.075 MG + 0.030 MG COM REV CT EST CALEND X 21 + PORTA EST; EMS
507729501131115; MALEATO DE DEXCLORFENIRAMINA+SULFATO DE PSEUDOEFEDRINA+GUAIFENESINA; MALEATO DEXCLORFENIRAMINA SULFATO PSEUDOEFEDRINA GUAIFENESINA; NOT FOUND; 0.4 MG/ML + 4 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML  ; EMS
531607501131119; MALEATO DE DEXCLORFENIRAMINA + SULFATO DE PSEUDOEFEDRINA + GUAIFENESINA; MALEATO DEXCLORFENIRAMINA SULFATO PSEUDOEFEDRINA GUAIFENESINA; NOT FOUND; 0.4 MG/ML + 4 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML  ; EMS
