531614060074304; IPRAVENT; IPRAVENT; NOT FOUND; 0.25 MG/ML SOL INAL CT FR VD AMB CGT X 20 ML ; EMS
507715804110416; INFRALAX; INFRALAX; NOT FOUND; 300 MG + 30 MG + 125 MG + 50 MG COM CT BL AL PLAS INC X 100 (EMB FRAC); EMS
507715803114418; INFRALAX; INFRALAX; NOT FOUND; 300 MG + 30 MG + 125 MG + 50 MG COM CT BL AL PLAS INC X 15; EMS
507715805117414; INFRALAX; INFRALAX; NOT FOUND; 300 MG + 30 MG + 125 MG + 50 MG COM CT BL AL PLAS INC X 200 (EMB FRAC); EMS
507715801111411; INFRALAX; INFRALAX; NOT FOUND; 300 MG + 30 MG + 125 MG + 50 MG COM CT BL AL PLAS INC X 30; EMS
531625101113413; INDUX; INDUX; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 10; EMS
507715901159416; INSUCARD; INSUCARD; NOT FOUND; 250 MG SOL INJ CT 50 AMP VD INC X 20 ML; EMS
531601702117416; ISORDIL; ISORDIL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 100 (EMB FRAC); EMS
531601801115314; ISORDIL; ISORDIL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; EMS
531601701110310; ISORDIL; ISORDIL; NOT FOUND; 40 MG CAP AP CT BL AL PLAS INC X 30; EMS
531601902116316; ISORDIL SL; ISORDIL SL; NOT FOUND; 5 MG COM SUB LING CT BL AL PLAS INC X 30; EMS
531601703113414; ISORDIL; ISORDIL; NOT FOUND; 5 MG COM SUB-LING CT BL AL PLAS INC X 90 (EMB FRAC); EMS
507712020118003; IBULIV; IBULIV; NOT FOUND; 100 MG/ML SUS OR CT FR PLAS OPC X 20 ML + CGT ; EMS
531616201119112; IBUPROFENO; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS OPC X 20; EMS
507732601117114; IBUPROFENO; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS OPC X 20; EMS
507732602113112; IBUPROFENO; IBUPROFENO; IBUPROFENO; 300 MG COM REV CT BL AL PLAS OPC X 20; EMS
507712020118103; IBULIV; IBULIV; NOT FOUND; 400 MG COM REV CT BL AL PLAS OPC X 10 ; EMS
541813080006003; IBULIV; IBULIV; NOT FOUND; 400 MG CAP GEL MOLE CT BL AL PLAS INC X 40 (EMB MULT); EMS
541813040005504; IBULIV; IBULIV; NOT FOUND; 400 MG CAP GEL MOLE CT BL AL PLAS INC X 50 (EMB MULT); EMS
541813040005404; IBULIV; IBULIV; NOT FOUND; 400 MG CAP GEL MOLE CT BL AL PLAS INC X 8; EMS
507732603136116; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30ML; EMS
531613120072104; INDAFIX; INDAFIX; NOT FOUND; 1.5 MG COM REV CT BL AL AL X 10 ; EMS
531613120072204; INDAFIX; INDAFIX; NOT FOUND; 1.5 MG COM REV CT BL AL AL X 30; EMS
507746401115118; INDAPAMIDA; INDAPAMIDA; INDAPAMIDA; 1.5 MG COM REV CT BL AL/AL X 30; EMS
531613120072304; INDAFIX; INDAFIX; NOT FOUND; 1.5 MG COM REV CT BL AL AL X 60; EMS
531613070069406; ISOTRETINOÍNA; ISOTRETINOINA; ISOTRETINOINA; 20 MG CAP GEL MOLE CT BL AL/AL X 30; EMS
531602002119414; ITRASPOR; ITRASPOR; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 15; EMS
531602003115412; ITRASPOR; ITRASPOR; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 4; EMS
507716002115414; ITRACONOL; ITRACONOL; NOT FOUND; 100 MG 1 BL X 4 CAPS; EMS
531622401132419; INLACT; INLACT; NOT FOUND; 667 MG/ML XPE CT FR VD AMB X 120 ML + CP MED (SABOR AMEIXA)  ; EMS
507715701117418; INFLALID; INFLALID; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12; EMS
507715702131414; INFLALID; INFLALID; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; EMS
