503205902150411; BAXTER SOLUÇÃO DE RINGER COM LACTATO; BAXTER SOLUCAO RINGER LACTATO; NOT FOUND; (6.0 + 0.3 + 0.2 + 3.1)MG/ML SOL INJ IV CX BOLS PVC INC SIST FECH X 1000 ML; BAX
503205901154413; BAXTER SOLUÇÃO DE RINGER COM LACTATO; BAXTER SOLUCAO RINGER LACTATO; NOT FOUND; (6.0 + 0.3 + 0.2 + 3.1)MG/ML SOL INJ IV CX BOLS PVC INC SIST FECH X 500 ML; BAX
503201901151411; BAXTER GLICINA; BAXTER GLICINA; NOT FOUND; 15 MG/ML SOL IRRIG UROL CX BOLS PVC X 3000 ML; BAX
503206202152411; BAXTER GLICOSE; BAXTER GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 1000 ML; BAX
503206203159418; BAXTER GLICOSE; BAXTER GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 250 ML; BAX
503206204155416; BAXTER GLICOSE; BAXTER GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 500 ML; BAX
503206201156411; BAXTER GLICOSE; BAXTER GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 100 ML; BAX
503206205151414; BAXTER GLICOSE; BAXTER GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 1000 ML; BAX
503206206158412; BAXTER GLICOSE; BAXTER GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 250 ML; BAX
503203308154411; BAXTER GLICOSE; BAXTER GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 50 ML; BAX
503206207154410; BAXTER GLICOSE; BAXTER GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 500 ML; BAX
503206208150419; BAXTER GLICOSE; BAXTER GLICOSE; NOT FOUND; 500 MG/ML SOL INJ IV CX BOLS PLAS INC PVC SIST FECH X 1000 ML; BAX
503203701158311; BAXTER SORBITOL; BAXTER SORBITOL; NOT FOUND; 3% SOL IRRIG UROL UMA BOLSA PLASTICA INC. X 3000 ML; BAX
