503213090022903; OLIMEL; OLIMEL; NOT FOUND; (11.1 + 35 + 20) G/L EMUL INJ IV BOLS PLAS INC FLEX X 1000 ML ; BAX
503213090023003; OLIMEL; OLIMEL; NOT FOUND; (11.1 + 35 + 20) G/L EMUL INJ IV BOLS PLAS INC FLEX X 2000 ML ; BAX
503213090023103; OLIMEL; OLIMEL; NOT FOUND; (14.2 + 27.5 + 20) G/L EMUL INJ IV BOLS PLAS INC FLEX X 1000 ML  ; BAX
503213090023203; OLIMEL; OLIMEL; NOT FOUND; (14.2 + 27.5 + 20) G/L EMUL INJ IV BOLS PLAS INC FLEX X 2000 ML  ; BAX
503213090022503; OLIMEL; OLIMEL; NOT FOUND; (6.3 + 18.75 + 15) G/L EMUL INJ IV BOLS PLAS INC FLEX X 1000 ML; BAX
503213090022603; OLIMEL; OLIMEL; NOT FOUND; (6.3 + 18.75 + 15) G/L EMUL INJ IV BOLS PLAS INC FLEX X 2000 ML; BAX
503213090022703; OLIMEL; OLIMEL; NOT FOUND; (8.2 + 28.75 + 20) G/L EMUL INJ IV BOLS PLAS INC FLEX X 1500 ML ; BAX
503213090022803; OLIMEL; OLIMEL; NOT FOUND; (8.2 + 28.75 + 20) G/L EMUL INJ IV BOLS PLAS INC FLEX X 2000 ML  ; BAX
503206901158417; OLICLINOMEL N8-800; OLICLINOMEL N8 800; NOT FOUND; 12.5 MG/ML SOL AA + 31.25 MG/ML SOL GLIC + 15 MG/ML EMUL LIP INJ IV BOLS PLAS INC TRIP X 2000 ML; BAX
503206801153413; OLICLINOMEL; OLICLINOMEL; NOT FOUND; N4-550E-5.5%SOL A.A.20% SOL GLICOSE C/ CALCIO.10% EMU LIP INJ BOLS PLAS TRIPLA X 1000 ML; BAX
503206806155414; OLICLINOMEL; OLICLINOMEL; NOT FOUND; N7-1000E-10%SOL A.A.40% SOL GLICOSE C/ CALCIO.20% EMU LIP INJ BOLS PLAS TRIPLA X 1000 ML; BAX
503206804152418; OLICLINOMEL; OLICLINOMEL; NOT FOUND; N6-900E-8.5%SOL A.A.30% SOL GLICOSE C/ CALCIO.20% EMU LIP INJ BOLS PLAS TRIPLA X 1500 ML; BAX
503206802151414; OLICLINOMEL; OLICLINOMEL; NOT FOUND; N4-550E-5.5%SOL A.A.20% SOL GLICOSE C/ CALCIO.10% EMU LIP INJ BOLS PLAS TRIPLA X 2000 ML; BAX
503206803156411; OLICLINOMEL; OLICLINOMEL; NOT FOUND; N5-800E-7.0%SOL A.A.25% SOL GLICOSE C/ CALCIO.20% EMU LIP INJ BOLS PLAS TRIPLA X 2000 ML; BAX
503206805159416; OLICLINOMEL; OLICLINOMEL; NOT FOUND; N6-900E-8.5%SOL A.A.30% SOL GLICOSE C/ CALCIO.20% EMU LIP INJ BOLS PLAS TRIPLA X 2000 ML; BAX
503206807151412; OLICLINOMEL; OLICLINOMEL; NOT FOUND; N7-1000E-10%SOL A.A.40% SOL GLICOSE C/ CALCIO.20% EMU LIP INJ BOLS PLAS TRIPLA X 2000 ML; BAX
503206808158410; OLICLINOMEL; OLICLINOMEL; NOT FOUND; N7-1000E-10%SOL A.A.40% SOL GLICOSE C/ CALCIO.20% EMU LIP INJ BOLS PLAS TRIPLA X 2500 ML; BAX
