69889, SANTOSS , SANTOSS, NOT FOUND, GOTAS 50 MG 20 ML x 1 (/ML), DLT
69890, SANTOSS , SANTOSS, NOT FOUND, XAR. AD 50 MG 100 ML x 1 (/ML), DLT
69891, SANTOSS , SANTOSS, NOT FOUND, XAR. PED. 20 MG 100 ML x 1 (/ML), DLT
50313, SCABENZIL , SCABENZIL, NOT FOUND, LIQD 20 % 60 ML x 1, DLT
60143, SCABENZIL , SCABENZIL, NOT FOUND, SABAO 20 % 75 G x 1, DLT
61031, SECNICS , SECNICS, NOT FOUND, CPR 1000 MG x 2, DLT
61032, SECNICS , SECNICS, NOT FOUND, CPR 1000 MG x 4, DLT
70446, SENSIPEL , SENSIPEL, NOT FOUND, LIQD 100 ML x 1, DLT
69153, SENSIPEL , SENSIPEL, NOT FOUND, LIQD 250 ML x 1, DLT
50381, SULFER PLUS , SULFER PLUS, NOT FOUND, GOTAS 68 MG 30 ML x 1 (/ML), DLT
46971, SULFER PLUS , SULFER PLUS, NOT FOUND, LIQD 30 MG 100 ML x 1 (/ML), DLT
