52467, DELTAFLAN , DELTAFLAN, NOT FOUND, CPR 100 MG x 12, DLT
65560, DELTAFLAN , DELTAFLAN, NOT FOUND, CPR DISPER. 100 MG x 12, DLT
60157, DELTAFLAN , DELTAFLAN, NOT FOUND, GOTAS 50 MG 15 ML x 1 (/ML), DLT
60158, DELTAFLAN , DELTAFLAN, NOT FOUND, SUSP 50 MG 60 ML x 1 (/5ML), DLT
63636, DELTAFLAN GEL , DELTAFLAN GEL, NOT FOUND, GEL. 2 % 40 G x 1, DLT
64468, DELTAFLOGIN , DELTAFLOGIN, NOT FOUND, CPR SR 75 MG x 28, DLT
64469, DELTAFLOGIN , DELTAFLOGIN, NOT FOUND, DRAG 100 MG x 20, DLT
49317, DELTAFLOGIN , DELTAFLOGIN, NOT FOUND, DRAG AP x 10, DLT
49316, DELTAFLOGIN , DELTAFLOGIN, NOT FOUND, DRAG x 10, DLT
58933, DELTALAX , DELTALAX, NOT FOUND, DRAG 5 MG x 20, DLT
60161, DELTAREN , DELTAREN, NOT FOUND, DRAG 50 MG x 20, DLT
60457, DELTAREN , DELTAREN, NOT FOUND, DRAG AP 100 MG x 10, DLT
47764, DELTAREN , DELTAREN, NOT FOUND, GOTAS 15 MG 10 ML x 1 (/ML), DLT
60163, DELTAREN GEL , DELTAREN GEL, NOT FOUND, GEL. 1 % 60 G x 1, DLT
76749, DELTASORO , DELTASORO, NOT FOUND, SOLN NASAL 0.90 % 30 ML x 1, DLT
101814, DELTAVIT , DELTAVIT, NOT FOUND, CPR COMPL B x 30, DLT
101815, DELTAVIT , DELTAVIT, NOT FOUND, CPR FERRO x 50, DLT
50322, DELTAVIT , DELTAVIT, NOT FOUND, DRAG x 50, DLT
50323, DELTAVIT , DELTAVIT, NOT FOUND, LIQD 120 ML x 1 (PAED), DLT
98541, DELTAVIT LACTANTE , DELTAVIT LACTANTE, NOT FOUND, CPR REVEST x 60, DLT
96170, DELTAVIT SENIOR , DELTAVIT SENIOR, NOT FOUND, CPR REVEST x 30, DLT
61713, DERMAFREE , DERMAFREE, NOT FOUND, LIQD 15 ML x 1, DLT
50324, DESPIN , DESPIN, NOT FOUND, CREME 30 G x 1, DLT
50325, DESPIN , DESPIN, NOT FOUND, SABAO 60 G x 1, DLT
76906, DESPIN AS , DESPIN AS, NOT FOUND, SABAO 80 G x 1, DLT
60167, DIPRO AS , DIPRO AS, NOT FOUND, POM. 30 G x 1, DLT
60168, DIPRO AS , DIPRO AS, NOT FOUND, SOLN TOP. 30 ML x 1, DLT
56831, DORMELOX , DORMELOX, NOT FOUND, CPR 15 MG x 10, DLT
56830, DORMELOX , DORMELOX, NOT FOUND, CPR 7.50 MG x 10, DLT
56832, DORZONE , DORZONE, NOT FOUND, CPR x 12, DLT
