57396, TANDERALGIN , TANDERALGIN, NOT FOUND, CPR x 12, DLT
60210, TANDERALGIN , TANDERALGIN, NOT FOUND, CPR x 30, DLT
58071, TENSALDIN , TENSALDIN, NOT FOUND, CPR REVEST x 20, DLT
128846, TENSALDIN , TENSALDIN, NOT FOUND, CPR REVEST x 200, DLT
69402, TENSALDIN , TENSALDIN, NOT FOUND, CPR REVEST x 500, DLT
44079, TETRAXIL , TETRAXIL, NOT FOUND, CAPS 500 MG x 100, DLT
59378, TIAPLEX , TIAPLEX, NOT FOUND, POM. 50 MG 20 G x 1 (/G), DLT
59379, TIAPLEX , TIAPLEX, NOT FOUND, SABAO 3.25 G 65 G x 1, DLT
60211, TIOCONAX , TIOCONAX, NOT FOUND, CREME 1 % 30 G x 1, DLT
60212, TIOCONAX , TIOCONAX, NOT FOUND, LOC. 1 % 30 G x 1, DLT
60214, TIOCONAX , TIOCONAX, NOT FOUND, SPRAY 1 % 30 ML x 1, DLT
78010, TRATOCAPIL , TRATOCAPIL, NOT FOUND, K SH100ML+LO 100 ML x 1, DLT
77886, TRATOCAPIL , TRATOCAPIL, NOT FOUND, LOC. 100 ML x 1, DLT
77887, TRATOCAPIL , TRATOCAPIL, NOT FOUND, SHAMPOO 100 ML x 1, DLT
110368, TRATOPE , TRATOPE, NOT FOUND, LOCAO P/ PES 30 G x 1, DLT
49503, TUSSILIV , TUSSILIV, NOT FOUND, XAROPE 2 MG 100 ML x 1 (/5ML), DLT
157066, TUTANGIR , TUTANGIR, NOT FOUND, CAPS 500 MG x 30, DLT
133794, TUTANGIR , TUTANGIR, NOT FOUND, LIQ LARANJA 250 ML x 1, DLT
