1156001720012; PREGNOLAN; PREGNOLAN; NOT FOUND; 150MG/ML + 10MG/ML SOL INJ CT AMP VD AMB X 1ML; CF2
1156000170019; PRISTONAL; PRISTONAL; NOT FOUND; 200MG CX COM 40 COMP; CF2
1156000170027; PRISTONAL; PRISTONAL; NOT FOUND; 400MG CX 10 COMP; CF2
1156001490017; PYRISEPT; PYRISEPT; NOT FOUND; 100 MG DRG CT 5 BL AL PLAS INC X 5; CF2
1156001490025; PYRISEPT; PYRISEPT; NOT FOUND; 200 MG DRG CT 2 BL AL PLAS INC X 9; CF2
1156000910012; PROPRANOLIL; PROPRANOLIL; NOT FOUND; 80MG CX COM 20 COMP; CF2
1156000740011; PRONENEN; PRONENEN; NOT FOUND; 5000 UI/G + 900 UI/G + 150 MG/G POM DERM CT BG AL X 45 G; CF2
1156000150018; PEDIDERM; PEDIDERM; NOT FOUND; 0.2 MG/ML LOC CT FR PLAS OPC X 100 ML; CF2
1156000150042; PEDIDERM; PEDIDERM; NOT FOUND; 0.2 MG/ML SHAMPOO CT FR PLAS X 100 ML; CF2
1156000150034; PEDIDERM; PEDIDERM; NOT FOUND; 0.3MG/G SAB CX COM 1 SAB DE 70G; CF2
1156000460017; PYVERM; PYVERM; NOT FOUND; 10MG/ML SUS OR CT FR VD AMB X 40 ML; CF2
1156000460025; PYVERM; PYVERM; NOT FOUND; 100 MG DRG CT BL AL PLAS INC X 6; CF2
1156000460041; PYVERM; PYVERM; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 6; CF2
1156000280019; PEN-V-CIL; PEN V CIL; NOT FOUND; 400.000 UI/5ML FR 60ML; CF2
1156000280027; PEN-V-CIL; PEN V CIL; NOT FOUND; 500.000 CX COM 12 COMP; CF2
1156000260085; PANTEC; PANTEC; NOT FOUND; 150 MG CX 1 CAPS; CF2
1156000260093; PANTEC; PANTEC; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2 ; CF2
1156001460010; POLARATUSS; POLARATUSS; NOT FOUND; 0.4MG/ML +4 MG/ML +20 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; CF2
1156001460029; POLARATUSS; POLARATUSS; NOT FOUND; 0.4MG/ML +4 MG/ML +20 MG/ML SOL OR CT FR PET AMB X 120 ML + CP MEDIDA; CF2
1156001230015; POSLOV; POSLOV; NOT FOUND; 0.75 MG 2 CPR; CF2
1156001230031; POSLOV; POSLOV; NOT FOUND; 0.75 MG COM CT BL AL PVC INC X 2; CF2
1156001210022; PRINOPRIL; PRINOPRIL; NOT FOUND; 10 MG COM C/ 30; CF2
1156001210030; PRINOPRIL; PRINOPRIL; NOT FOUND; 20 MG COM C/ 30; CF2
1156001210014; PRINOPRIL; PRINOPRIL; NOT FOUND; 5 MG COM C/ 30; CF2
1156000830019; POLAREN; POLAREN; NOT FOUND; 0.4 MG/ML XPE CT FR VD AMB X 100 ML; CF2
1156000830051; POLAREN; POLAREN; NOT FOUND; 0.4 MG/ML  XPE CT FR VD AMB X 100 ML + COP; CF2
1156000830027; POLAREN; POLAREN; NOT FOUND; 2.0 MG COM CT BL AL PLAS TRANS X 20; CF2
1156001670015; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS AMB X 20; CF2
1156000710013; PIROXIN; PIROXIN; NOT FOUND; 10MG CX COM 15 CPR; CF2
1156000710031; PIROXIN; PIROXIN; NOT FOUND; 20 MG CX COM 15 CPR; CF2
