1156001470024; BRONFILIL; BRONFILIL; NOT FOUND; 25MG XAROPE PEDIATRICO 120ML + COPO MED; CF2
1156001470016; BRONFILIL; BRONFILIL; NOT FOUND; 50MG XAROPE ADULTO 120ML; CF2
1156000160056; BENZOTAL; BENZOTAL; NOT FOUND; 1000MG AD SUSP INJ CX 01FR AMP+AMP DILUENTE; CF2
1156000160013; BENZOTAL; BENZOTAL; NOT FOUND; 250MG PED SUSP INJ CX 01FR AMP+AMP DILUENTE; CF2
1156000160031; BENZOTAL; BENZOTAL; NOT FOUND; 500MG AD SUSP INJ CX 01FR AMP+ AMP DILUENTE; CF2
1156000990040; BENATUX; BENATUX; NOT FOUND; 12.5MG/5ML+125MG/5ML+56.25MG/5ML XPE CT FR VD AMB X 120 ML + COP; CF2
1156000990016; BENATUX; BENATUX; NOT FOUND; 5MG+50MG+10MG PAST CT ENV AL X 12 (SABOR FRAMBOESA); CF2
1156000990024; BENATUX; BENATUX; NOT FOUND; 5MG+50MG+10MG PAST CT ENV AL X 12 (SABOR MENTA); CF2
1156000860041; BRONXOL; BRONXOL; NOT FOUND; XAROPE ADULTO 120ML; CF2
1156000860041; BRONXOL; BRONXOL; NOT FOUND; 3 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED; CF2
1156000860015; BRONXOL; BRONXOL; NOT FOUND; 30MG 20 CPR; CF2
