1156000210010; VERMICLASE; VERMICLASE; NOT FOUND; 40 MG/ML SUSP OR CT FR VD AMB X 10 ML; CF2
1156000210029; VERMICLASE; VERMICLASE; NOT FOUND; 200 MG CX COM 2 COMP; CF2
1156000210037; VERMICLASE; VERMICLASE; NOT FOUND; 400 MG COM MAST CT BL AL PLAS INC X 1; CF2
1156001430014; VITERCAL C; VITERCAL C; NOT FOUND; 500MG+600MG 10CPR EFERVECENTES; CF2
1156001580016; VARICOSS; VARICOSS; NOT FOUND; 15 MG + 90 MG DRG CT BL AL PLAS INC X 20 ; CF2
1156001580024; VARICOSS; VARICOSS; NOT FOUND; 15 MG + 90 MG DRG CT BL AL PLAS INC X 60; CF2
1156001510018; VENOVAZ; VENOVAZ; NOT FOUND; 450 MG + 50 MG COM REV CT 2 BL AL PLAS INC X 15; CF2
1156001510026; VENOVAZ; VENOVAZ; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS INC X 60 ; CF2
1156001060012; VERMECTIL; VERMECTIL; NOT FOUND; 6 MG COM 2 COMP; CF2
1156001060020; VERMECTIL; VERMECTIL; NOT FOUND; 6 MG COM 4 COMP; CF2
1156001060047; VERMECTIL; VERMECTIL; NOT FOUND; 6 MG COM CT ENV AL POLIET X 4; CF2
1156001060055; VERMECTIL; VERMECTIL; NOT FOUND; 6 MG COM CT ENV AL POLIET X 2 ; CF2
1156000420031; VERMIBEN; VERMIBEN; NOT FOUND; 20MG/ML SUS OR CT FR VD AMB X 30 ML + COPO MEDIDA; CF2
1156000420015; VERMIBEN; VERMIBEN; NOT FOUND; 100 MG CX COM 6 COMP; CF2
1156000420066; VERMIBEN; VERMIBEN; NOT FOUND; 100 MG COM CT BL AL PLAS TRANS X 6; CF2
