1156000080011; DEXADEN; DEXADEN; NOT FOUND; 1 MG/G CREM DERM CT BG AL X 10 G; CF2
1156001000011; DEXADEN; DEXADEN; NOT FOUND; 0.5 MG CX COM 20 COMP; CF2
1156000720035; DEXTAMINE; DEXTAMINE; NOT FOUND; (0.4 + 0.05) MG/ML XPE CT FR VD AMB X 120 ML + CP MED; CF2
1156000720019; DEXTAMINE; DEXTAMINE; NOT FOUND; 2.0MG+0.25MG CX COM 15COMP; CF2
1156000720061; DEXTAMINE; DEXTAMINE; NOT FOUND; 2 MG + 0.25 MG COM CT BL AL PLAS OPC X 20; CF2
1156000960011; DORCIFLEXIN; DORCIFLEXIN; NOT FOUND; 35 MG+ 300 MG + 50 MG COM CT BL AL PLAS TRANS X 144; CF2
1156000960036; DORCIFLEXIN; DORCIFLEXIN; NOT FOUND; 35 MG+ 300 MG + 50 MG COM CT BL AL PLAS TRANS X 240 (EMB HOSP); CF2
1156000590018; DORILESS; DORILESS; NOT FOUND; (500 MG+10MG+ 5 MG )/1.5ML SOL OR CT FR VD AMB GOT X 15 ML ; CF2
1156000590026; DORILESS; DORILESS; NOT FOUND; 500MG+10MG+5MG COM CT BL AL PLAS TRANS X 12; CF2
1156000590034; DORILESS; DORILESS; NOT FOUND; 500MG+10MG+5MG COM CT BL AL PLAS TRANS X 200; CF2
1156001000109; DEXADEN; DEXADEN; NOT FOUND; 0.1MG/ML ELX CT FR VD AMB X 100 ML + COP; CF2
1156000410028; DIGOXEN; DIGOXEN; NOT FOUND; 0.25MG CX COM 20 COMP; CF2
1156000220067; DIFEBRIL; DIFEBRIL; NOT FOUND; SOL INJ IM/IV CX COM 100 AMPOLAS DE 2ML; CF2
1156000220032; DIFEBRIL; DIFEBRIL; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; CF2
1156000220040; DIFEBRIL; DIFEBRIL; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; CF2
1156000220016; DIFEBRIL; DIFEBRIL; NOT FOUND; 500 MG COM CT STR X 100; CF2
1156000220083; DIFEBRIL; DIFEBRIL; NOT FOUND; 500 MG COM CT BL AL PLAS TRANS X 100; CF2
1156000880016; DIPROCORT; DIPROCORT; NOT FOUND; 5MG SUSP INJ CX COM 1AMP 1ML; CF2
1156001130010; DIAMELLITIS; DIAMELLITIS; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 30; CF2
1156001130029; DIAMELLITIS; DIAMELLITIS; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30 ; CF2
1156001130037; DIAMELLITIS; DIAMELLITIS; NOT FOUND; 4 MG COM CT BL AL PLAS INC X 30; CF2
1156001130096; DIAMELLITIS; DIAMELLITIS; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 480 (EMB HOSP); CF2
1156000650029; DIMIPRESS; DIMIPRESS; NOT FOUND; 250 MG COM REV CT 3 BL AL PLAS AMB X 10; CF2
1156000650010; DIMIPRESS; DIMIPRESS; NOT FOUND; 500 MG COM REV CT 3 BL AL PLAS AMB X 10; CF2
1156000660016; DIPINAL; DIPINAL; NOT FOUND; 10MG CX COM 30 COMP; CF2
