1156000820013; ACIVIRAX; ACIVIRAX; NOT FOUND; 50 MG/G CREM DERM CT BG AL X 10 G; CF2
1156001650030; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10G ; CF2
1156000820021; ACIVIRAX; ACIVIRAX; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 25; CF2
1156000820072; ACIVIRAX; ACIVIRAX; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 25; CF2
1156000100037; AMOXADENE; AMOXADENE; NOT FOUND; 125 MG/5 ML PO PREP EXTEMP CT FR VD AMB X 150 ML; CF2
1156000100029; AMOXADENE; AMOXADENE; NOT FOUND; 250 MG/5 ML PO PREP EXTEMP CT FR VD AMB X 150 ML; CF2
1156000100118; AMOXADENE; AMOXADENE; NOT FOUND; 250 MG/5 ML PO PREP EXTEMP CT FR VD AMB X 150 ML  + CP MED; CF2
1156000100045; AMOXADENE; AMOXADENE; NOT FOUND; 500MG CX COM 12 CAPS; CF2
1156000100096; AMOXADENE; AMOXADENE; NOT FOUND; 500 MG CAP GEL DURA CT 3 BL AL PLAS INC X 7; CF2
1156000090031; AMPLACIN; AMPLACIN; NOT FOUND; 250MG PO SUSP ORAL FR DE 60ML; CF2
1156000090023; AMPLACIN; AMPLACIN; NOT FOUND; 500 MG CX COM 12 CAPS; CF2
1156000090058; AMPLACIN; AMPLACIN; NOT FOUND; 500 MG CX COM 24 CAPS; CF2
1156000090041; AMPLACIN; AMPLACIN; NOT FOUND; 500MG CX COM 6 CAPS; CF2
1156001020010; ATENORM; ATENORM; NOT FOUND; 100MG CX COM 28 COMP; CF2
1156001020029; ATENORM; ATENORM; NOT FOUND; 50 MG CX COM 28 COMP; CF2
1156001690016; AZITROMICINA DIIDRATADA; AZITROMICINA DIIDRATADA; NOT FOUND; 1000 MG COM REV CT BL AL PLAS INC X 1; CF2
1156000790106; AZITRON; AZITRON; NOT FOUND; 600MG PO SUSP ORA -FR DE 15ML; CF2
1156000790114; AZITRON; AZITRON; NOT FOUND; 900MG PO SUSP ORAL FR 22.5ML; CF2
1156000790106; AZITRON; AZITRON; NOT FOUND; 600 MG PO PREP EXTEMP CT FR PLAS OPC FLAC DIL 9 ML; CF2
1156000790114; AZITRON; AZITRON; NOT FOUND; 900 MG PO PREP EXTEMP CT FR PLAS OPC FLAC DIL 12 ML; CF2
1156000790025; AZITRON; AZITRON; NOT FOUND; 250MG CX COM 6 COMP; CF2
1156000790051; AZITRON; AZITRON; NOT FOUND; 500 MG CX COM 3 COMP; CF2
1156000790025; AZITRON; AZITRON; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 6; CF2
1156000790051; AZITRON; AZITRON; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 3; CF2
1156000790122; AZITRON; AZITRON; NOT FOUND; 1000 MG COM REV BL AL PLAS INC X 1 ; CF2
1156000790130; AZITRON; AZITRON; NOT FOUND; 1000 MG COM REV BL AL PLAS INC X 2; CF2
1156000790149; AZITRON; AZITRON; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 5  ; CF2
1156000790173; AZITRON; AZITRON; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 480 (EMB HOSP); CF2
1156001040021; AMILOPIL; AMILOPIL; NOT FOUND; 10MG CX COM 20 COMP; CF2
1156001040011; AMILOPIL; AMILOPIL; NOT FOUND; 5MG CX COM 20 COMP; CF2
1156000120011; APETIVITON BC; APETIVITON BC; NOT FOUND; SOL OR CT FR VD AMB X 240 ML; CF2
1156000120021; APETIVITON BC; APETIVITON BC; NOT FOUND; SOL OR CT FR VD AMB X 240 ML + CP MED; CF2
1156000800012; AFTINE; AFTINE; NOT FOUND; 15 MG/ML + 25 MG/ML + 1 MG/ML + 15MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; CF2
1156000360012; ALIVIOL; ALIVIOL; NOT FOUND; POM CT BG AL X 20 G; CF2
9999999999999; ACNEE LOSS; ACNEE LOSS; NOT FOUND; 50 MG/G BG 20 G; CF2
