1156000840014; GERILON; GERILON; NOT FOUND; CAP GEL MOLE CT BL AL PLAS INC X 30; CF2
1156000840022; GERILON; GERILON; NOT FOUND; CAP GEL MOLE CT BL AL PLAS INC X 60; CF2
1156001110052; GASTROLIV; GASTROLIV; NOT FOUND; (35.6 + 37.0 + 46.0)MG/G PO EFEV DISP 100 SACH AL/POLIET X 5 G (SABOR LARANJA); CF2
1156001110060; GASTROLIV; GASTROLIV; NOT FOUND; (35.6 + 37.0 + 46.0)MG/G PO EFEV DISP 100 SACH AL/POLIET X 5 G (SABOR LIMAO); CF2
1156001110044; GASTROLIV; GASTROLIV; NOT FOUND; (35.6 + 37.0 + 46.0)MG/G PO EFEV DISP 100 SACH AL/POLIET X 5 G (SABOR ABACAXI); CF2
1156000610035; GRIPEOL; GRIPEOL; NOT FOUND; 100 MG + 2 MG +2 MG/ ML SOL OR CT FR PLAS OPC GOT X 20 ML; CF2
1156000610116; GRIPEOL; GRIPEOL; NOT FOUND; 40 MG/ML + 0.6 MG/ML + 0.6 MG/ML SOL OR CT FR VD AMB X 100 ML + COP; CF2
1156000610019; GRIPEOL; GRIPEOL; NOT FOUND; 400 MG + 4 MG +4 MG CAP GEL DURA CT BL AL PLAS TRANS X 20; CF2
1156000610043; GRIPEOL; GRIPEOL; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CT 50 BL AL PLAS TRANS X 4; CF2
1156000500019; GAZYME; GAZYME; NOT FOUND; 75MG/ML EMUL OR CT FR PLAS OPC GOT X 10 ML ; CF2
1156000500027; GAZYME; GAZYME; NOT FOUND; 40 MG CX COM 20 COMP; CF2
1156001450023; GLICARON; GLICARON; NOT FOUND; 80 MG COM CT 3 BL AL PLAS INC X 20 ; CF2
1156001450015; GLICARON; GLICARON; NOT FOUND; 80 MG COM CT BL AL PLAS INC X 20; CF2
1156001450031; GLICARON; GLICARON; NOT FOUND; 80 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); CF2
1156000480018; GASTROMAX; GASTROMAX; NOT FOUND; 6.195 % SUSP ORAL CX COM 1 FR 150ML; CF2
1156000480026; GASTROMAX; GASTROMAX; NOT FOUND; 300MG CX COM 20 COMP; CF2
1156000480042; GASTROMAX; GASTROMAX; NOT FOUND; 300 MG COM CT BL AL PLAS TRANS X 200 (EMB HOSP); CF2
1156001050017; GINO-DACZOL; GINO DACZOL; NOT FOUND; 20 MG/G CREM VAG CT BG AL X 80 G + APLIC; CF2
