1156001010015; MINEROVIT; MINEROVIT; NOT FOUND; DRG CT3 BL AL PLAS INC X 10 CPR REVESTIDOS; CF2
1156000250101; MUCOLIX; MUCOLIX; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; CF2
1156000250081; MUCOLIX; MUCOLIX; NOT FOUND; 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; CF2
1156000250039; MUCOLIX; MUCOLIX; NOT FOUND; 50 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; CF2
1156000250128; MUCOLIX; MUCOLIX; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; CF2
1156001410021; MENOPRIN; MENOPRIN; NOT FOUND; 0.625 MG DRG CT BL AL PLAS CALEND X 28; CF2
1156001410013; MENOPRIN; MENOPRIN; NOT FOUND; 0.625 MG DRG CT BL AL PLAS CALEND X 21; CF2
1156001530019; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS ORAL CT FR VD AMB X 30 ML  ; CF2
1156001540014; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 100 MG COM CT BL AL PLAS INC X 6 ; CF2
1156000620014; MELONAN; MELONAN; NOT FOUND; 7.5MG CX COM 10 COMP; CF2
1156000300011; METOPLAMIN; METOPLAMIN; NOT FOUND; 4MG/ML SOL ORAL CX COM 1 FR GTS 10ML; CF2
1156000300028; METOPLAMIN; METOPLAMIN; NOT FOUND; 10MG CX COM 20 COMP; CF2
1156000310031; METRONIN; METRONIN; NOT FOUND; 40MG/ML SUSP ORAL CX COM 1FR 100ML; CF2
1156000310015; METRONIN; METRONIN; NOT FOUND; 250MG CX 20 COMP; CF2
