1558400400021; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML; BF8
1558400400064; IBUPROFENO; IBUPROFENO; IBUPROFENO; 100 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; BF8
1558400400064; IBUPROFENO; IBUPROFENO; IBUPROFENO; 100 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; BF8
1558401360163; IBUFRAN; IBUFRAN; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML ; BF8
1558400590017; IBUPROFENO; IBUPROFENO; IBUPROFENO; 400MG COM REV CT BL AL PLAS INC X 10; BF8
1558401360198; IBUFRAN; IBUFRAN; NOT FOUND; 400 MG COM CT BL AL PLAS INC X 10; BF8
1558401360309; IBUFRAN; IBUFRAN; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 20; BF8
1558402720015; IBUPROFENO; IBUPROFENO; IBUPROFENO; 400 MG COM CT BL AL PVC X 10 ; BF8
1558400290021; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 10; BF8
1558400290031; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 15; BF8
1558400290013; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 4; BF8
1558400600012; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 4 ; BF8
1558400600020; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAP GEL DURA CT BL AL PLAS INC X 15; BF8
