1558400390018; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR PLAS AMB X 120 ML + CP DOS; BF8
1558400730013; MIORRELAX; MIORRELAX; NOT FOUND; 300 MG + 50 MG + 35 MG COM CT BL AL PLAS AMB X 100; BF8
1558400730021; MIORRELAX; MIORRELAX; NOT FOUND; 300 MG + 50 MG + 35 MG COM CT BL AL PLAS AMB X 20; BF8
1558400730153; MIORRELAX; MIORRELAX; NOT FOUND; 300 MG + 50 MG + 35 MG COM CT BL AL PLAS AMB X 30; BF8
1558400730161; MIORRELAX; MIORRELAX; NOT FOUND; 300 MG + 50 MG + 35 MG COM DISP CT BL AL PLAS AMB X 200 (EMB MULT); BF8
1558400140011; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.40 MG/ML SOL OR CT FR VD AMB X 120 ML + DOSADOR ; BF8
1558400070013; MALEATO DE DEXCLORFENIRAMINA+SULFATO DE PSEUDOEFDE; MALEATO DEXCLORFENIRAMINA SULFATO PSEUDOEFDE; NOT FOUND; 0.4MG/ML + 4MG/ML + 20MG/ML XPE CT FR VD AMB X 120ML; BF8
1558400040017; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2 MG COM CT BL AL PLAS INC X 20; BF8
1558400250062; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT STR AL X 30; BF8
1558400250054; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT STR AL X 30; BF8
1558400250021; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT STR AL X 30; BF8
1558401490032; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR VD AMB X 30 ML + COP; BF8
1558400510021; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS INC X 30; BF8
