1558402340085; TORSILAX; TORSILAX; NOT FOUND; 125MG + 50MG + 300MG +30MG COM CT BL AL PLAS INC X 100 (EMB FRAC); BF8
1558402340093; TORSILAX; TORSILAX; NOT FOUND; 125MG + 50MG + 300MG +30MG COM CT BL AL PLAS INC X 200 (EMB FRAC) ; BF8
1558402340042; TORSILAX; TORSILAX; NOT FOUND; 125 MG + 50 MG + 300 MG + 30 MG COM CT BL AL PLAS INC X 12; BF8
1558402340018; TORSILAX; TORSILAX; NOT FOUND; 125MG + 50MG + 300MG +30MG COM CT BL AL PLAS INC X 30; BF8
1558402340026; TORSILAX; TORSILAX; NOT FOUND; 125 MG + 50 MG + 300 MG + 30 MG COM DISP BL AL PLAS INC X 100 (EMB HOSP); BF8
1558400420014; TEFIN; TEFIN; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 10 G; BF8
1558400420022; TEFIN; TEFIN; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 20 G; BF8
1558400420030; TEFIN; TEFIN; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 30 G; BF8
1558403020017; TIMOSOPT; TIMOSOPT; NOT FOUND; 20MG/ML + 5MG/ML SOL OFT CT FR PLAS OPC X 5 ML ; BF8
1558401460036; TERMOPIRONA; TERMOPIRONA; NOT FOUND; 500 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML; BF8
1558401460273; TERMOPIRONA; TERMOPIRONA; NOT FOUND; 50 MG/ML SOL OR CT FR PLAS AMB X 100 ML + CP MED ; BF8
1558401460095; TERMOPIRONA; TERMOPIRONA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; BF8
1558401460151; TERMOPIRONA; TERMOPIRONA; NOT FOUND; 1G COM CT BL AL PLAS TRANS X 10; BF8
1558401460176; TERMOPIRONA; TERMOPIRONA; NOT FOUND; 1G COM DISP BL AL PLAS TRANS  X 100; BF8
1558402310011; TILUGEN; TILUGEN; NOT FOUND; 2MG/ML XPE CT FR VD AMB X 120ML + CP MED; BF8
1558400500018; TERMIX; TERMIX; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 10; BF8
1558400500026; TERMIX; TERMIX; NOT FOUND; 600 MG COM REV CT BL AL PLAS INC X 10; BF8
1558400500034; TERMIX; TERMIX; NOT FOUND; 600 MG COM REV CT BL AL PLAS INC X 4; BF8
1558403530112; TYNEO; TYNEO; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; BF8
1558403530058; TYNEO; TYNEO; NOT FOUND; 750 MG COM DISPLAY BL AL PLAS AMB X 100; BF8
