1558404010015; DIPROTERON; DIPROTERON; NOT FOUND; 2.0MG + 0.035MG COM REV CT BL AL PLAS INC X 21 ; BF8
1558403800020; DORALGINA; DORALGINA; NOT FOUND; 50 MG/ML + 300 MG/ML + 30 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML ; BF8
1558403800012; DORALGINA; DORALGINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG CT BL AL PLAS INC X 20 ; BF8
1558403800039; DORALGINA; DORALGINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG DISP BL AL PLAS INC X 100 (EMB MULT); BF8
1558402220012; DIPIRONA SÓDICA+ CAFEÍNA; DIPIRONA SODICA CAFEINA; NOT FOUND; 500 MG + 65MG COM CT BL AL PLAS AMB X 16 ; BF8
1558402220039; DIPIRONA SÓDICA+ CAFEÍNA; DIPIRONA SODICA CAFEINA; NOT FOUND; 500 MG + 65MG COM DISP BL AL PLAS AMB X 100; BF8
1558400520019; DICLOFENACO DIETILAMÔNIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 11.6 MG/G GEL CT BG AL X 60 G; BF8
1558400220015; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG DRG CT STR AL/AL X 10 ; BF8
1558400220023; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG DRG CT  STR AL/AL X 20; BF8
1558403360012; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 25 MG/ML SOL INJ CT 5 AMP VD INC X 3 ML; BF8
1558402510010; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 1 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; BF8
1558400030021; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT  BL AL PLAS INC X 20 ; BF8
1558400030011; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 10 ; BF8
1558403370026; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 20; BF8
1558404450015; DIGOXINA; DIGOXINA; DIGOXINA; 0.25 MG COM CT BL AL PLAS INC X 24; BF8
1558401710016; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML; BF8
1558400470011; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; BF8
1558402800019; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; BF8
1558402800043; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; BF8
1558400540011; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM BL AL PLAS INC X 4; BF8
1558403250039; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 1G COM CT BL AL PLAS INC X 10 ; BF8
1558403250055; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 1G COM DISP BL AL PLAS INC X 100; BF8
1558403250020; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 100; BF8
1558400060018; DIPROPIONATO DE BETAMETASONA + FOSFATO DISSÓDICO DE BETAMETASONA; DIPROPIONATO BETAMETASONA FOSFATO DISSODICO BETAMETASONA; NOT FOUND; 5 MG/ML + 2 MG/ML SUS INJ CT AMP VD INC X 1 ML + SER; BF8
1558400060034; DIPROPIONATO DE BETAMETASONA + FOSFATO DISSÓDICO DE BETAMETASONA; DIPROPIONATO BETAMETASONA FOSFATO DISSODICO BETAMETASONA; NOT FOUND; 5MG/ML+ 2MG/ML SUSP INJ CT 1 AMP VD INC X 1 ML; BF8
