1558401430102; VIRINEO; VIRINEO; NOT FOUND; 50MG COM REV CT BL AL PLAS TRANS X 4; BF8
1558401430110; VIRINEO; VIRINEO; NOT FOUND; 50MG COM REV CT BL AL PLAS TRANS X 8; BF8
1558401430171; VIRINEO; VIRINEO; NOT FOUND; 100MG COM REV CT BL AL PLAS TRANS X 4; BF8
1558401430021; VIRINEO; VIRINEO; NOT FOUND; 25MG COM REV CT BL AL PLAS TRANS X 2; BF8
1558401430031; VIRINEO; VIRINEO; NOT FOUND; 25MG COM REV CT BL AL PLAS TRANS X 4; BF8
1558401430080; VIRINEO; VIRINEO; NOT FOUND; 50MG COM REV CT BL AL PLAS TRANS X 1; BF8
1558401430099; VIRINEO; VIRINEO; NOT FOUND; 50MG COM REV CT BL AL PLAS TRANS X 2; BF8
1558400090014; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1 MG/G + 10 MG/G +10 MG/G CREM DERM CT BG AL X 20 G; BF8
1558400100011; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G; BF8
1558400860049; VERTIGIUM; VERTIGIUM; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 200 (EMB FRAC) ; BF8
1558400860022; VERTIGIUM; VERTIGIUM; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 50; BF8
1558402790031; VASODIPINA; VASODIPINA; NOT FOUND; 30 MG COM REV CT BL AL PLAS AMB X 200 (EMB FRAC); BF8
1558402790013; VASODIPINA; VASODIPINA; NOT FOUND; 30 MG COM REV CT BL AL PLAS AMB X 30; BF8
