1558400010061; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 250 MG COM REV CT BL AL PLAS INC X 7; BF8
1558400010037; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 7; BF8
1558400360046; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT BL AL PLAS INC X 30; BF8
1558400360021; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT BL AL PLAS INC X 30; BF8
1558400360062; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT BL AL PLAS INC X 30; BF8
1558400120010; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CT FR VD AMB X 100 ML; BF8
1558400110015; LORATADINA; LORATADINA; LORATADINA; 10 MG COM CT BL AL PLAS INC X 12; BF8
1558400150017; LORATADINA + SULFATO DE PSEUDOEFEDRINA; LORATADINA SULFATO PSEUDOEFEDRINA; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML; BF8
1558400130016; LORATADINA + SULFATO DE PSEUDOEFEDRINA; LORATADINA SULFATO PSEUDOEFEDRINA; NOT FOUND; 5MG + 120MG DRG CT BL AL PLAS INC X 12; BF8
1558401800015; LANZACOR; LANZACOR; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 14 ; BF8
1558401800023; LANZACOR; LANZACOR; NOT FOUND; 50 MG COM REV CT  BL AL PLAS INC X 28 ; BF8
1558401800031; LANZACOR; LANZACOR; NOT FOUND; 50 MG COM REV CX BL AL PLAS INC X 490 (EMB HOSP); BF8
1558401800074; LANZACOR; LANZACOR; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 30; BF8
1558400230010; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 14; BF8
1558400230029; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 28; BF8
1558400240024; LOVASTATINA; LOVASTATINA; LOVASTATINA; 10 MG COM CT BL AL PLAS INC X 30; BF8
1558400240032; LOVASTATINA; LOVASTATINA; LOVASTATINA; 20 MG COM CT BL AL PLAS INC X 10; BF8
1558400240040; LOVASTATINA; LOVASTATINA; LOVASTATINA; 20 MG COM CT BL AL PLAS INC X 30; BF8
1558400240059; LOVASTATINA; LOVASTATINA; LOVASTATINA; 40MG C/ 10 CPR.; BF8
1558403990040; LIPOXEN; LIPOXEN; NOT FOUND; 120 MG CAP GEL DURA CT BL PLAS INC X 42; BF8
1558403990067; LIPOXEN; LIPOXEN; NOT FOUND; 120 MG CAP GEL DURA CT BL PLAS INC X 84; BF8
