1558404470075; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 28; BF8
1558401030015; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML  ; BF8
1558400350016; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM BL AL PVC X 4; BF8
1558400350024; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM BL AL PVC X 20; BF8
1558401580023; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750MG COM CT BL AL PLAS LAR X 20; BF8
1558401580015; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750MG COM DISPLAY BL AL PLAS LAR X 200; BF8
1558400930039; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 10; BF8
1558400930012; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 15  ; BF8
1558400080027; PREDNISONA; PREDNISONA; PREDNISONA; 20MG COM CT BL AL PLAS INC X 10; BF8
1558400080019; PREDNISONA; PREDNISONA; PREDNISONA; 5MG COM CT BL AL PLAS INC X 20; BF8
1558401050032; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 10  ; BF8
1558401050040; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 20 ; BF8
1558401050016; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 20; BF8
