1558404000011; ACETATO DE CIPROTERONA+ETINILESTRADIOL; ACETATO CIPROTERONA ETINILESTRADIOL; NOT FOUND; 2.0 MG + 0.035 MG COM REV CT BL AL PLAS INC X 21 ; BF8
1558400440015; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; BF8
1558400480017; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200MG COM CT BL AL PLAS INC X 10 ; BF8
1558400480025; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 25; BF8
1558404150021; ALENDRONATO DE SÓDIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PLAS TRANS X 4; BF8
1558404140024; ALENDRUS; ALENDRUS; NOT FOUND; 70 MG COM CT BL AL PLAS TRANS X 4; BF8
1558403750023; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS TRANS X 30; BF8
1558403750104; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS TRANS X 30; BF8
1558403750139; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT BL AL PLAS TRANS X 30; BF8
1558403750163; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2.0 MG COM CT BL AL PLAS TRANS X 30; BF8
1558400190019; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUS OR CT FR PLAS OPC X 150 ML + COL DOSAD; BF8
1558400180021; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; BF8
1558401410012; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PVC INC X 15; BF8
1558401410020; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PVC INC X 21; BF8
1558400170018; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 50 MG/ML + 12.5 MG/ML PO P/ SUS OR CT FR PLAS OPC X 75 ML; BF8
1558400160012; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT STR AL/AL X 6 ; BF8
1558400160039; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT STR AL/AL X 18; BF8
1558404210049; ATORVASTEROL; ATORVASTEROL; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 30; BF8
1558404210065; ATORVASTEROL; ATORVASTEROL; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 60; BF8
1558404210200; ATORVASTEROL; ATORVASTEROL; NOT FOUND; 20 MG COM REV CT BL AL PLAS TRANS X 30; BF8
1558404210227; ATORVASTEROL; ATORVASTEROL; NOT FOUND; 20 MG COM REV CT BL AL PLAS TRANS X 60; BF8
1558404210383; ATORVASTEROL; ATORVASTEROL; NOT FOUND; 40 MG COM REV CT BL AL PLAS TRANS X 60; BF8
1558404210529; ATORVASTEROL; ATORVASTEROL; NOT FOUND; 80 MG COM REV CT BL AL PLAS TRANS X 30; BF8
1558404180522; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 80 MG COM REV CT BL AL PLAS TRANS X 30; BF8
1558404180379; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL PLAS TRANS X 30; BF8
1558404180220; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL PLAS TRANS X 60; BF8
1558404180204; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL PLAS TRANS X 30; BF8
1558404180042; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL PLAS TRANS X 30; BF8
1558404180069; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL PLAS TRANS X 60; BF8
1558403110016; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 2  ; BF8
1558403110024; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 3; BF8
1558403110091; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 5; BF8
1558401240036; ASSEPTCARE; ASSEPTCARE; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS AMB X 30 ML + APLIC; BF8
1558402960024; ALDNEO; ALDNEO; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; BF8
