511000901153417; TELEBRIX CORONAR; TELEBRIX CORONAR; NOT FOUND; 640.38 MG/ML + 93.24 MG/ML SOL INJ CX 10 FA VD INC X 100 ML + SUP + EQP; GUE
511000902151418; TELEBRIX CORONAR; TELEBRIX CORONAR; NOT FOUND; 640.38 MG/ML + 93.24 MG/ML SOL INJ CT FA VD INC X 100 ML + SUP+ EQP; GUE
511000905159411; TELEBRIX CORONAR; TELEBRIX CORONAR; NOT FOUND; 640.38 MG/ML + 93.24 MG/ML SOL INJ CT FA VD INC X 100 ML; GUE
511000906155418; TELEBRIX CORONAR; TELEBRIX CORONAR; NOT FOUND; 640.38 MG/ML + 93.24 MG/ML SOL INJ CX 10 FA VD INC X 100 ML; GUE
511000903156413; TELEBRIX CORONAR; TELEBRIX CORONAR; NOT FOUND; 640.38 MG/ML + 93.24 MG/ML SOL INJ CT FA VD INC X 50 ML (USO PROF); GUE
511000904152411; TELEBRIX CORONAR; TELEBRIX CORONAR; NOT FOUND; 640.38 MG/ML + 93.24 MG/ML SOL INJ CX 25 FA VD INC X 50 ML; GUE
511001001172413; TELEBRIX HYSTERO; TELEBRIX HYSTERO; NOT FOUND; 550.50 MG/ML SOL INJ CX 25 FA VD INC X 20 ML ; GUE
511001002179411; TELEBRIX HYSTERO; TELEBRIX HYSTERO; NOT FOUND; 550.50 MG/ML SOL INJ CT FA VD INC X 20 ML ; GUE
511000701154411; TELEBRIX 30 MEGLUMINA; TELEBRIX 30 MEGLUMINA; NOT FOUND; 66.03 G/100 ML SOL INJ CX  10 FA VD INC X 100 ML (USO PROFS)   ; GUE
511000704153414; TELEBRIX 30 MEGLUMINA; TELEBRIX 30 MEGLUMINA; NOT FOUND; 66.03 G/100 ML SOL INJ CX  FA VD INC X 100 ML (USO PROFS)  ; GUE
511000703157416; TELEBRIX 30 MEGLUMINA; TELEBRIX 30 MEGLUMINA; NOT FOUND; 66.03 G/100 ML SOL INJ CX FA VD INC X 30 ML (USO PROFS) ; GUE
511000705151415; TELEBRIX 30 MEGLUMINA; TELEBRIX 30 MEGLUMINA; NOT FOUND; 66.03 G/100 ML SOL INJ CX 25 FA VD INC X 30 ML (USO PROFS) ; GUE
511000702150418; TELEBRIX 30 MEGLUMINA; TELEBRIX 30 MEGLUMINA; NOT FOUND; 66.03 G/100 ML SOL INJ CX  25 FA VD INC X 50 ML (USO PROFS)  ; GUE
511000706156410; TELEBRIX 30 MEGLUMINA; TELEBRIX 30 MEGLUMINA; NOT FOUND; 66.03 G/100 ML SOL INJ CX FA VD INC X 50 ML (USO PROFS) ; GUE
511000802155411; TELEBRIX 35; TELEBRIX 35; NOT FOUND; 650.90 MG/ML + 96.60 MG/ML SOL INJ CT FA VD INC X 100 ML ; GUE
511000803151411; TELEBRIX 35; TELEBRIX 35; NOT FOUND; 650.90 MG/ML + 96.60 MG/ML SOL INJ CT FA VD INC X 30 ML ; GUE
511000805154416; TELEBRIX 35; TELEBRIX 35; NOT FOUND; 650.90 MG/ML + 96.60 MG/ML SOL INJ CX 25 FA VD INC X 30 ML ; GUE
511000804158418; TELEBRIX 35; TELEBRIX 35; NOT FOUND; 650.90MG/ML + 96.60 MG/ML SOL INJ CT FA VD INC X 50 ML ; GUE
511000807157412; TELEBRIX 35; TELEBRIX 35; NOT FOUND; 650.90 MG/ML + 96.60 MG/ML SOL INJ CX 25 FA VD INC X 50 ML ; GUE
511000801159413; TELEBRIX 35; TELEBRIX 35; NOT FOUND; 650.90 MG/ML + 96.60 MG/ML SOL INJ CT FA VD INC X 20; GUE
511000808153410; TELEBRIX 35; TELEBRIX 35; NOT FOUND; 650.90 MG/ML + 96.60 MG/ML SOL INJ CX 50 FA VD INC X 20 ML ; GUE
511000806150414; TELEBRIX 35; TELEBRIX 35; NOT FOUND; 650.90 MG/ML + 96.60 MG/ML SOL INJ CX 10 FA VD INC X 100 ML ; GUE
