538100202119116, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 20, B0B
538100201112118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), B0B
538100203115114, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), B0B
538100202119116, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 20, B0B
538100201112118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), B0B
538100203115114, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), B0B
538100202119116, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 20, B0B
538100201112118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), B0B
538100203115114, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), B0B
538100202119116, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 20, B0B
538100201112118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), B0B
538100203115114, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), B0B
538100202119116, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 20, B0B
538100201112118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), B0B
538100203115114, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), B0B
538100202119116, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 20, B0B
538100201112118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), B0B
538100203115114, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), B0B
538100202119116, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 20, B0B
538100201112118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), B0B
538100203115114, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), B0B
538100202119116, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 20, B0B
538100201112118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), B0B
538100203115114, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), B0B
538100202119116, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 20, B0B
538100201112118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), B0B
538100203115114, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), B0B
538100202119116, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 20, B0B
538100201112118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), B0B
538100203115114, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), B0B
538100202119116, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 20, B0B
538100201112118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), B0B
538100203115114, PARACETAMOL, PARACETAMOL, PARACETAMOL, 500 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), B0B
