501000501174315; ANESTÉSICO OCULUM; ANESTESICO OCULUM; NOT FOUND; 10 MG/ML + 1 MG/ML SOL OFT CT FR PLAS TRANS GOT X 10 ML; ALL
501000702171313; ATROPINA; ATROPINA; ATROPINA; 10 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; ALL
501000701173312; ATROPINA; ATROPINA; ATROPINA; 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; ALL
501006402178311; ALPHAGAN Z; ALPHAGAN Z; NOT FOUND; 0.1% SOL OFT CT FR PLAS OPC GOT X 3 ML; ALL
501006401171313; ALPHAGAN Z; ALPHAGAN Z; NOT FOUND; 0.1% SOL OFT CT FR PLAS OPC GOT X 5 ML; ALL
501000401171314; ALPHAGAN P; ALPHAGAN P; NOT FOUND; 0.15% SOL OFT CT FR PLAS OPC GOT X 5 ML; ALL
501000301175318; ALPHAGAN; ALPHAGAN; NOT FOUND; 0.2% SOL OFT CT FR PLAS OPC GOT X 10 ML; ALL
501000302171316; ALPHAGAN; ALPHAGAN; NOT FOUND; 0.2% SOL OFT CT FR PLAS OPC GOT X 5 ML; ALL
501006202136313; ACULAR LS; ACULAR LS; NOT FOUND; 4 MG/ML SOL OFT ESTERIL CT FR PLAS OPC GOT X 10 ML ; ALL
501006201131318; ACULAR LS; ACULAR LS; NOT FOUND; 4 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 5 ML; ALL
501007301170313; ACULAR CMC; ACULAR CMC; NOT FOUND; 4.5 MG/ML SOL OFT ESTERIL CT 20 FLAC PLAS INC X 0.4 ML; ALL
501007302177311; ACULAR CMC; ACULAR CMC; NOT FOUND; 4.5 MG/ML SOL OFT ESTERIL CT 10 FLAC PLAS INC X 0.4 ML; ALL
501007303173311; ACULAR CMC; ACULAR CMC; NOT FOUND; 4.5 MG/ML SOL OFT ESTERIL CT 30 FLAC PLAS INC X 0.4 ML; ALL
501007304171310; ACULAR CMC; ACULAR CMC; NOT FOUND; 4.5 MG/ML SOL OFT ESTERIL CT 5 FLAC PLAS INC X 0.4 ML; ALL
501000101176310; ACULAR; ACULAR; NOT FOUND; 5 MG/ML SOL OFT ESTERIL CT FR PLAS GOT X 5 ML; ALL
501000601179319; ARGIROL OCULUM; ARGIROL OCULUM; NOT FOUND; 10 PCC SOL OFT CT FR PLAS OPC GOT X 5 ML; ALL
