520603101131410, SELECTOCÁLCIO, SELECTOCALCIO, NOT FOUND, FRASCO C/ 150ML, SIN
520603401135411, SIFCILINA, SIFCILINA, NOT FOUND, 250MG VIDRO C/ 60ML PO SUSPENSAO, SIN
520603402115414, SIFCILINA, SIFCILINA, NOT FOUND, 500MG CAIXA C/ 10 CAPSULAS, SIN
520603602114411, SIFDICLOP, SIFDICLOP, NOT FOUND, 50 MG DRG CT BL AL PLAS INC X 20, SIN
520603603110411, SIFDICLOP, SIFDICLOP, NOT FOUND, 50 MG DRG CT BL AL PLAS INC X 500, SIN
520603601118413, SIFDICLOP, SIFDICLOP, NOT FOUND, 50MG CAIXA C/ 10 DRAGEAS, SIN
520603701139412, SIFGARGAN, SIFGARGAN, NOT FOUND, SPRAY FRASCO C/ 25ML - LARANJA, SIN
520603702135410, SIFGARGAN, SIFGARGAN, NOT FOUND, SPRAY FRASCO C/ 25ML - MENTA, SIN
520603801117410, SIFLOXAN, SIFLOXAN, NOT FOUND, 500MG CAIXA C/ 06 COMPRIMIDOS, SIN
520604001114415, SIFNACO, SIFNACO, NOT FOUND, 50MG CAIXA C/ 10 COMPRIMIDOS, SIN
520604101119419, SIFNAZOL, SIFNAZOL, NOT FOUND, CAIXA C/ 30 COMPRIMIDOS, SIN
520604102166410, SIFNAZOL, SIFNAZOL, NOT FOUND, CREME BISNAGA C/ 30GRS, SIN
520604302114414, SIFNOLOL, SIFNOLOL, NOT FOUND, 50MG CAIXA C/ 2X14 COMPRIMIDOS, SIN
520604401139415, SIFPIRONA, SIFPIRONA, NOT FOUND, GOTAS FRASCO C/ 10ML, SIN
520604501133419, SIFPOL, SIFPOL, NOT FOUND, XAROPE VD C/ 100ML, SIN
520606201110411, SIFSEX, SIFSEX, NOT FOUND, 40MG CAIXA C/ 02 COMPRIMIDOS, SIN
520606202117418, SIFSEX, SIFSEX, NOT FOUND, 40MG CAIXA C/ 04 COMPRIMIDOS, SIN
520604703119417, SIFTREX, SIFTREX, NOT FOUND, 500MG CAIXA C/ 06 DRAGEAS, SIN
520604801110414, SIFTROMIN, SIFTROMIN, NOT FOUND, 500MG CAIXA C/ 1X3 COMPRIMIDOS, SIN
520604802133418, SIFTROMIN, SIFTROMIN, NOT FOUND, 600MG FRASCO C/ PO SUSP. ORAL 15ML, SIN
520604803131419, SIFTROMIN, SIFTROMIN, NOT FOUND, 900MG FRASCO C/ PO SUSP. ORAL 22.5ML, SIN
520605001134414, SONIN, SONIN, NOT FOUND, XAROPE FRASCO C/ 120ML, SIN
520605101139418, SYFMOX, SYFMOX, NOT FOUND, 250MG FRASCO C/ PO SUSP. ORAL 150ML, SIN
520605102135416, SYFMOX, SYFMOX, NOT FOUND, 250MG FRASCO C/ PO SUSP. ORAL 60ML, SIN
520605103115419, SYFMOX, SYFMOX, NOT FOUND, 500MG CAIXA C/ 10 CAPSULAS, SIN
520603101131410, SELECTOCÁLCIO, SELECTOCALCIO, NOT FOUND, FRASCO C/ 150ML, SIN
520603401135411, SIFCILINA, SIFCILINA, NOT FOUND, 250MG VIDRO C/ 60ML PO SUSPENSAO, SIN
520603402115414, SIFCILINA, SIFCILINA, NOT FOUND, 500MG CAIXA C/ 10 CAPSULAS, SIN
520603602114411, SIFDICLOP, SIFDICLOP, NOT FOUND, 50 MG DRG CT BL AL PLAS INC X 20, SIN
520603603110411, SIFDICLOP, SIFDICLOP, NOT FOUND, 50 MG DRG CT BL AL PLAS INC X 500, SIN
520603601118413, SIFDICLOP, SIFDICLOP, NOT FOUND, 50MG CAIXA C/ 10 DRAGEAS, SIN
520603701139412, SIFGARGAN, SIFGARGAN, NOT FOUND, SPRAY FRASCO C/ 25ML - LARANJA, SIN
520603702135410, SIFGARGAN, SIFGARGAN, NOT FOUND, SPRAY FRASCO C/ 25ML - MENTA, SIN
