520601001131412, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 125MG SUSPENSAO FR C/ 100ML, SIN
520601002111415, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 250MG CAIXA C/ 20 COMPRIMIDOS, SIN
520601003132416, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 250MG SUSPENSAO FR C/ 100ML, SIN
520601004112419, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 500MG CAIXA C/ 12 COMPRIMIDOS, SIN
520601102130411, ETAVERAN, ETAVERAN, NOT FOUND, 6.67 MG / ML + 333.4 MG / ML SOL OR CT FR VD AMB GOT X 20 ML, SIN
520601101134413, ETAVERAN, ETAVERAN, NOT FOUND, GOTAS FRASCO C/ 30ML, SIN
520601001131412, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 125MG SUSPENSAO FR C/ 100ML, SIN
520601002111415, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 250MG CAIXA C/ 20 COMPRIMIDOS, SIN
520601003132416, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 250MG SUSPENSAO FR C/ 100ML, SIN
520601004112419, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 500MG CAIXA C/ 12 COMPRIMIDOS, SIN
520601102130411, ETAVERAN, ETAVERAN, NOT FOUND, 6.67 MG / ML + 333.4 MG / ML SOL OR CT FR VD AMB GOT X 20 ML, SIN
520601101134413, ETAVERAN, ETAVERAN, NOT FOUND, GOTAS FRASCO C/ 30ML, SIN
520601001131412, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 125MG SUSPENSAO FR C/ 100ML, SIN
520601002111415, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 250MG CAIXA C/ 20 COMPRIMIDOS, SIN
520601003132416, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 250MG SUSPENSAO FR C/ 100ML, SIN
520601004112419, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 500MG CAIXA C/ 12 COMPRIMIDOS, SIN
520601102130411, ETAVERAN, ETAVERAN, NOT FOUND, 6.67 MG / ML + 333.4 MG / ML SOL OR CT FR VD AMB GOT X 20 ML, SIN
520601101134413, ETAVERAN, ETAVERAN, NOT FOUND, GOTAS FRASCO C/ 30ML, SIN
520601001131412, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 125MG SUSPENSAO FR C/ 100ML, SIN
520601002111415, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 250MG CAIXA C/ 20 COMPRIMIDOS, SIN
520601003132416, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 250MG SUSPENSAO FR C/ 100ML, SIN
520601004112419, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 500MG CAIXA C/ 12 COMPRIMIDOS, SIN
520601102130411, ETAVERAN, ETAVERAN, NOT FOUND, 6.67 MG / ML + 333.4 MG / ML SOL OR CT FR VD AMB GOT X 20 ML, SIN
520601101134413, ETAVERAN, ETAVERAN, NOT FOUND, GOTAS FRASCO C/ 30ML, SIN
520601001131412, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 125MG SUSPENSAO FR C/ 100ML, SIN
520601002111415, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 250MG CAIXA C/ 20 COMPRIMIDOS, SIN
520601003132416, ERIFLOGIN, ERIFLOGIN, NOT FOUND, 250MG SUSPENSAO FR C/ 100ML, SIN
