535300201154313, OCTAGAM, OCTAGAM, NOT FOUND, 1 G. SOL. INJ. IV FR. AMP. VD X 20 ML., OCT
535300202150311, OCTAGAM, OCTAGAM, NOT FOUND, 2.5 G SOL. INJ. VI FR AM VD X 50 ML., OCT
535300203157311, OCTAGAM, OCTAGAM, NOT FOUND, 5 G SOL. INJ. IV FR AMP. VD X 100 ML., OCT
535300301159317, OCTALBIN, OCTALBIN, NOT FOUND, 20% SOL. INJ. CT. FR. AM. VD. X 50 ML., OCT
535300401137315, OCTAPLEX, OCTAPLEX, NOT FOUND, 500 UI PO LIOF INJ CT FA VD INC + FA VD INC DIL X 20 ML + CONJ REC E INFUS , OCT
535300201154313, OCTAGAM, OCTAGAM, NOT FOUND, 1 G. SOL. INJ. IV FR. AMP. VD X 20 ML., OCT
535300202150311, OCTAGAM, OCTAGAM, NOT FOUND, 2.5 G SOL. INJ. VI FR AM VD X 50 ML., OCT
535300203157311, OCTAGAM, OCTAGAM, NOT FOUND, 5 G SOL. INJ. IV FR AMP. VD X 100 ML., OCT
535300301159317, OCTALBIN, OCTALBIN, NOT FOUND, 20% SOL. INJ. CT. FR. AM. VD. X 50 ML., OCT
535300401137315, OCTAPLEX, OCTAPLEX, NOT FOUND, 500 UI PO LIOF INJ CT FA VD INC + FA VD INC DIL X 20 ML + CONJ REC E INFUS , OCT
535300201154313, OCTAGAM, OCTAGAM, NOT FOUND, 1 G. SOL. INJ. IV FR. AMP. VD X 20 ML., OCT
535300202150311, OCTAGAM, OCTAGAM, NOT FOUND, 2.5 G SOL. INJ. VI FR AM VD X 50 ML., OCT
535300203157311, OCTAGAM, OCTAGAM, NOT FOUND, 5 G SOL. INJ. IV FR AMP. VD X 100 ML., OCT
535300301159317, OCTALBIN, OCTALBIN, NOT FOUND, 20% SOL. INJ. CT. FR. AM. VD. X 50 ML., OCT
535300401137315, OCTAPLEX, OCTAPLEX, NOT FOUND, 500 UI PO LIOF INJ CT FA VD INC + FA VD INC DIL X 20 ML + CONJ REC E INFUS , OCT
535300201154313, OCTAGAM, OCTAGAM, NOT FOUND, 1 G. SOL. INJ. IV FR. AMP. VD X 20 ML., OCT
535300204153415, OCTAGAM, OCTAGAM, NOT FOUND, 10 G SOL INJ CT FA VD INC X 200ML, OCT
535300202150311, OCTAGAM, OCTAGAM, NOT FOUND, 2.5 G SOL. INJ. VI FR AM VD X 50 ML., OCT
535300203157311, OCTAGAM, OCTAGAM, NOT FOUND, 5 G SOL. INJ. IV FR AMP. VD X 100 ML., OCT
535300301159317, OCTALBIN, OCTALBIN, NOT FOUND, 20% SOL. INJ. CT. FR. AM. VD. X 50 ML., OCT
