73210, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, F.AMP 1 G 30 ML x 10 (/200), AOB
70580, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21, AOB
70582, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 350, AOB
74529, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, PO P/SUSP 50 MG 150 ML x 1 (/ML), AOB
70028, AMPICILINA MG , AMPICILINA, AMPICILINA, F.AMP 1 G x 12, AOB
75705, AMPICILINA MG , AMPICILINA, AMPICILINA, F.AMP 1 G x 50, AOB
75730, AMPICILINA MG , AMPICILINA, AMPICILINA, F.AMP 500 MG x 12, AOB
71839, AMPICILINA+SULB.MG , AMPICILINA SULB, NOT FOUND, F.AMP 1 G 30 ML x 20 (/0.5), AOB
71841, AMPICILINA+SULB.MG , AMPICILINA SULB, NOT FOUND, F.AMP 2 G 30 ML x 20 (/1), AOB
76397, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 100 MG x 28, AOB
76399, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 25 MG x 28, AOB
158989, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 25 MG x 30, AOB
76400, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 50 MG x 14, AOB
76545, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 50 MG x 28, AOB
111874, AXETIL CEFUROXI.MG , AXETIL CEFUROXI, NOT FOUND, CPR 500 MG x 10, AOB
